,Movie Id,Title,Tagword,description,totaltweets,retweetcount,text,hashtags
0,178,12 Angry Men ,#12angrymen,A podcast about the 1001 Movies You Must See Before You Die,1180,0,"All this and a joint recommendation for the “Fear Street” trilogy on Netflix is in store for you. This episode drops tomorrow - please check it out.
#12AngryMen #FilmTwitter","['12AngryMen', 'FilmTwitter']"
1,178,12 Angry Men ,#12angrymen,"@F1 @C4F1 @BTCC ⚒#WHUFC⚒ @WestHam #Columbo Films, TV, Music, Beer, 2 Cats 🐈 🐈 #Allotment & Armed Forces Supporter.",249863,7,"Who's looking after the farm while you're away?

My wife

Country girl?

No, a Londoner

Don't suppose she knows much about farms then. It'll be a right mess when you get back. Dead chickens all over the place. Cattle on their backs with their legs in the air!

#12AngryMen https://t.co/7RSnrM6p4u",[]
2,178,12 Angry Men ,#12angrymen,,65942,7,"Who's looking after the farm while you're away?

My wife

Country girl?

No, a Londoner

Don't suppose she knows much about farms then. It'll be a right mess when you get back. Dead chickens all over the place. Cattle on their backs with their legs in the air!

#12AngryMen https://t.co/7RSnrM6p4u",[]
3,178,12 Angry Men ,#12angrymen,,2531,7,"Who's looking after the farm while you're away?

My wife

Country girl?

No, a Londoner

Don't suppose she knows much about farms then. It'll be a right mess when you get back. Dead chickens all over the place. Cattle on their backs with their legs in the air!

#12AngryMen https://t.co/7RSnrM6p4u",[]
4,178,12 Angry Men ,#12angrymen,"Jesus is Coming Soon❤️🙌
18 /2003
Thoughts.Emotions.Imagination
❤️💣💥",1195,0,"12 Angry Men (1957)
Fascinating Movie.... A Crime-Legal Drama
Performances, Direction, Screenplay, Dialogues❤️

*Do watch If you have 1hr37mins to spare. 

Seperating Facts From Fantasy⌚💯👀
#12angrymen #sidneylumet #henryfonda https://t.co/87ZgA7jw0s","['12angrymen', 'sidneylumet', 'henryfonda']"
5,178,12 Angry Men ,#12angrymen,"Springer Spaniel owner, loves Dogs Movies, Bond, Sci-Fi,Reading,  Music, Beatles, John Lennon, Horslips,Tom Petty, Retro T.V.  and Chelsea F.C. No DM's 🇮🇪",47951,7,"Who's looking after the farm while you're away?

My wife

Country girl?

No, a Londoner

Don't suppose she knows much about farms then. It'll be a right mess when you get back. Dead chickens all over the place. Cattle on their backs with their legs in the air!

#12AngryMen https://t.co/7RSnrM6p4u",[]
6,178,12 Angry Men ,#12angrymen,On the buses...,19839,7,"Who's looking after the farm while you're away?

My wife

Country girl?

No, a Londoner

Don't suppose she knows much about farms then. It'll be a right mess when you get back. Dead chickens all over the place. Cattle on their backs with their legs in the air!

#12AngryMen https://t.co/7RSnrM6p4u",[]
7,178,12 Angry Men ,#12angrymen,"""Interesting … where were you measured for this, bud?""

""My tailor. Savile Row.""

""That’s so? Mine’s a guy in Washington.""",145667,7,"Who's looking after the farm while you're away?

My wife

Country girl?

No, a Londoner

Don't suppose she knows much about farms then. It'll be a right mess when you get back. Dead chickens all over the place. Cattle on their backs with their legs in the air!

#12AngryMen https://t.co/7RSnrM6p4u",[]
8,178,12 Angry Men ,#12angrymen,"Blood donor, AB negative, likes wine gums. Official fan account of the Tony Hancock Appreciation Society",12215,7,"Who's looking after the farm while you're away?

My wife

Country girl?

No, a Londoner

Don't suppose she knows much about farms then. It'll be a right mess when you get back. Dead chickens all over the place. Cattle on their backs with their legs in the air!

#12AngryMen https://t.co/7RSnrM6p4u",['12AngryMen']
9,178,12 Angry Men ,#12angrymen,#Screenplays #SupportIndieFilm #ExecProducer #horror #scifi #FantasyNovels https://t.co/OutuQNvAYq    https://t.co/WTRQNJzlL5…,87148,4,I’m in #1AngryBlackManMovie Out now! #DaphneDanielleActress Go to my website for details &amp; Rent/Buy! https://t.co/Vk7I7d4hil Our film is adapted from #SidneyLumet Classic #Film &amp; #ReginaldRose play #12AngryMen We got 12 Actors in a Class! Opinions fly just like the Classic Film! https://t.co/6A1XUTk5Th,"['1AngryBlackManMovie', 'DaphneDanielleActress']"
10,178,12 Angry Men ,#12angrymen,"#MysteryMovies #SuspenseMovies
#Cartoon #Comic #MANGA #Movies",15,0,"#HenryFonda #12angrymen #SidneyLumet
This is one of the mystery movies I love the most.
https://t.co/Ihrv5cqvPM https://t.co/W2EtF3WZ8w","['HenryFonda', '12angrymen', 'SidneyLumet']"
