,Movie Id,Title,Tagword,description,totaltweets,retweetcount,text,hashtags
0,95,Aladdin ,#aladdin,Children's Theatre | Theatre In Education | Interactive Theatre | Play Writers | Youth Theatre | E-mail: info@mixuptheatre.com,805,0,"Aladdin Dance Vid 2: The Big Finale with Osian's epic breakdancing! - for the cast of Aladdin @FlyingHighCo  - @theSpaceUK Day 3 at Mix Up Theatre Fringe Festival Summer Camp!
#breakdancing #dance #aladdin #mixuptheatre #summercamp #fringefestival #edinburgh https://t.co/6Dr3p0unn7","['breakdancing', 'dance', 'aladdin', 'mixuptheatre', 'summercamp', 'fringefestival', 'edinburgh']"
1,95,Aladdin ,#aladdin,Children's Theatre | Theatre In Education | Interactive Theatre | Play Writers | Youth Theatre | E-mail: info@mixuptheatre.com,805,0,"Aladdin Dance Vid 1 - for the cast of Aladdin @FlyingHighCo  :) Hazel made this dance up with our awesome actors in about 30 mins :) - Day 3 at Mix Up Theatre Fringe Festival Summer Camp
#youththeatre #summercamp #fringefestival #edinburgh #aladdin https://t.co/uK9seizw89","['youththeatre', 'summercamp', 'fringefestival', 'edinburgh', 'aladdin']"
2,95,Aladdin ,#aladdin,Children's Theatre | Theatre In Education | Interactive Theatre | Play Writers | Youth Theatre | E-mail: info@mixuptheatre.com,805,0,Day 3 at Mix Up Theatre Fringe Festival Summer Camp! Our new friends at @FlyingHighCo   - the cast of ALADDIN @theSpaceUK - came to watch our own students perform a little Aladdin show! Followed by a wee Q&amp;A with the cast - FUN! - #youththeatre #aladdin #edinburgh #mixuptheatre https://t.co/itCwSvmQYe,"['youththeatre', 'aladdin', 'edinburgh', 'mixuptheatre']"
3,95,Aladdin ,#aladdin,"💛𝒍𝒊𝒇𝒆 𝒊𝒔 𝒘𝒆𝒊𝒓𝒅~𝑬𝒕𝒉𝒂𝒏 𝑺𝒍𝒂𝒕𝒆𝒓💛☆20☆Loves Broadway, Christian Borle, Rob McClure and Ethan Slater☆",18428,1,"Internet Explodes With Robin Williams Tributes Seven Years After Tragic Death

#RobinWilliams #Aladdin #Genie #PatchAdams #MrsDoubtfire

https://t.co/rSO7wvQQXH https://t.co/aKH4zTfdhX","['RobinWilliams', 'Aladdin', 'Genie']"
4,95,Aladdin ,#aladdin,Small team of 3 artists! @little_ms_mouse @hannikan_ @MotionCapture23,93,1,"Day 11 #AugustDechART FAVOURITE
My all time favourite artist @GlenKeanePrd 
The one and only, who made me believe maybe I really could be an animator.
#disney #animation #art #inspiration #glenkeane #tangled #aladdin #beautyandthebeast #pocahontas #ariel #tarzan #treasureplanet https://t.co/shBkf981Gs",['AugustDechART']
5,95,Aladdin ,#aladdin,"Loving animation since '95, loving Jesus since He gave me life 
Follow me wherever I'm at: 
@haanimation_s 
https://t.co/T86qGLA0Wj",20,1,"Day 11 #AugustDechART FAVOURITE
My all time favourite artist @GlenKeanePrd 
The one and only, who made me believe maybe I really could be an animator.
#disney #animation #art #inspiration #glenkeane #tangled #aladdin #beautyandthebeast #pocahontas #ariel #tarzan #treasureplanet https://t.co/shBkf981Gs","['AugustDechART', 'disney', 'animation', 'art', 'inspiration', 'glenkeane', 'tangled', 'aladdin', 'beautyandthebeast', 'pocahontas', 'ariel', 'tarzan', 'treasureplanet']"
6,95,Aladdin ,#aladdin,"Join MJ & a rotating cast of guests as they review movies. 80’s,90’s,2000’s,horror,action & more! Show debuts 9-1-2021. All posts by me,MJ.",257,0,@EpicFilmGuys Yeah this one was a shock for me. It was on the same level as when I heard Chris Farley had passed. I was like 15 when Farley died &amp; it was as if I had lost someone I knew. Same thing when the tragedy with Owen Hart happened. #RobinWilliams #aladdin #hook #mrsdoubtfire,"['RobinWilliams', 'aladdin', 'hook', 'mrsdoubtfire']"
7,95,Aladdin ,#aladdin,Home of the American Musical: 2x Tony Award-winner dedicated to preserving & advancing musical theatre & developing new works w/tweets by awesome staffers,15333,63,"For the first time on #Broadway, #Aladdin and #Jasmine will be played by #MENASA actors, something this community has been waiting for, for a very long time. Thank you to @disneybroadway and to casting+ creatives for making this happen. https://t.co/SvLZQfHm1V","['Broadway', 'Aladdin', 'Jasmine', 'MENASA']"
8,95,Aladdin ,#aladdin,"Director of dramaturgy & new works @actsanfrancisco. cofounder https://t.co/glJw2dcc0V. i 💓new plays, dogs, & multiracial democracy. oakland grown. #LFG!",123790,63,"For the first time on #Broadway, #Aladdin and #Jasmine will be played by #MENASA actors, something this community has been waiting for, for a very long time. Thank you to @disneybroadway and to casting+ creatives for making this happen. https://t.co/SvLZQfHm1V","['Broadway', 'Aladdin', 'Jasmine', 'MENASA']"
9,95,Aladdin ,#aladdin,"“But not in flattery, Caesar” she/her",921,63,"For the first time on #Broadway, #Aladdin and #Jasmine will be played by #MENASA actors, something this community has been waiting for, for a very long time. Thank you to @disneybroadway and to casting+ creatives for making this happen. https://t.co/SvLZQfHm1V","['Broadway', 'Aladdin', 'Jasmine', 'MENASA']"
