,Movie Id,Title,Tagword,description,totaltweets,retweetcount,text,hashtags
0,176,Aliens ,#aliens,"#Diversity & #Inclusion includes people you don't like and disagree with. 
And you, too.  ;) 

Please, go read & contemplate this 👇",17048,1,"One-third of American's believe in #Aliens. 
Of course, this is the same one-third that believe more #government #debt and #socialism has positive long-term benefits. https://t.co/od6Wguc9Mw","['Aliens', 'government', 'debt']"
1,176,Aliens ,#aliens,Your daily dose of palindromes. Not in any way affiliated with the 2008 Republican VP nominee. Ha ha.,1925,0,"Adele is apprised that the rough. crude conditions arise from the brouhaha and associated conflict began with an alien invasion. 

Raw, Adele, UFO furor! UFO fueled a war. #UFO #Aliens #palindrome","['UFO', 'Aliens', 'palindrome']"
2,176,Aliens ,#aliens,"The @MainChannel_ Twitter #Promotion #Network 4 #Indies & #SmallBiz

#books #ebooks #authors #publishers
#music #musicians #producers
#filmmakers #movies #films",135977,24,"5⭐️...elements of thrilling mystery, suspense, dystopian fantasy and science fiction.'

The Lenders Saga from @Travis_Borne.

#scifi #sciencefiction #AI #ArtificialIntelligence #Aliens #timetravel #apocalypse #IARTG #ASMSG 
#Kindle #books #ebooks 
https://t.co/77qwN9usSZ https://t.co/d6nfwPTy6l",[]
3,176,Aliens ,#aliens,"Come along as we examine UFO sightings, conspiracies, and all things strange: the best history has to offer!
https://t.co/tPVfkWJUgG",1277,0,"Below a Spanish church sits the largest pyramid on earth. The Pyramid of Cholula was constructed by the Aztec about 2,100 years ago in Mexico. It is believed to have been dedicated to the god Quetzalcoatl.

#ufotwitter #xfiles #ancientaliens #aliens #pyramids #giza","['ufotwitter', 'xfiles', 'ancientaliens', 'aliens', 'pyramids', 'giza']"
4,176,Aliens ,#aliens,"Radio Guy at 560 WQAM & 790 The Ticket in Miami.  I love hugs, slugs & honeybuns.",7887,0,"I told you #Aliens are real, so are #HotMesses 

https://t.co/ZmqjTn7dbE","['Aliens', 'HotMesses']"
5,176,Aliens ,#aliens,"Intelligent sarcastic humorous insightful
Author looking to help and be helped
a laugh gets in the
way so be it
https://t.co/u8n5eJ2E7t
https://t.co/cC3VbZgB9B",473382,125,"5⭐️...elements of thrilling mystery, suspense, dystopian fantasy and science fiction.'

The Lenders Saga from @Travis_Borne.

#scifi #sciencefiction #AI #ArtificialIntelligence #Aliens #timetravel #apocalypse #IARTG #ASMSG 
#Kindle #books #ebooks 
https://t.co/ADmMk5zoE4 https://t.co/TlMABqNvMp",[]
6,176,Aliens ,#aliens,"Look up at the stars and not down at your feet. Try to make sense of what you see, and wonder about what makes the universe exist. Be curious. -Stephen Hawking",55088,2,"NASA's Bad Fits — Space Business — Quartz
https://t.co/5kzriaSmOY
Follow for more! #alien #aliens #aliensarereal #nasa #science #space #spaceforce #spacex #ufo #ufos #ufosighting #ufotwitter","['alien', 'aliens', 'aliensarereal', 'nasa']"
7,176,Aliens ,#aliens,,309980,125,"5⭐️...elements of thrilling mystery, suspense, dystopian fantasy and science fiction.'

The Lenders Saga from @Travis_Borne.

#scifi #sciencefiction #AI #ArtificialIntelligence #Aliens #timetravel #apocalypse #IARTG #ASMSG 
#Kindle #books #ebooks 
https://t.co/ADmMk5zoE4 https://t.co/TlMABqNvMp",[]
8,176,Aliens ,#aliens,If our limited intelligence got us here imagine where unlimited A.I intelligence  can take us. Hi Am GeE and I am a Space fanatic and an AI believer.,433519,2,"NASA's Bad Fits — Space Business — Quartz
https://t.co/5kzriaSmOY
Follow for more! #alien #aliens #aliensarereal #nasa #science #space #spaceforce #spacex #ufo #ufos #ufosighting #ufotwitter","['alien', 'aliens', 'aliensarereal', 'nasa']"
9,176,Aliens ,#aliens,"Smart yet Simple.
Lover of Peeps Animals Earth Culture #Books # Movies #Music #News #Sports.

~ The @MainChannel_ Twitter #Promotion #Network for #Indies.",1347872,125,"5⭐️...elements of thrilling mystery, suspense, dystopian fantasy and science fiction.'

The Lenders Saga from @Travis_Borne.

#scifi #sciencefiction #AI #ArtificialIntelligence #Aliens #timetravel #apocalypse #IARTG #ASMSG 
#Kindle #books #ebooks 
https://t.co/ADmMk5zoE4 https://t.co/TlMABqNvMp",[]
