,Movie Id,Title,Tagword,description,totaltweets,retweetcount,text,hashtags
0,28,Apollo 13 ,#apollo13,"I’m a theatre kid who loves space. Proud Democratic, Artist, Painter, Perler beads Artist, nice Jewish girl , space nerd",5153,8,"Final surprise for #Apollo13 celebrations. The good folks at San Diego Air &amp; Space Museum created a superb event with astros #JimLovell &amp; #FredHaise; Flight Directors #MiltWindler, #GeneKranz, #GlynnLunney &amp; #GerryGriffin. 

https://t.co/qI74mFD0qW

#NASA #Space #Apollo50 @SDASM https://t.co/s1dzq4SHD0",['Apollo13']
1,28,Apollo 13 ,#apollo13,"Poet, Storyteller... at least trying to tell one.",1877,0,"@noursafeialdin @FilmstoFilms_ One of my all time favourites. 

#Apollo13",['Apollo13']
2,28,Apollo 13 ,#apollo13,An open source bot here to support all women who code 👩🏿‍💻👩🏽‍💻👩🏻‍💻👩🏾‍💻👩🏼‍💻 Created by @SaraTorrey & @danotorrey with ❤️💜💛💚💙 Learn more: https://t.co/pfxJLxNhZ2,462150,1,"🎥 On #MovieMonday, we highlight movies that have inspired many people around the world to pursue a career in STEM. Today we shine the spotlight on 'Apollo 13'!
💫 Tell us about a movie that inspired your career journey!

#womenwhocode #Apollo13 #JimLovell #FredHaise #JackSwigert https://t.co/ukkkOFzSP5",['MovieMonday']
3,28,Apollo 13 ,#apollo13,👩‍💻 Our mission is to inspire you to excel in technology careers! Join our Slack community at https://t.co/k7jUBK6XQF,1906,1,"🎥 On #MovieMonday, we highlight movies that have inspired many people around the world to pursue a career in STEM. Today we shine the spotlight on 'Apollo 13'!
💫 Tell us about a movie that inspired your career journey!

#womenwhocode #Apollo13 #JimLovell #FredHaise #JackSwigert https://t.co/ukkkOFzSP5","['MovieMonday', 'womenwhocode', 'Apollo13', 'JimLovell', 'FredHaise', 'JackSwigert']"
4,28,Apollo 13 ,#apollo13,Log On http://t.co/Jd5OkgIQ3e And Stay Updated With Steven Da Guy's Latest Projects & Merchandise .,36243,0,@StevenDaGuy - Trill [ https://t.co/RLoE9yo3dq ] #Apollo13,['Apollo13']
5,28,Apollo 13 ,#apollo13,"Local celebrity, frequent napper. ~Opus Justitiae Pax~ If you like Ohio high school sports, follow my alter ego: @MayorNEOPrep",16912,25,"🔵 Hi, this week's Tom the Dancing Bug is now up on @gocomics 
-
Billionaire pooch Hollinsworth Hound takes an eleven-minute vacation in space, but We Have a Problem.
(with apologies to #apollo13 @RealRonHoward @tomhanks)
-
https://t.co/OUoRqEnBlY
-
READ THE COMIC RIGHT HERE👇 https://t.co/dfh4CW12Oc",[]
6,28,Apollo 13 ,#apollo13,,370,1,"78- Ken Mattingly
(#𝐆𝐚𝐫𝐲𝐒𝐢𝐧𝐢𝐬𝐞)
#𝐀𝐩𝐨𝐥𝐥𝐨𝟏𝟑
@GarySinise https://t.co/xI2t6EY7wc","['𝐆𝐚𝐫𝐲𝐒𝐢𝐧𝐢𝐬𝐞', '𝐀𝐩𝐨𝐥𝐥𝐨𝟏𝟑']"
7,28,Apollo 13 ,#apollo13,"World-class carrier grade teleport facilities from Elfordstown Earthstation, located near Midleton, Co Cork, Ireland. #Elfordstown",1501,0,"As a teenager 25 years ago, this woman learned #Apollo13 was a real mission and not just a movie starring Tom Hanks... while driving a very understanding Cpt James Lovell of Apollo 13 to a book signing for his book about the mission  🚀👨‍🚀😳

https://t.co/tsQdagnxUn https://t.co/Tx40Wntzwe",['Apollo13']
8,28,Apollo 13 ,#apollo13,Log On http://t.co/Jd5OkgIQ3e And Stay Updated With Steven Da Guy's Latest Projects & Merchandise .,36243,0,@StevenDaGuy - Trill [ https://t.co/RLoE9yo3dq ] #Apollo13,['Apollo13']
9,28,Apollo 13 ,#apollo13,"Delivering Urban Generalism from an Ivory Tower | Consultant Physician, Royal London Hospital @NHSBartsHealth | Nephrology | GIM | Data | CV at link | Own Views",38491,0,"“We are looking at a typhoon warning on the edge of the prime recovery area...it’s just a warning, it could miss them”

“Only of their luck changes”

Great great line 

Has anyone read Gene Kranz’s book? #apollo13 @NASA",['apollo13']
10,28,Apollo 13 ,#apollo13,"Leading a God centered life with a daily focus upon family, balance, kindness, learning and conquering all fears.  
Philippians 4:13  #BreakEveryChain",15761,1,"If we can put a man on the moon simply because we made the choice to go there, we can overcome the challenges and struggles we face today. https://t.co/6O2npVTOrH #Apollo13 #EWPAction #EducationWithPurpose #Millennials #GenZ https://t.co/Zm0oSFSQOX",[]
11,28,Apollo 13 ,#apollo13,"Speaker, Author, CEO 
Generational & Performance Expert, and Paradigm Shifter in Education & Workforce Development.",7741,1,"If we can put a man on the moon simply because we made the choice to go there, we can overcome the challenges and struggles we face today. https://t.co/6O2npVTOrH #Apollo13 #EWPAction #EducationWithPurpose #Millennials #GenZ https://t.co/Zm0oSFSQOX","['Apollo13', 'EWPAction', 'EducationWithPurpose', 'Millennials', 'GenZ']"
12,28,Apollo 13 ,#apollo13,"I'm a big wolf, I get by",53782,25,"🔵 Hi, this week's Tom the Dancing Bug is now up on @gocomics 
-
Billionaire pooch Hollinsworth Hound takes an eleven-minute vacation in space, but We Have a Problem.
(with apologies to #apollo13 @RealRonHoward @tomhanks)
-
https://t.co/OUoRqEnBlY
-
READ THE COMIC RIGHT HERE👇 https://t.co/dfh4CW12Oc",[]
13,28,Apollo 13 ,#apollo13,Dashed unsporting. Probably Belgian!,8197,25,"🔵 Hi, this week's Tom the Dancing Bug is now up on @gocomics 
-
Billionaire pooch Hollinsworth Hound takes an eleven-minute vacation in space, but We Have a Problem.
(with apologies to #apollo13 @RealRonHoward @tomhanks)
-
https://t.co/OUoRqEnBlY
-
READ THE COMIC RIGHT HERE👇 https://t.co/dfh4CW12Oc",[]
14,28,Apollo 13 ,#apollo13,I never thought I'd have to blog this long.,48035,25,"🔵 Hi, this week's Tom the Dancing Bug is now up on @gocomics 
-
Billionaire pooch Hollinsworth Hound takes an eleven-minute vacation in space, but We Have a Problem.
(with apologies to #apollo13 @RealRonHoward @tomhanks)
-
https://t.co/OUoRqEnBlY
-
READ THE COMIC RIGHT HERE👇 https://t.co/dfh4CW12Oc",[]
