,Movie Id,Title,Tagword,description,totaltweets,retweetcount,text,hashtags
0,184,Army of Darkness ,#armyofdarkness,"DeLorean owner, film maker, 80's cartoon buff and horror fanatic.",2958,0,Never say no to a glow in the dark skeleton toy. Never. #evildead #armyofdarkness #super7 https://t.co/N2FcTdFk95,"['evildead', 'armyofdarkness', 'super7']"
1,184,Army of Darkness ,#armyofdarkness,| avid consumer of cinema and tv | she/her | pan | nerd |,3362,2,Happy Birthday to Embeth Davidtz! #EmbethDavidtz #ArmyOfDarkness #ThirteenGhosts https://t.co/BM3tg1cyQL,"['EmbethDavidtz', 'ArmyOfDarkness', 'ThirteenGhosts']"
2,184,Army of Darkness ,#armyofdarkness,"Old School Brutal Death Metal, Mincecore, Grind, Doom, Black, Gothic, Boxing, Football, Harder Styles, Oldskool Rave Classics, Topboy, Old School Casual 80'🇬🇧",6903,2,Happy Birthday to Embeth Davidtz! #EmbethDavidtz #ArmyOfDarkness #ThirteenGhosts https://t.co/BM3tg1cyQL,"['EmbethDavidtz', 'ArmyOfDarkness', 'ThirteenGhosts']"
3,184,Army of Darkness ,#armyofdarkness,Horror historian and collector of unusual artifacts.,2950,2,Happy Birthday to Embeth Davidtz! #EmbethDavidtz #ArmyOfDarkness #ThirteenGhosts https://t.co/BM3tg1cyQL,"['EmbethDavidtz', 'ArmyOfDarkness', 'ThirteenGhosts']"
4,184,Army of Darkness ,#armyofdarkness,Ser mejor cada día,127,73,"If you're a fan of The Evil Dead films then you MUST watch the new documentary HAIL TO THE DEADITES today! 

Now available on all major U.S. digital &amp; on demand platforms. #theevildead #brucecampbell #armyofdarkness #SamRaimi #boomstick https://t.co/4hV6rLWpOR",[]
5,184,Army of Darkness ,#armyofdarkness,"Fan of JaredHarris & AllegraRiggio & of BruceCampbell & the EvilDead franchise.I'm also interested in movies & shows(especially horror), photography & many more",40078,0,"Shop Smart • Shop S-Mart 😁
#ArmyOfDarkness #Ash #EvilDead #BruceCampbell https://t.co/lH9SvSuH50","['ArmyOfDarkness', 'Ash', 'EvilDead', 'BruceCampbell']"
6,184,Army of Darkness ,#armyofdarkness,"Soccer, Comics, Movies, Art,Science. Not in that exact order...",39001,3,"Favorite teeth I’ve painted, to date. #armyofdarkness https://t.co/DNTC3p9vzQ",['armyofdarkness']
7,184,Army of Darkness ,#armyofdarkness,"UCLA all day every day! L.A. Kings, L.A.Lakers Marijuana advocate Atheist love to watch 80's HORROR🔪MOVIE and Archer.  F**K TRUMP!!",25089,6,"Happy Monday! Which character are you today?
#HailtotheDeadites #EvilDeadDocumentary #Horror #EvilDead #ArmyofDarkness https://t.co/7SnkhD5Ac8","['HailtotheDeadites', 'EvilDeadDocumentary', 'Horror', 'EvilDead', 'ArmyofDarkness']"
8,184,Army of Darkness ,#armyofdarkness,"Loves films, vodka shit jokes, large quantities of food and walking the mountains.",4040,0,"#armyofdarkness

A sardonic hardware store clerk is accidentally transported to 1300 A.D., where he must retrieve the Necronomicon and battle an army of the dead so he can return home. https://t.co/Lb9kl7pH2v",['armyofdarkness']
9,184,Army of Darkness ,#armyofdarkness,"(PARODY ACCOUNT)Graduate of Miskatonic University: 18+ ""Cat Dead, Details Later."" #MutantFam #HorrorFam  #ReAgentArkham #LosersClub",16780,6,"Happy Monday! Which character are you today?
#HailtotheDeadites #EvilDeadDocumentary #Horror #EvilDead #ArmyofDarkness https://t.co/7SnkhD5Ac8","['HailtotheDeadites', 'EvilDeadDocumentary', 'Horror', 'EvilDead', 'ArmyofDarkness']"
10,184,Army of Darkness ,#armyofdarkness,"おなかが　すいたんだな
Skeb:https://t.co/yD1XKBg2qE",44977,3,"Favorite teeth I’ve painted, to date. #armyofdarkness https://t.co/DNTC3p9vzQ",['armyofdarkness']
11,184,Army of Darkness ,#armyofdarkness,ドウゼンコーポレション幹部 スライムです。自分をイラストレーターだと思っている一般スライム、テーマソングはゼニクレージーの歌 （っ◉ᴗ )ｂ ₍₍ (ง ◉ᴗ )ว ⁾⁾ (*´ ౪ *),289377,3,"Favorite teeth I’ve painted, to date. #armyofdarkness https://t.co/DNTC3p9vzQ",['armyofdarkness']
12,184,Army of Darkness ,#armyofdarkness,I just love to watch TV watch movies and even going from place to place,37641,6,"Happy Monday! Which character are you today?
#HailtotheDeadites #EvilDeadDocumentary #Horror #EvilDead #ArmyofDarkness https://t.co/7SnkhD5Ac8","['HailtotheDeadites', 'EvilDeadDocumentary', 'Horror', 'EvilDead', 'ArmyofDarkness']"
13,184,Army of Darkness ,#armyofdarkness,Hola. 'Nuff said. 🇵🇷,4678,16,Sam Raimi with Bruce Campbell behind the scenes on #ArmyOfDarkness (1992). #EvilDeas https://t.co/Q765l6VpWw,"['ArmyOfDarkness', 'EvilDeas']"
14,184,Army of Darkness ,#armyofdarkness,I make art and stories.,15052,3,"Favorite teeth I’ve painted, to date. #armyofdarkness https://t.co/DNTC3p9vzQ",['armyofdarkness']
15,184,Army of Darkness ,#armyofdarkness,"Slays Deadites.
Chainsaw wieldin ,shotgun blasting, bad ass! #Ashy_Slashy #EvilDead #ashwilliams #HorrorFam 
#LegacyTales engaged to @HorroticaV (Parody 18+)",37720,6,"Happy Monday! Which character are you today?
#HailtotheDeadites #EvilDeadDocumentary #Horror #EvilDead #ArmyofDarkness https://t.co/7SnkhD5Ac8","['HailtotheDeadites', 'EvilDeadDocumentary', 'Horror', 'EvilDead', 'ArmyofDarkness']"
16,184,Army of Darkness ,#armyofdarkness,No DM’s unless I know you. Rec therapy is the bees knees. Advocate for workers and clients in seniors care and social services.,6948,6,"Happy Monday! Which character are you today?
#HailtotheDeadites #EvilDeadDocumentary #Horror #EvilDead #ArmyofDarkness https://t.co/7SnkhD5Ac8","['HailtotheDeadites', 'EvilDeadDocumentary', 'Horror', 'EvilDead', 'ArmyofDarkness']"
17,184,Army of Darkness ,#armyofdarkness,News related to The Evil Dead franchise. Tweeting about Bruce Campbell & all things Evil Dead. FB: https://t.co/UjuQqOjYCr Tumblr: https://t.co/UpJ73gxqQr IG: https://t.co/QIoef0ofX7,65057,6,"Happy Monday! Which character are you today?
#HailtotheDeadites #EvilDeadDocumentary #Horror #EvilDead #ArmyofDarkness https://t.co/7SnkhD5Ac8","['HailtotheDeadites', 'EvilDeadDocumentary', 'Horror', 'EvilDead', 'ArmyofDarkness']"
18,184,Army of Darkness ,#armyofdarkness,"Evil Dead fans documentary. Directed by Steve Villeneuve starring Bruce Campbell, Ted Raimi, Tom Sullivan & the Ladies of the Evil Dead",1585,6,"Happy Monday! Which character are you today?
#HailtotheDeadites #EvilDeadDocumentary #Horror #EvilDead #ArmyofDarkness https://t.co/7SnkhD5Ac8","['HailtotheDeadites', 'EvilDeadDocumentary', 'Horror', 'EvilDead', 'ArmyofDarkness']"
19,184,Army of Darkness ,#armyofdarkness,Nonprofit professional. Movin’ and a shakin’. Secretary/Commissioner on the Hampden County Commission on the Status of Women and Girls @hccswg,791,0,@erica81579  always outdoes herself with my fun birthday cards she makes. Happy birthday to me ya primitive screw heads!! @GroovyBruce  #armyofdarkness https://t.co/uepwHHfuZH,['armyofdarkness']
20,184,Army of Darkness ,#armyofdarkness,"The Sci-Fi & Fantasy Fans Society is a celebration of all things science fiction & fantasy, from books, movies, TV shows, video games, comic books, etc.",4270,0,"Happy Posthumous Birthday Dino de Laurentiis (1919-2010), who produced #Barbarella, #FlashGordon, #Dune, #ConanTheBarbarian, #ConanTheDestroyer, #ArmyOfDarkness &amp; more. https://t.co/DrewCZ1nQD","['Barbarella', 'FlashGordon', 'Dune', 'ConanTheBarbarian', 'ConanTheDestroyer', 'ArmyOfDarkness']"
21,184,Army of Darkness ,#armyofdarkness,"Missy, 40ish, Journalist/Writer/Editor/Wage Slave/Nerd/Fandom Old.  Tweets are my own.",107430,4,Going through old stuff the in-laws kept for us (from our move almost a decade ago) and rediscovered this high school beauty. “Good. Bad. I'm the guy with the gun. #ArmyofDarkness #movies https://t.co/93mpmxL3Aj,[]
22,184,Army of Darkness ,#armyofdarkness,The Hank of Mercy,2266,1,"@GroovyBruce - With all the zombie talk....Would you be up for it good, sir? To join the MCU? 😅🙏

#comics #comicbooks #Marvel #WhatIf #MCU #BruceCampbell #ArmyofDarkness #MarvelZombies #MultiverseOfMadness #Loki https://t.co/aM2A0n2L8f","['comics', 'comicbooks']"
23,184,Army of Darkness ,#armyofdarkness,"He/Him/His - Game Design Art Student, avid gamer, watcher of movies, TV, anime, and YouTube. Profile picture by Shawn McCauley @TheGreatShono",20495,4,Going through old stuff the in-laws kept for us (from our move almost a decade ago) and rediscovered this high school beauty. “Good. Bad. I'm the guy with the gun. #ArmyofDarkness #movies https://t.co/93mpmxL3Aj,[]
24,184,Army of Darkness ,#armyofdarkness,"Loud geek with ADHD. Genderqueer, asexual, demiromantic. Interested in puppetry, animation, theme parks and Critical Role. Verifiably old, allegedly a grown up.",94735,4,Going through old stuff the in-laws kept for us (from our move almost a decade ago) and rediscovered this high school beauty. “Good. Bad. I'm the guy with the gun. #ArmyofDarkness #movies https://t.co/93mpmxL3Aj,[]
25,184,Army of Darkness ,#armyofdarkness,"#blacklivesmatter Writer, game designer, veteran, husband, father, scotch drinker. 3 Gold ENnie Awards. (He/Him) Support: https://t.co/C6YhF8iX96",7820,4,Going through old stuff the in-laws kept for us (from our move almost a decade ago) and rediscovered this high school beauty. “Good. Bad. I'm the guy with the gun. #ArmyofDarkness #movies https://t.co/93mpmxL3Aj,"['ArmyofDarkness', 'movies']"
26,184,Army of Darkness ,#armyofdarkness,The Hank of Mercy,2266,1,"@GroovyBruce - With all the zombie talk....Would you be up for it good, sir? To join the MCU? 😅🙏

#comics #comicbooks #Marvel #WhatIf #MCU #BruceCampbell #ArmyofDarkness #MarvelZombies #MultiverseOfMadness #Loki https://t.co/aM2A0n2L8f","['comics', 'comicbooks', 'Marvel', 'WhatIf', 'MCU', 'BruceCampbell', 'ArmyofDarkness', 'MarvelZombies', 'MultiverseOfMadness', 'Loki']"
27,184,Army of Darkness ,#armyofdarkness,"EXO ~ EXO-ℓ // RobSten // Attack on Titan // SJ // A Song of Ice and Fire // X-Men // One Piece // Gintama // Jujutsu Kaisen // BnHA // DCU // ZOSAN 💛💚
20~",512674,10,"Cover for Die!Namite Lives (2 of 5)!
 https://t.co/ywnHLcG629 if interested!
.
.
#vampirella #ashwilliams #armyofdarkness #redsonja @redsonjaofficial #dynamitecomics @dynamitecomics  #comics #comiccover #coverart #artist #variantcover https://t.co/wq1yBt8Ri0","['vampirella', 'ashwilliams', 'armyofdarkness']"
28,184,Army of Darkness ,#armyofdarkness,Author of Fantasy Gothic Horror fiction. #TheWolfgangTrilogy #Wolfgang #Inquisition #Communion #gothic #vampires #hunters #litfic #amazon #goodreads 🦇🦇🦇,99600,5,"#Brucecampbell has to be one of my all time favs in #horror 
It was amazing to have met him. He was a really cool dude. Just as funny in person! 👍🦇 
#EvilDead #ArmyofDarkness #AshVSEvilDead https://t.co/s1QzoS19LN","['Brucecampbell', 'horror']"
29,184,Army of Darkness ,#armyofdarkness,"Evil Dead fans documentary. Directed by Steve Villeneuve starring Bruce Campbell, Ted Raimi, Tom Sullivan & the Ladies of the Evil Dead",1585,0,"REVIEW ALERT: ""Hail to the Deadites is, without question, a loving tribute to the people who have enjoyed this particular bit of punk rock horror since its inception.""
#HailtotheDeadites Happy Villains Corp #EvilDeadDocumentary #ArmyofDarkness https://t.co/yprlNgdM61","['HailtotheDeadites', 'EvilDeadDocumentary', 'ArmyofDarkness']"
30,184,Army of Darkness ,#armyofdarkness,Shocking Things #podcast review #horror and #cult films from yesterday and today.,53,0,"Your flesh is pretty. Give it to us!
#evildead #evildead2 #armyofdarkness #SamRaimi #brucecampbell #ladiesoftheevildead #ellensandweiss #betsybaker #sarahyork #ash #deadite #bookofthedead #necronomicon https://t.co/4f1ReyIu6L","['evildead', 'evildead2', 'armyofdarkness', 'SamRaimi', 'brucecampbell', 'ladiesoftheevildead', 'ellensandweiss', 'betsybaker', 'sarahyork', 'ash', 'deadite', 'bookofthedead', 'necronomicon']"
31,184,Army of Darkness ,#armyofdarkness,"Author of the memoir The Darkness Within. Release date August 30, 2021 Barnes and Noble and Amazon. A true story of survival and resilience.",480,1,"HA!! Lucky me, @joshruben, a friend of mine saw my comment on your post 🤣🤣🤣🤣 MUAHAHHA now I can enjoy the madness as well!  Thaaank you @drewpaige44 / this means so much... 🧸🧨😵 #comicbooks #comicbookart #comicbook #armyofdarkness #darkman #thedarknesswithin #MARS https://t.co/jc9NEzKbAP",[]
