,Movie Id,Title,Tagword,description,totaltweets,retweetcount,text,hashtags
0,29,Batman Forever ,#batmanforever,I'm just a 21 year old boy who just wants to be happy.,48837,3,"Did you know… author and comic book writer, Peter David wrote a novelisation for #BatmanForever, which included more material than the film? The book was based on the movie’s screenplay so included scenes that were ultimately cut from the finished film. #ReleaseTheSchumacherCut https://t.co/85hgvvRSco",['BatmanForever']
1,29,Batman Forever ,#batmanforever,"The Beatles And The Rolling Stones are #1
Cristobal Huet's #1 Fan 🇨🇵
Host of SHUTOUT: Hockey talk 
Follow us on fb: SHUTOUT: Hockey Talk
Twitter: @ShutoutTalk",23885,3,"Did you know… author and comic book writer, Peter David wrote a novelisation for #BatmanForever, which included more material than the film? The book was based on the movie’s screenplay so included scenes that were ultimately cut from the finished film. #ReleaseTheSchumacherCut https://t.co/85hgvvRSco",['BatmanForever']
2,29,Batman Forever ,#batmanforever,Batman Forever CD-ROM Twitter Bot #BatmanForever,13509,3,"Did you know… author and comic book writer, Peter David wrote a novelisation for #BatmanForever, which included more material than the film? The book was based on the movie’s screenplay so included scenes that were ultimately cut from the finished film. #ReleaseTheSchumacherCut https://t.co/85hgvvRSco",['BatmanForever']
3,29,Batman Forever ,#batmanforever,Batman Forever CD-ROM Twitter Bot #BatmanForever,13509,1,"Notable deleted scenes on the DVD/Blu-ray of #BatmanForever include a TV news discussion about Batman’s role in Gotham City. All of these scenes were snipped from the film before it received its theatrical release. #ReleaseTheSchumacherCut 
(Source: https://t.co/mut6tDlCXQ) https://t.co/bwEO9snhGV",['BatmanForever']
4,29,Batman Forever ,#batmanforever,"Cinema addict! #JamesBond, #Batman, #BackToTheFuture, #StarWars. Proud supporter of #ReleaseTheSchumacherCut #ReleaseTheAyerCut #RestoreTheSnyderVerse #UsUnited",11367,1,"Notable deleted scenes on the DVD/Blu-ray of #BatmanForever include a TV news discussion about Batman’s role in Gotham City. All of these scenes were snipped from the film before it received its theatrical release. #ReleaseTheSchumacherCut 
(Source: https://t.co/mut6tDlCXQ) https://t.co/bwEO9snhGV","['BatmanForever', 'ReleaseTheSchumacherCut']"
5,29,Batman Forever ,#batmanforever,"Cinema addict! #JamesBond, #Batman, #BackToTheFuture, #StarWars. Proud supporter of #ReleaseTheSchumacherCut #ReleaseTheAyerCut #RestoreTheSnyderVerse #UsUnited",11367,3,"Did you know… author and comic book writer, Peter David wrote a novelisation for #BatmanForever, which included more material than the film? The book was based on the movie’s screenplay so included scenes that were ultimately cut from the finished film. #ReleaseTheSchumacherCut https://t.co/85hgvvRSco","['BatmanForever', 'ReleaseTheSchumacherCut']"
6,29,Batman Forever ,#batmanforever,Batman Forever CD-ROM Twitter Bot #BatmanForever,13509,1,"Out of the 15 scenes quoted here throughout the Burton, Schumacher and Nolan verses, 3 are linked to #BatmanForever. Once again showing the importance of #ReleaseTheSchumacherCut!  https://t.co/RegBwCr8Km",['BatmanForever']
7,29,Batman Forever ,#batmanforever,"Cinema addict! #JamesBond, #Batman, #BackToTheFuture, #StarWars. Proud supporter of #ReleaseTheSchumacherCut #ReleaseTheAyerCut #RestoreTheSnyderVerse #UsUnited",11367,1,"Out of the 15 scenes quoted here throughout the Burton, Schumacher and Nolan verses, 3 are linked to #BatmanForever. Once again showing the importance of #ReleaseTheSchumacherCut!  https://t.co/RegBwCr8Km","['BatmanForever', 'ReleaseTheSchumacherCut']"
8,29,Batman Forever ,#batmanforever,"Looking for something new to listen to after finishing binge-listening your favorite podcasts. Check us out. #BLM

Visit our store and get your 'cast featured.",17595,5,"Our latest #episode is out now! This month in our #InDepth episode we're talking #BatmanForever! Head to https://t.co/fPq0vlx7Fe

#PodcastHQ #Batman #TCOP #Podcasting #Podcast #Comics #Movies https://t.co/rnKZrvwIsZ","['episode', 'InDepth', 'BatmanForever']"
9,29,Batman Forever ,#batmanforever,"This is the show where we watch movies, play games, or listen to music in an effort to decide; are we going to keep the disc or are we going to dump it?",1957,16,"ITS HERE!!

Matt teamed up with @realbluesteel to deliver a hard hitting commentary track on #batmanforever a film near and dear to both. It’s the geeks first ever commentary track and it promises to deliver
Video credit to @FNBNPodcast 

https://t.co/W6BOItz6Ej
#movies #podcast https://t.co/iIgRWIb9oS",['batmanforever']
