,Movie Id,Title,Tagword,description,totaltweets,retweetcount,text,hashtags
0,41,Billy Madison ,#billymadison,"A self motivated person. 
#HappyToStandwithGenuinePpl 
#LoveTechnology
#LoveGardening
Believe in #Automation
#LoveCooking
#SocialActivist
#Influencer",89265,1,#CAMFers since the #weekends over lets get back to it &amp; talk #movies. #forrestgump #billymadison #talladeganights #QuestionOfTheDay #questiontime #Questionbox #question #questions #QuestionMark #questioneverything #questionsinspiresolutions #QuestionHour #QOTD #mondaythoughts https://t.co/2riOtFEUvO,"['CAMFers', 'weekends', 'movies', 'forrestgump', 'billymadison', 'talladeganights']"
1,41,Billy Madison ,#billymadison,"Twitch Streamer/Gamer
Steelers & Penguins Fanatic
Discord - https://t.co/B6rDSbQ2F6
XBOX Gamertag - MPN CAMF
Fun Loving Goofball",2191,1,#CAMFers since the #weekends over lets get back to it &amp; talk #movies. #forrestgump #billymadison #talladeganights #QuestionOfTheDay #questiontime #Questionbox #question #questions #QuestionMark #questioneverything #questionsinspiresolutions #QuestionHour #QOTD #mondaythoughts https://t.co/2riOtFEUvO,"['CAMFers', 'weekends', 'movies', 'forrestgump', 'billymadison', 'talladeganights', 'QuestionOfTheDay', 'questiontime', 'Questionbox', 'question', 'questions', 'QuestionMark', 'questioneverything', 'questionsinspiresolutions', 'QuestionHour', 'QOTD', 'mondaythoughts']"
2,41,Billy Madison ,#billymadison,CF3 is a infamous YouTube video series that invites a new cult film industry professional into each episode to help us review our movie of the week.,755,0,"Don't miss the newest, craziest episode to date as Larry Hankin joins us for an epic thrill ride known as Billy Madison! Hit the link and see for yourself what hijinks we get into! #billymadison #LarryHankin #projectnerd #cf3tv #cultclassic #AdamSandler

https://t.co/JScdYtMAzV","['billymadison', 'LarryHankin', 'projectnerd', 'cf3tv', 'cultclassic', 'AdamSandler']"
3,41,Billy Madison ,#billymadison,"85% is about the garbage that I watch, 15% is about the garbage that I am.",9814,0,"Whoops. 

My mistake. 

Turns out I’m watching #BillyMadison, not the Olympics.",['BillyMadison']
4,41,Billy Madison ,#billymadison,"The Bibel Team, #NotYourMothersLender
@thebibelteam",535,0,"Do you know?? 👉🏼 ""Is it cheaper to rent or buy?""  
Watch how Billy surprised us with his response 🤠

https://t.co/nOAOtPTGzc

#billymadison #rentingvsbuying #parody #newvideo #thebibelteam #mortgages #buyingahouse #homeloan #sandiegorealestate https://t.co/55VnBMTBZo","['billymadison', 'rentingvsbuying', 'parody', 'newvideo', 'thebibelteam', 'mortgages', 'buyingahouse', 'homeloan', 'sandiegorealestate']"
5,41,Billy Madison ,#billymadison,"The Bibel Team, #NotYourMothersLender
@thebibelteam",535,0,"True or False? Home values are over inflated...
50 points to whoever gets the answer right in the comments👇🏽✅ Does Billy get it right? Find out soon...

#newvideo #billymadison #parody #thebibelteam #inflation #housingmarket #realestate #homevalues #mortgages #homeloans https://t.co/gS8QW9ZN0j","['newvideo', 'billymadison', 'parody', 'thebibelteam', 'inflation', 'housingmarket', 'realestate', 'homevalues', 'mortgages', 'homeloans']"
6,41,Billy Madison ,#billymadison,"We are the #1 KIA dealer in N.D. We have a full line of new and used vehicles. Best of all, we have the greatest sales team in the area!",164,0,School is right around the corner! It's time for back to school wheels!  #backtoschool #school #education #billymadison #adamsandler #kia #cardealership @ KIA of Fargo https://t.co/rMd9t1gEmb,"['backtoschool', 'school', 'education', 'billymadison', 'adamsandler', 'kia', 'cardealership']"
7,41,Billy Madison ,#billymadison,🦋❤️‍🔥 she/they,55033,0,@KenjaminB23 Wow that’s one of the dumbest things I’ve ever read. I think I’m dumber for having read it. #billymadison,['billymadison']
8,41,Billy Madison ,#billymadison,"The Bibel Team, #NotYourMothersLender
@thebibelteam",535,0,"Back-To-School 📚🎒A Bibel Team Video Production. Coming very soon. 😉

#backtoschool #schoolisinsession #schoolyear2021 #thebibelteam #newvideo #billymadison #mortgage #homeloans #sandiegorealestate https://t.co/xg4yBGmkcU","['backtoschool', 'schoolisinsession', 'schoolyear2021', 'thebibelteam', 'newvideo', 'billymadison', 'mortgage', 'homeloans', 'sandiegorealestate']"
9,41,Billy Madison ,#billymadison,Nerd Party is a group of friends that enjoy playing video games and all sorts of typical nerdy things. Come watch us enjoy the nerdy things in life.,590,0,"Whatcha Say Wednesday

Let's have some fun

So hot! want to touch the...

#nerdparty #predictivetext #fun #billymadison #adamsandler https://t.co/AWz7LW0PEC","['nerdparty', 'predictivetext', 'fun', 'billymadison', 'adamsandler']"
10,41,Billy Madison ,#billymadison,"Musings from a labor and employment lawyer on employment law and the occasional foray in to sports, media, beer and politics. Subpar soccer player. Dad.",3514,0,Sad but true... and hilarious @RepCawthorn @CawthornforNC #billymadison #cluelesscawthorn #NC11  https://t.co/Nouz7Ol0bG,"['billymadison', 'cluelesscawthorn', 'NC11']"
11,41,Billy Madison ,#billymadison,Economics graduate and qualified chartered accountant.  Trading crypto part time.,118,0,"@AdamSandler to do this day I can't have a shower without arguing with myself about which is better, shampoo or conditioner. Anyone else the same? #billymadison #tatatatodayjunior #odoylerules","['billymadison', 'tatatatodayjunior', 'odoylerules']"
