,Movie Id,Title,Tagword,description,totaltweets,retweetcount,text,hashtags
0,186,"Blues Brothers, The ","#bluesbrothers,the",Never got far enough with Michael Jackson to get the big bucks,64,0,"So I thought the real @JimBelushi was following me on TikTok! Turns out it was just a guy trying to sell me some weed, This is just like that time I thought Dan Aykroyd wanted to be my friend on MySpace but instead a guy tried to sell me some sex slaves,
#bluesbrothers",['bluesbrothers']
1,186,"Blues Brothers, The ","#bluesbrothers,the","https://t.co/tpScJeWncA Travel, photography, multimedia, editing. Inquirer/Daily News alum. Rutgers-Camden supporter.",3124,0,wait till Jake &amp; Elwood hear this. grants list from the #NationalParkService.  #bluesbrothers #NPS #Jake #Elwood #JolietPrison #illinois #tourism #blues #JolietJake #Joliet https://t.co/IMSTXaTLF3,"['NationalParkService', 'bluesbrothers', 'NPS', 'Jake', 'Elwood', 'JolietPrison', 'illinois', 'tourism', 'blues', 'JolietJake', 'Joliet']"
2,186,"Blues Brothers, The ","#bluesbrothers,the",Gameplay • Dicas • Unboxing • Exibição da coleção • Curiosidades • Games retrô • Arcades • Jogos em geral,10372,11,"One of the best Platform games on the Amiga is #bluesbrothers it would also play some of the music from the movie also, a really decent Platformer with great humor and animation.

#commodore #amiga1200 #atarist #retrogames #retrogaming #retrogamer #amiga #amiga500 #amigaretweets https://t.co/ZMqXtevSCl",['bluesbrothers']
3,186,"Blues Brothers, The ","#bluesbrothers,the",@petosagan🚲@BORAhansgrohe🚲#BandofBrothers🚲#TheManinBlack🖤@FCBarcelona_cat💙♥️,18025,38,"The Blues Brothers chasing the blues away.
#bluesmusic #bluesbrothers #movies #tuesdaymotivations https://t.co/ASFpKSN8mI","['bluesmusic', 'bluesbrothers', 'movies', 'tuesdaymotivations']"
4,186,"Blues Brothers, The ","#bluesbrothers,the",,40854,38,"The Blues Brothers chasing the blues away.
#bluesmusic #bluesbrothers #movies #tuesdaymotivations https://t.co/ASFpKSN8mI","['bluesmusic', 'bluesbrothers', 'movies', 'tuesdaymotivations']"
5,186,"Blues Brothers, The ","#bluesbrothers,the",A #french #indiegame development studio from #Marseille - Level 0,58214,11,"One of the best Platform games on the Amiga is #bluesbrothers it would also play some of the music from the movie also, a really decent Platformer with great humor and animation.

#commodore #amiga1200 #atarist #retrogames #retrogaming #retrogamer #amiga #amiga500 #amigaretweets https://t.co/ZMqXtevSCl",['bluesbrothers']
6,186,"Blues Brothers, The ","#bluesbrothers,the","Listening to rock & country while grilling, gardening & exploring. Long-suffering Jets, Rangers, Yankees and Knicks fan. No pearls of wisdom.",5053,0,Going with 2/ #bluesbrothers alone carries the day with all-star cast. And #saturdaynightfever @BeeGees music still going strong. Add in #Eminem and it’s a slam dunk! https://t.co/DlNBrFCaZb,"['bluesbrothers', 'saturdaynightfever', 'Eminem']"
7,186,"Blues Brothers, The ","#bluesbrothers,the","Fan de musique, de Google et Android",11367,38,"The Blues Brothers chasing the blues away.
#bluesmusic #bluesbrothers #movies #tuesdaymotivations https://t.co/ASFpKSN8mI","['bluesmusic', 'bluesbrothers', 'movies', 'tuesdaymotivations']"
8,186,"Blues Brothers, The ","#bluesbrothers,the","DTMでブルース演ってます。#創作檄文 曲はストリーミング配信中！Japanese Blues musician, guitar and vocal. Track maker. Creating Blues-based music on computer. Self-composer.
#Blues",12804,38,"The Blues Brothers chasing the blues away.
#bluesmusic #bluesbrothers #movies #tuesdaymotivations https://t.co/ASFpKSN8mI","['bluesmusic', 'bluesbrothers', 'movies', 'tuesdaymotivations']"
9,186,"Blues Brothers, The ","#bluesbrothers,the","Linux, C64, Amiga i Stomil Olsztyn",15207,11,"One of the best Platform games on the Amiga is #bluesbrothers it would also play some of the music from the movie also, a really decent Platformer with great humor and animation.

#commodore #amiga1200 #atarist #retrogames #retrogaming #retrogamer #amiga #amiga500 #amigaretweets https://t.co/ZMqXtevSCl",['bluesbrothers']
10,186,"Blues Brothers, The ","#bluesbrothers,the","Americana, Roots, Blues, Country & Folk music reviews and followers from all around the world.",60956,38,"The Blues Brothers chasing the blues away.
#bluesmusic #bluesbrothers #movies #tuesdaymotivations https://t.co/ASFpKSN8mI","['bluesmusic', 'bluesbrothers', 'movies', 'tuesdaymotivations']"
