,Movie Id,Title,Tagword,description,totaltweets,retweetcount,text,hashtags
0,122,"Cable Guy, The ","#cableguy,the","Profile picture original art by @robb_prueter  
Twitch: https://t.co/nFaNLrHJkT
Youtube: https://t.co/yN2cDYN81s",48094,2,"In this week's #TrippyTripleFeature we discover the friendly neighborhood weirdo may have more to hide than at first glance.

#TheKingofComedy
#CableGuy
#OneHourPhoto

#TrippyTripleFeatureTuesday #TTFT #Movies https://t.co/24rajiNKMA",['TrippyTripleFeature']
1,122,"Cable Guy, The ","#cableguy,the","A skeptic with a sense of humor

A dreamer grounded in reality

A Conservative hippie

#AmWriting",21208,2,"In this week's #TrippyTripleFeature we discover the friendly neighborhood weirdo may have more to hide than at first glance.

#TheKingofComedy
#CableGuy
#OneHourPhoto

#TrippyTripleFeatureTuesday #TTFT #Movies https://t.co/24rajiNKMA",['TrippyTripleFeature']
2,122,"Cable Guy, The ","#cableguy,the",Everyone's got their own little corner of the world. Welcome to ours.,1627,2,"In this week's #TrippyTripleFeature we discover the friendly neighborhood weirdo may have more to hide than at first glance.

#TheKingofComedy
#CableGuy
#OneHourPhoto

#TrippyTripleFeatureTuesday #TTFT #Movies https://t.co/24rajiNKMA","['TrippyTripleFeature', 'TheKingofComedy', 'CableGuy', 'OneHourPhoto', 'TrippyTripleFeatureTuesday', 'TTFT', 'Movies']"
3,122,"Cable Guy, The ","#cableguy,the","Associate Prof, Psych @ontariotech_u | Developmental psych & law | Mom x2 | 🇺🇸 in 🇨🇦 | Cofounder, @PandemicParent | https://t.co/wNm5rqAsYL | #firstgen",9937,1,@LMalloy Isn’t there a #CableGuy somewhere that can tell you the purpose of each and whether they are outdated? I’d 💰.,['CableGuy']
4,122,"Cable Guy, The ","#cableguy,the",President and Founder - Pineapple Hospitality - the leading supplier of Savvy... Sustainable... Solutions for hotels and lodging properties.,17327,1,@LMalloy Isn’t there a #CableGuy somewhere that can tell you the purpose of each and whether they are outdated? I’d 💰.,['CableGuy']
5,122,"Cable Guy, The ","#cableguy,the","Imaging Producer #play107yeg #957CruzFM, #DJ & #PhotoBooth Services #yeg,  #Voiceover Talent, Please follow @DeanVinceDJ",22739,0,"Holy crap I forgot how laugh out loud hilarious Cable Guy is. Watched it a ton when I was younger on my VHS copy but don't have it anymore. I've been looking for the Blu Ray for a long time but I don't think they've made one. Either way, what a classic. #CableGuy @JimCarrey",['CableGuy']
6,122,"Cable Guy, The ","#cableguy,the",,3209,0,"@EITMonline Elliot gets saved by a celebrity = *James begins writing the script to ""Cable Guy II"" #CableGuy",['CableGuy']
7,122,"Cable Guy, The ","#cableguy,the","Author, Rugby Bugby series and A Turkey Named Spaghetti @waldorfreaders. Grateful daily. Writer/Speaker/Lifestyle Coach helping others chase their passions",4599,0,"When the installer arrives before you do 🤷‍♂️

#SaturdayMorning 
#cableguy
#interwebs https://t.co/pYOth8v7W8","['SaturdayMorning', 'cableguy', 'interwebs']"
8,122,"Cable Guy, The ","#cableguy,the",Positive vibes only!!,28467,0,"@Koodoo_sa Tagging my bestie the love of my life @GraceNomonde ❤❤

#KOODOO #WomensDay #GamerGirl #CelebratingWomen #CableGuy #Merch #gamergear #gamerguy #gaming https://t.co/0tWaOvCIfb","['KOODOO', 'WomensDay', 'GamerGirl', 'CelebratingWomen', 'CableGuy', 'Merch', 'gamergear', 'gamerguy', 'gaming']"
9,122,"Cable Guy, The ","#cableguy,the",Positive vibes only!!,28467,1,"Celebrating Women!

Tag your favorite lady in the comments below and help her WIN!

Enter to stand a chance to win your choice of Cable Guy on our site: https://t.co/k5shJYpLkO

#KOODOO #WomensDay #GamerGirl #CelebratingWomen #CableGuy #Merch #gamergear #gamerguy #gaming https://t.co/vafBmzXGgB",[]
10,122,"Cable Guy, The ","#cableguy,the","https://t.co/nQUghcVt4A 

Visit us for official merch and lots more. Explore our expanding catalogue, but refrain from violence as we work out one (or two?) kinks.",963,1,"Celebrating Women!

Tag your favorite lady in the comments below and help her WIN!

Enter to stand a chance to win your choice of Cable Guy on our site: https://t.co/k5shJYpLkO

#KOODOO #WomensDay #GamerGirl #CelebratingWomen #CableGuy #Merch #gamergear #gamerguy #gaming https://t.co/vafBmzXGgB","['KOODOO', 'WomensDay', 'GamerGirl', 'CelebratingWomen', 'CableGuy', 'Merch', 'gamergear', 'gamerguy', 'gaming']"
