,Movie Id,Title,Tagword,description,totaltweets,retweetcount,text,hashtags
0,170,Cinema Paradiso ,#cinemaparadiso,"All India Press Member (NCNB) /
Journalist & Editor in Chief @Jananaayakan /
Media Entrepreneur.",5619,1,"The Classy #madhuridixit
.
.
.
.
.
#Bollywood #bollywoodmovies #bollywoodcinema #cinema #CINEMAUPDATES #cinemaewsupdate #cinemaparadiso #devdasi #iswaryarai #hindhimovie #starDomain https://t.co/r9KHTtCCsU","['madhuridixit', 'Bollywood', 'bollywoodmovies', 'bollywoodcinema', 'cinema', 'CINEMAUPDATES', 'cinemaewsupdate']"
1,170,Cinema Paradiso ,#cinemaparadiso,South India's First Mobile journalism based Digital entertainment channel.,535,1,"The Classy #madhuridixit
.
.
.
.
.
#Bollywood #bollywoodmovies #bollywoodcinema #cinema #CINEMAUPDATES #cinemaewsupdate #cinemaparadiso #devdasi #iswaryarai #hindhimovie #starDomain https://t.co/r9KHTtCCsU","['madhuridixit', 'Bollywood', 'bollywoodmovies', 'bollywoodcinema', 'cinema', 'CINEMAUPDATES', 'cinemaewsupdate', 'cinemaparadiso', 'devdasi', 'iswaryarai', 'hindhimovie', 'starDomain']"
2,170,Cinema Paradiso ,#cinemaparadiso,South India's First Mobile journalism based Digital entertainment channel.,535,0,"The Classy #madhuridixit
.
.
.
.
.
#Bollywood #bollywoodmovies #bollywoodcinema #cinema #CINEMAUPDATES #cinemaewsupdate #cinemaparadiso #devdasi #iswaryarai #hindhimovie #starDomain https://t.co/Ds1KZn4aGr","['madhuridixit', 'Bollywood', 'bollywoodmovies', 'bollywoodcinema', 'cinema', 'CINEMAUPDATES', 'cinemaewsupdate', 'cinemaparadiso', 'devdasi', 'iswaryarai', 'hindhimovie', 'starDomain']"
3,170,Cinema Paradiso ,#cinemaparadiso,"Professional wayward girl, a waytoomuch-time student, crazy about cute tiny useless things, tree-hugger and life-lover.",1600,0,The type of movie you can watch a dozen times and enjoy every single one #cinemaparadiso https://t.co/JeY5u0a44a,['cinemaparadiso']
4,170,Cinema Paradiso ,#cinemaparadiso,"Tweets by a Norwegian lover of Sicily, history and opera. Web guy, photographer. Bring out your dead and your passion.",3014,0,Film Locations in Sicily  https://t.co/XSo1f38qfs #sicily #sicilia #filmlocations #antonioni #lavventura #tornatore #villapalagonia #cefalu #castellitto #gabrieleferzetti #montalbano #taviani #tavianibrothers #kaos #baaria #cinemaparadiso https://t.co/7PdUf6RJDT,"['sicily', 'sicilia', 'filmlocations', 'antonioni', 'lavventura', 'tornatore', 'villapalagonia', 'cefalu', 'castellitto', 'gabrieleferzetti', 'montalbano', 'taviani', 'tavianibrothers', 'kaos', 'baaria', 'cinemaparadiso']"
5,170,Cinema Paradiso ,#cinemaparadiso,,342002,1,"#CinemaParadiso - #CharlieHaden &amp; #PatMetheny - #LegendsLive - Enjoy, have a nice evening everyone!    https://t.co/MIR0agF5so via @YouTube","['CinemaParadiso', 'CharlieHaden', 'PatMetheny', 'LegendsLive']"
6,170,Cinema Paradiso ,#cinemaparadiso,,342002,1,"#CinemaParadiso - #CharlieHaden &amp; #PatMetheny - #LegendsLive - Enjoy, have a nice evening everyone!    https://t.co/MIR0agF5so via @YouTube","['CinemaParadiso', 'CharlieHaden', 'PatMetheny', 'LegendsLive']"
7,170,Cinema Paradiso ,#cinemaparadiso,Half Italian/half English. BSL native. Deaf and proud. Love cooking & all things Italian. #Evertonian,1016,1,"Five minutes in and I'm already blubbing. #CinemaParadiso never fails... - the music, Sicily, Toto - and of course that bell! Simply wonderful and without doubt,  the best film ending EVER. https://t.co/vGaKgiriwf",['CinemaParadiso']
8,170,Cinema Paradiso ,#cinemaparadiso,"Children's Rights, Environmentalist, #EDCs #BSL #TradFiddle Currently ScotGov #Covid-19 HAI response team 

#WEARAMASK
#GETTHEVACCINE 

#FEMINIST",7808,1,"Five minutes in and I'm already blubbing. #CinemaParadiso never fails... - the music, Sicily, Toto - and of course that bell! Simply wonderful and without doubt,  the best film ending EVER. https://t.co/vGaKgiriwf",['CinemaParadiso']
9,170,Cinema Paradiso ,#cinemaparadiso,DM me the F word so I know you're worth it // #nsfw he/him // 43 🇬🇧 // 🤫 Deleted at 2.2M,41277,0,Who can be the Elena to my Salvatore? #cinemaparadiso https://t.co/bmiBz44vyi,['cinemaparadiso']
