,Movie Id,Title,Tagword,description,totaltweets,retweetcount,text,hashtags
0,42,Clerks ,#clerks,"Buffalo's Premier Comic & Pop Culture Convention. June 3-5th, 2022 - Buffalo Niagara Convention Center! #NCC2022",2133,0,An OG Nickel City Con guest returns to his iconic role #Clerks #Clerks3 https://t.co/e00aS0xSao,"['Clerks', 'Clerks3']"
1,42,Clerks ,#clerks,"Live in Hauppauge, NY  and work for a company out in Syosset, NY. One of my interest is the Supernatural!",5434,0,"I think #clerks3  should be in color, that original #clerks cannot be duplicated! #indie  #kevinsmith","['clerks3', 'clerks', 'indie', 'kevinsmith']"
2,42,Clerks ,#clerks,he/him #BLM #freepalestine,2036,0,I “applied” to be in clerks 3 in some ad on Facebook. It’s probably fake but maybe it’s real!  #yolo #clerks #clerks3 https://t.co/tqlwWtyZYg,"['yolo', 'clerks', 'clerks3']"
3,42,Clerks ,#clerks,"1 part Dear Abby, 1 part Miss Manners, 1 part Miss Cleo, couple parts Clarissa/Miss Information and a whole lot of opinions.",89744,0,"""I ASSURE you we are open!""

#Clerks https://t.co/VqojQVscH1",['Clerks']
4,42,Clerks ,#clerks,,1985,1,"which @ThatKevinSmith🚬 movie is a true classic?.

#Clerks🥤 or #Mallrats🥨 or #JayAndSilentBobStrikeBack🚬?.","['Clerks', 'Mallrats', 'JayAndSilentBobStrikeBack']"
5,42,Clerks ,#clerks,,1985,1,"which @ThatKevinSmith🚬 movie is a true classic?.

#Clerks🥤 or #Mallrats🥨 or #JayAndSilentBobStrikeBack🚬?.","['Clerks', 'Mallrats', 'JayAndSilentBobStrikeBack']"
6,42,Clerks ,#clerks,Author of weird fantasy and sci-fi. Experimental psychedelic musician. Writer exploring topics on creativity at https://t.co/Fdh0WSRo1G.,3542,1,Almost to the Quick Stop with @dane_collins! So excited to trace our Gen X roots. #Clerks #Clerks3  #GenX #imnotevensupposedtobeheretoday,"['Clerks', 'Clerks3', 'GenX']"
7,42,Clerks ,#clerks,"All Things Popular Culture; Comics, Movies, Video games, Collectibles And More! Facebook: Nerd Informants Instagram: Nerd Informants",10537,0,", that's their version of #Clerks. There's a lot of us replicating the scenes that you know insanely well from Clerks, and the beautiful thing is they're replicated with all the same people, and we're all so f**king old.""

#jasonmewes #JeffAnderson #BrianOHalloran #RosarioDawson","['Clerks', 'jasonmewes', 'JeffAnderson', 'BrianOHalloran', 'RosarioDawson']"
8,42,Clerks ,#clerks,Latest TV Shows & Series and Movie News,3775,0,#TV #TvNews #TVnewslife #TVNewsExpress #Clerks III Would Work So Much Better as a Streaming Limited Series https://t.co/sjKWrNmHHS https://t.co/Kfhm5exjE7,"['TV', 'TvNews', 'TVnewslife', 'TVNewsExpress', 'Clerks']"
9,42,Clerks ,#clerks,The 206geek is A podcast Hosted by me @ToddThe206geek.,34404,0,#ClerksIII #Clerks #ClerksII #KevinSmith Kevin Smith Reveals if Clerks III Is in Black and White or Color https://t.co/xl1QQOTcVn,"['ClerksIII', 'Clerks', 'ClerksII', 'KevinSmith']"
10,42,Clerks ,#clerks,"Chogrin is an illustrator, toymaker, & storyteller from Guayaquil, Ecuador. Currently directing his animated film, ""Lucky Brave's Sunshine."" https://t.co/pEAg7LctZe",4477,11,"A couple weeks ago I came up with a gift idea I wanted to put together for @thatkevinsmith &amp; core cast of #Clerks &amp; #ClerksII. Since it Kevin had mentioned #BlackParade being a song in the film I thought a #Mashup would be a great gift .... 
Next https://t.co/Tzaw9e2s3U",['Clerks']
11,42,Clerks ,#clerks,"I'm for equality of the human race.
Family Matters. Pizza Matters. Authentic Philly Cheesesteak Matters. #Heat #Allabouttheu #FinsUp #NJ in body. Miami in mind.",15068,0,"@hbomax since you already Stream #Clerks any chance you can offer my fellow Jersey brother @ThatKevinSmith 
a big bag 💰 to release #Clerks3 on #HBOMax ?
Clerks fans #Retweet or comment. Kevin is bring us art...let help get him bread. https://t.co/nx5b2WuHBc","['Clerks', 'Clerks3', 'HBOMax', 'Retweet']"
