,Movie Id,Title,Tagword,description,totaltweets,retweetcount,text,hashtags
0,5,Copycat ,#copycat,fetus taylor https://t.co/cUvn6v99LE,32744,0,@uniqualuvr that’s what mulo said #copycat,['copycat']
1,5,Copycat ,#copycat,Realtor in MD. Lets work together.,23,0,"With access to this #copycat #recipe, you don't need to go to Wendy's for a bowl of chili.  https://t.co/Z7nArirzdL https://t.co/wkGRwU7SBE","['copycat', 'recipe']"
2,5,Copycat ,#copycat,certified bottom red • @FlairLock,12194,0,@LFCVik2 @CalvesLikeShaq Copyin mine una #blert #copycat,"['blert', 'copycat']"
3,5,Copycat ,#copycat,"Crypto is like candy, you get addicted 🍭🍬🤑 #BNB #Bitcoin #Crypto #Ethereum #Dogecoin",119,0,"🐱The final presale is now over Welcome the COPYCAT CREW.🪐🛸

@CopycatFinance💜🪐🛸🐱

#presale #Finance #copycat #BinanceSmartChain 💜💜💜 https://t.co/9awjbbrC9v","['presale', 'Finance', 'copycat', 'BinanceSmartChain']"
4,5,Copycat ,#copycat,2 kitties and a mini long haired Doxie run the program. Proud members of the most elite squad in the Twitterverse known as Zombie Squad #ZSHQ  #RoarForJess,461183,10,"“Hey, Ernie!  You think there’s any truth to what mom and dad were saying the other day about how couples start to look and act alike the longer they’re together?!”
“Nah, Pete. Sounds like nonsense to me.”
#dogs #DogsofTwittter #GRC #dogcelebration #GoldenRetrievers #copycat https://t.co/dG6T3Wmlza",[]
5,5,Copycat ,#copycat,"I am fascinated by the paranormal. I like nature/wildlife. I enjoy exploring the United Kingdom-my favourite places include Devon, Cornwall & Somerset.",104446,10,"“Hey, Ernie!  You think there’s any truth to what mom and dad were saying the other day about how couples start to look and act alike the longer they’re together?!”
“Nah, Pete. Sounds like nonsense to me.”
#dogs #DogsofTwittter #GRC #dogcelebration #GoldenRetrievers #copycat https://t.co/dG6T3Wmlza",[]
6,5,Copycat ,#copycat,Retired Social Worker @ New York State Child Abuse Hotline & Warren Democrat. Passionate Advocate 💃🏽,43660,10,"“Hey, Ernie!  You think there’s any truth to what mom and dad were saying the other day about how couples start to look and act alike the longer they’re together?!”
“Nah, Pete. Sounds like nonsense to me.”
#dogs #DogsofTwittter #GRC #dogcelebration #GoldenRetrievers #copycat https://t.co/dG6T3Wmlza",[]
7,5,Copycat ,#copycat,うみ。,763,1,"Presale has now ended, onwards and upwards @CopycatFinance 📈🚀

#copycat #presale #Crypto #cryptocurrency #investing #invest #BULLISH https://t.co/BY16OvRntz","['copycat', 'presale', 'Crypto', 'cryptocurrency', 'investing', 'invest']"
8,5,Copycat ,#copycat,Long term investor 📈 | main $ETH | Crypto Investing and marketing🤞🏼| #DYOR | #NFA | 🚀DM me for #Promotions & CMS🔥,465,1,"Presale has now ended, onwards and upwards @CopycatFinance 📈🚀

#copycat #presale #Crypto #cryptocurrency #investing #invest #BULLISH https://t.co/BY16OvRntz","['copycat', 'presale', 'Crypto', 'cryptocurrency', 'investing', 'invest', 'BULLISH']"
9,5,Copycat ,#copycat,🌊🌊🌊High school teacher 🤓 Liberal from birth. ❤️ Winnie the Pooh. I’m not looking for a Knight; I’m looking for my sword ⚔️ #DemForce ❄️❄️❄️,439634,10,"“Hey, Ernie!  You think there’s any truth to what mom and dad were saying the other day about how couples start to look and act alike the longer they’re together?!”
“Nah, Pete. Sounds like nonsense to me.”
#dogs #DogsofTwittter #GRC #dogcelebration #GoldenRetrievers #copycat https://t.co/dG6T3Wmlza",[]
