,Movie Id,Title,Tagword,description,totaltweets,retweetcount,text,hashtags
0,32,Crumb ,#crumb,S p a c e,162,96,"day one of draiwng crumb until she follows me 

its crumb

[rts are highly appreciated!!!!]
-
#crumb #crumbfanart https://t.co/2zK63REmTA","['crumb', 'crumbfanart']"
1,32,Crumb ,#crumb,"Just drawing to pass the time, mostly MCYT and TOH",336,10,"day 2 of drawing crumb until we are moots
-
[rts are highly appreciated!!!!]
-
#cuptoastfanart #crumb #crumbfanart https://t.co/AlbLDyfjXf","['cuptoastfanart', 'crumb', 'crumbfanart']"
2,32,Crumb ,#crumb,18 | she/they | nonbinary lesbian | white | bee enthusiast | animal crossing | software engineer | blm | acab | priv: @PoetYoinks | pfp by @guarded_belief,2309,10,"day 2 of drawing crumb until we are moots
-
[rts are highly appreciated!!!!]
-
#cuptoastfanart #crumb #crumbfanart https://t.co/AlbLDyfjXf","['cuptoastfanart', 'crumb', 'crumbfanart']"
3,32,Crumb ,#crumb,|| Any Pronouns || Minor || Not An Inniter 🙄 /j || Mcyt Artist || Pfp By @cherrybeez_,1538,10,"day 2 of drawing crumb until we are moots
-
[rts are highly appreciated!!!!]
-
#cuptoastfanart #crumb #crumbfanart https://t.co/AlbLDyfjXf","['cuptoastfanart', 'crumb', 'crumbfanart']"
4,32,Crumb ,#crumb,"I draw ig | minor! |Tiktok: @ _mimiyana_          

currently obsessed with sapnap",2021,10,"day 2 of drawing crumb until we are moots
-
[rts are highly appreciated!!!!]
-
#cuptoastfanart #crumb #crumbfanart https://t.co/AlbLDyfjXf","['cuptoastfanart', 'crumb', 'crumbfanart']"
5,32,Crumb ,#crumb,🏳️‍🌈i am dying help me,1025,10,"day 2 of drawing crumb until we are moots
-
[rts are highly appreciated!!!!]
-
#cuptoastfanart #crumb #crumbfanart https://t.co/AlbLDyfjXf","['cuptoastfanart', 'crumb', 'crumbfanart']"
6,32,Crumb ,#crumb,🏳️‍🌈 pizza ✎ doesn’t think while drawing lines | art perms in carrd | sb unf pls | @garafterhours,40958,10,"day 2 of drawing crumb until we are moots
-
[rts are highly appreciated!!!!]
-
#cuptoastfanart #crumb #crumbfanart https://t.co/AlbLDyfjXf","['cuptoastfanart', 'crumb', 'crumbfanart']"
7,32,Crumb ,#crumb,Hi I'm Lovely/Pumpkin! I'm a very dumb person drawing stuff for some reason. Honestly I don't know what I'm doing😃,370,10,"day 2 of drawing crumb until we are moots
-
[rts are highly appreciated!!!!]
-
#cuptoastfanart #crumb #crumbfanart https://t.co/AlbLDyfjXf","['cuptoastfanart', 'crumb', 'crumbfanart']"
8,32,Crumb ,#crumb,"🏳️‍🌈 mcyt artist & animator ! minor, pls dont be weird | pfp by: @poolbranch",11180,10,"day 2 of drawing crumb until we are moots
-
[rts are highly appreciated!!!!]
-
#cuptoastfanart #crumb #crumbfanart https://t.co/AlbLDyfjXf","['cuptoastfanart', 'crumb', 'crumbfanart']"
9,32,Crumb ,#crumb,"Im a minor, i do bad art of random stuff and occasionally i draw mcyt related things",1995,10,"day 2 of drawing crumb until we are moots
-
[rts are highly appreciated!!!!]
-
#cuptoastfanart #crumb #crumbfanart https://t.co/AlbLDyfjXf","['cuptoastfanart', 'crumb', 'crumbfanart']"
