,Movie Id,Title,Tagword,description,totaltweets,retweetcount,text,hashtags
0,9,Dead Man Walking ,#deadmanwalking,"I Create Videos, Stories, Characters, Listen Music & Watch TV & @YouTube. I Like Wrestling Of @WWE,WCW,ECW& @NWA. 
💏 Interracial Couple with @MarionFontanez.",56952,0,[Bell Gong 18 Times] [Thunder Strikes 8 Times] Deadman Walking. -@undertaker (Online) #DeadmanWalking,['DeadmanWalking']
1,9,Dead Man Walking ,#deadmanwalking,"Checkouts guy, ex #RoyalNavy, ex #airborne #soldier, ex #prostatecancer, #cancer #rehab chap, #personaltrainer, #gym owner, accidental #writer, #runs up hills.",23574,3,Am with these great guys @ethansgrumps and @liamdbergin and wishing them all the best with #deadmanwalking raising funds for @ProstateUK and @macmillancancer,['deadmanwalking']
2,9,Dead Man Walking ,#deadmanwalking,"leading @GM_Cancer with a positive mindset,mum of mini,former cancer nurse, proud to work in NHS💙ultra Runner,hubby is living with cancer& we busy living ❤️ OV",18068,3,Am with these great guys @ethansgrumps and @liamdbergin and wishing them all the best with #deadmanwalking raising funds for @ProstateUK and @macmillancancer,['deadmanwalking']
3,9,Dead Man Walking ,#deadmanwalking,#1 Στις Επιτυχίες!,161522,0,Now On Air #Smiley - #DeadManWalking   https://t.co/EGCGyrpR0o,"['Smiley', 'DeadManWalking']"
4,9,Dead Man Walking ,#deadmanwalking,Racing in the btcc with @chrissmiley22 and proud Dad and grandad to Olivia.,8193,3,Am with these great guys @ethansgrumps and @liamdbergin and wishing them all the best with #deadmanwalking raising funds for @ProstateUK and @macmillancancer,['deadmanwalking']
5,9,Dead Man Walking ,#deadmanwalking,"Librarian (Ret)🌳
Enviro Scientist🌿🕸🐞ClimateChange🌳
RadFem leftie🌳

Arts🌍🏡Aust/Intern Politics🍁
Resided OZ, UK, USA
🌳immuncompromadultdtwin daughters",179429,3,Morrison looked like a #DeadManWalking as he left #qt 🤣,"['DeadManWalking', 'qt']"
6,9,Dead Man Walking ,#deadmanwalking,"brandpromoter, social media marketer ,phone flipping ,online shopper motivational models  and cretic ( real cretic n if take personal we mkt online real fight )",20072,52,Everything you  will say will be used against you inside the octagon and also outside @USMAN84kg 👑👑 #Deadmanwalking,['Deadmanwalking']
7,9,Dead Man Walking ,#deadmanwalking,"Social Justice, Education, Climate Change",336146,3,Morrison looked like a #DeadManWalking as he left #qt 🤣,"['DeadManWalking', 'qt']"
8,9,Dead Man Walking ,#deadmanwalking,"Passionate about social justice, politics #auspol, DV, homelessness, youth and aged issues, disabled, environment, renewable energy, nature, oz photography.....",590226,3,Morrison looked like a #DeadManWalking as he left #qt 🤣,"['DeadManWalking', 'qt']"
9,9,Dead Man Walking ,#deadmanwalking,"Atheist music sport,politics #MurdochRoyalCommission #BoycottMurdochMedia #SaveOurABC",96072,3,Morrison looked like a #DeadManWalking as he left #qt 🤣,"['DeadManWalking', 'qt']"
10,9,Dead Man Walking ,#deadmanwalking,"Politics, Pphotography",279517,11,Imagine Covid19 Australia🇦🇺 with Prime Minister like Bob Hawke who could pull Aussies together in difficult times instead of a #DeadManWalking ? #auspol #LibSpill,[]
