,Movie Id,Title,Tagword,description,totaltweets,retweetcount,text,hashtags
0,155,Dirty Dancing ,#dirtydancing,"Aussie, freedom and family.",848,0,"This has what it has come too. People in social world casting comments and think they know. Raising red flags.... worry about your own life. 

#nanny #dirtydancing #scumofthenet

https://t.co/pDeImTG0FU","['nanny', 'dirtydancing', 'scumofthenet']"
1,155,Dirty Dancing ,#dirtydancing,I love all things about dance. Join me in a fabulous dance/fitness journey! PM 4 Zoom class details or comment on posts https://t.co/jPJ6etPQHJ,651,0,"If you want to learn how to call your lover boy join us next Monday at 6.15 pm. @FusionStudios1 FitSteps Dirty Dancing style. The time of your life in only 45 mins! Book now:

https://t.co/bfGGUDWBUi 💃🏼#loverboy #mondaymotivation  #dirtydancing #ivehadthetimeofmylife #fitsteps https://t.co/EFwcLq9978","['loverboy', 'mondaymotivation', 'dirtydancing', 'ivehadthetimeofmylife', 'fitsteps']"
2,155,Dirty Dancing ,#dirtydancing,'The only impossible journey is the one you never begin' #Internationalist #Diplomacy #Defence #InternationalBussiness #UKInMexico 🇬🇧🇲🇽 / Views are my own,1530,0,"#DirtyDancing lift upgraded, now I want to do that! 💃🤸‍♀️

Video credit unknown

#Dance #Dancer #Dancing #Love https://t.co/yRqbTJU3mY","['DirtyDancing', 'Dance', 'Dancer', 'Dancing', 'Love']"
3,155,Dirty Dancing ,#dirtydancing,"#ImABeliever #LifetimeMetsFan #Music #Christmas365 #POstables #Hearties #Hallmarkies #Pastor #DJ
#ShamokinAllianceChurch #RudyOnTheRadio #LiftFM #987TheCoast",43246,1,Can’t hear a song from the #DirtyDancing soundtrack without thinking of @lori_labianca I hope you’re doing well ☺️ @OldiesWithRudy @987TheCoast,['DirtyDancing']
4,155,Dirty Dancing ,#dirtydancing,"Staci's second twitter account for Signed,Sealed,Delivered, and all things related. #POstables @hallmarkDrama ( NOT a heartie, won't follow )",27785,1,Can’t hear a song from the #DirtyDancing soundtrack without thinking of @lori_labianca I hope you’re doing well ☺️ @OldiesWithRudy @987TheCoast,['DirtyDancing']
5,155,Dirty Dancing ,#dirtydancing,"The world's finest selection of authentic #vintage t-shirts. 3535 Broadway, R103, #KansasCity, MO | Tue-Sat: 12-7/Sun-Mon: Closed | 👕💸 @AxlRose @AzizAnsari +",13370,0,"🕺💃

Vintage 1988 Dirty Dancing Movie Promo Shirt - https://t.co/X0Spo19CXd

#vintage #80s #dirtydancing https://t.co/vC9zRIOFLI","['vintage', '80s', 'dirtydancing']"
6,155,Dirty Dancing ,#dirtydancing,She/Her. Irish Casting Director. CDG CSA IFTA & BAFTA 🎣,5058,0,#DirtyDancing Outdoor Screening @TheBullDrogheda Pitch Perfect 💙 https://t.co/CFPuRwWKW9,['DirtyDancing']
7,155,Dirty Dancing ,#dirtydancing,"Embrace me as I am ♡
instagram: katierasm",1809,0,📷 Embrace change with every grind you face 💪 #taylorJohnson is hot. See next pic and #fight for your #righttorock #and #always #face #fears #justbreathe nobody puts #baby in a the corner. #dirtydancing #not a #dirtydancingpost #sorry lol I... https://t.co/aK6f44MBIm,"['taylorJohnson', 'fight', 'righttorock', 'and', 'always', 'face', 'fears', 'justbreathe', 'baby', 'dirtydancing', 'not', 'dirtydancingpost', 'sorry']"
8,155,Dirty Dancing ,#dirtydancing,,2981,0,"Outdoor #DirtyDancing @TheBullDrogheda
In my element 😍🎥🕺 https://t.co/puz3h1UU99",['DirtyDancing']
9,155,Dirty Dancing ,#dirtydancing,"Husband 2 under 5.5s, &  3 red fox labs, old runner livestock lecturer @RoyalAgUni  Passionate for students to embrace the power of knowledge. All views my own",8500,0,And in other news our 5.75 year old is now rather obsessed with #dirtydancing or mum is 🙈 https://t.co/MwI7wc9gdg,['dirtydancing']
10,155,Dirty Dancing ,#dirtydancing,"Here's How An African Shaman SAVED My Life with a...  
10-Second Daily ""Ritual"" That CRUSHED My Munchies and BURNED 97lbs of Belly Fat",1836,1,"#HappyBirthday #EricCarmen 🥳 
celebrating 72 yrs young today. - 
#DirtyDancing 🕺💃 #HungryEyes (Video) https://t.co/oGN7zUtAzH via @YouTube","['HappyBirthday', 'EricCarmen', 'DirtyDancing', 'HungryEyes']"
11,155,Dirty Dancing ,#dirtydancing,"Fan of #BlueWave, TNG-era #Degrassi & #MiriamMcDonald!",385407,0,"Today is #EricCarmen's birthday...#HungryEyes is a classic from the original #DirtyDancing, and before that, #AllByMyself!","['EricCarmen', 'HungryEyes', 'DirtyDancing', 'AllByMyself']"
12,155,Dirty Dancing ,#dirtydancing,"News Correspondent , Investigative Journalist, Infotainment,  Activist - #Hollywood",86253,1,"#HappyBirthday #EricCarmen 🥳 
celebrating 72 yrs young today. - 
#DirtyDancing 🕺💃 #HungryEyes (Video) https://t.co/oGN7zUtAzH via @YouTube","['HappyBirthday', 'EricCarmen', 'DirtyDancing', 'HungryEyes']"
13,155,Dirty Dancing ,#dirtydancing,Photography ; Watercolour Artist ; Activist Winnipeg Jets ;. Toronto Blue Jays ;. Curling ; Tennis,8472,155,"""So I carried a watermelon"" 🍉😂

Respond with a pic of your pet and a famous movie line below 🎬

#DirtyDancing #dogsoftwitter #CatsOfTwitter https://t.co/acP6hOqasT",['DirtyDancing']
