,Movie Id,Title,Tagword,description,totaltweets,retweetcount,text,hashtags
0,43,Disclosure ,#disclosure,https://t.co/xqchFrBUk7 (spotify) https://t.co/aJ7NjaaMvn (iTunes) https://t.co/1mebvyMWMT (Google Play) https://t.co/XEITPuQ43D (Amazon),61217,1,"@davidduchovny is our forever #mancrushmonday 

#davidduchovny #mondaymood #mondaymeme #thexfiles #xfiles #ufo #alien #scifi #UAP #aliens #gilliananderson #ufos #ufology #area51 #extraterrestrial #ancientaliens #disclosure #ufosightings #aliensarereal #ufohunters #ufomemes https://t.co/PGpGLylwpc","['mancrushmonday', 'davidduchovny', 'mondaymood', 'mondaymeme', 'thexfiles', 'xfiles', 'ufo', 'alien']"
1,43,Disclosure ,#disclosure,why am I here? 🤔,1167,48,"A letter to Kenya’s youth: If you want peace in 2022, protect your Motherland! 

Read Dr. Willy Mutunga's article here👉https://t.co/Ng60lFtyhw for more!
#Election2022 #ElectionSeries #Disclosure @WMutunga",[]
2,43,Disclosure ,#disclosure,Disciple. Son. Brother. Friend. Reader. Writer. I seek to glorify Him and glory in Him.,5397,48,"A letter to Kenya’s youth: If you want peace in 2022, protect your Motherland! 

Read Dr. Willy Mutunga's article here👉https://t.co/Ng60lFtyhw for more!
#Election2022 #ElectionSeries #Disclosure @WMutunga",[]
3,43,Disclosure ,#disclosure,"Your friendly (maybe!) ""left wing radical"" rock N roll native Floridian (lucky me!) crazy person! #UFOtwitter 🛸👽👾🤖🛸 DECLASSIFY ALL UFO FILES NOW!",69540,0,"RIP, and may his work be continuous added to!
https://t.co/9Ad4quAALF
#ufotwitter #Disclosure #UFOs #aliens","['ufotwitter', 'Disclosure', 'UFOs', 'aliens']"
4,43,Disclosure ,#disclosure,"Free TV Your Way!

Devotv is the first no-subscription streaming platform offering free tv with or without ads. Devotv is the Ultimate Devoted Fan TV Hangout.",1534,1,"@davidduchovny is our forever #mancrushmonday 

#davidduchovny #mondaymood #mondaymeme #thexfiles #xfiles #ufo #alien #scifi #UAP #aliens #gilliananderson #ufos #ufology #area51 #extraterrestrial #ancientaliens #disclosure #ufosightings #aliensarereal #ufohunters #ufomemes https://t.co/PGpGLylwpc","['mancrushmonday', 'davidduchovny', 'mondaymood', 'mondaymeme', 'thexfiles', 'xfiles', 'ufo', 'alien', 'scifi', 'UAP', 'aliens', 'gilliananderson', 'ufos', 'ufology', 'area51', 'extraterrestrial', 'ancientaliens', 'disclosure', 'ufosightings', 'aliensarereal', 'ufohunters', 'ufomemes']"
5,43,Disclosure ,#disclosure,"Nope.  #optruthintegration
The truth shall set us free.",19125,2,"Ventura, California - July 31, 2021 ℹ️ 

Shared with Contact Tour from CE5 Practitioner Hunter B.

All inquiries : info@contacttour.net 
.
.
.
#ContactTour #CE5 #UAPActNow #Disclosure #Humanity #ET #Extraterrestrial #Peace #UFOTwitter #Science #LookUp https://t.co/evGCvWSmcQ",[]
6,43,Disclosure ,#disclosure,"Bramasol the Leader in SAP Finance and Finance Compliance Consulting for Digital Solution Economy, S/4HANA, Advisory, Treasury, Revenue Recognition & Leasing",5990,0,#Companies oppose one-size-fits-all #SEC climate #disclosure rule: survey https://t.co/4nMAg47T9t by @CFODive #CFOs,"['Companies', 'SEC', 'disclosure', 'CFOs']"
7,43,Disclosure ,#disclosure,Banjo frog.,1149,0,"In retrospect, the #XFiles was way more accurate in its depiction of government structure, methodolgy, and attitude than most are comfortable to admit.

#UFOs #UAP #Aliens #Disclosure https://t.co/uHLSK621Cp","['XFiles', 'UFOs', 'UAP', 'Aliens', 'Disclosure']"
8,43,Disclosure ,#disclosure,"Corporations Law & Corporate Governance, Swinburne Law School, #governance #corpgov #boards #diversity #risk #culture #accountability RTs not = endorsements",4156,0,"Frydenberg’s #continuous #disclosure laws - get of jail card card for directors re disclosure failures that are not negligent or deliberate.  Govt worries about discouraging class actions, market worries about insider trading.  Problem saved?   https://t.co/JeCBuHboxw","['continuous', 'disclosure']"
9,43,Disclosure ,#disclosure,this too is passing...,100715,0,"UFO documentaries are rolling out in the mainstream like $TSLA Model Ys 🦾👽🛸 #UFOs #UFOtwitter #Disclosure 
The UFO Phenomenon | Full Documentary | @7NewsSpotlight https://t.co/WoERz3tG5z","['UFOs', 'UFOtwitter', 'Disclosure']"
