,Movie Id,Title,Tagword,description,totaltweets,retweetcount,text,hashtags
0,47,Ed Wood ,#edwood,"We offer a unique brand of Rock & Roll called
""Monster Garage Pop""",1612,0,"August 9th 1985,  Tim Burton’s first feature film Pee-Wee’s Big Adventure, was released, and he has continued to make some of our favorites! 

What’s your favorite Tim Burton film?

#peeweeherman #timburton #horrorhost #dvic #beetlejuice #batman #hollywood #edwood #marsattacks https://t.co/rer1ClmiGa","['peeweeherman', 'timburton', 'horrorhost', 'dvic', 'beetlejuice', 'batman', 'hollywood', 'edwood', 'marsattacks']"
1,47,Ed Wood ,#edwood,"Official Twitter page of freelance filmmaker, classic film/TV buff, blog writer, @hood_college grad, former @blazerradio DJ & #cma304 alum Chris Hamby. Welcome!",216259,15,"Here’s the recording of the live virtual performance of “#Plan9FromOuterSpace,” featuring me as #Vampira, @grifdean as Bela, @steelydamnnn as Eros, and many others who aren’t on Twitter! #EdWood #Svengoolie https://t.co/ZHn7X6dkM3","['Plan9FromOuterSpace', 'Vampira']"
2,47,Ed Wood ,#edwood,"German-Puerto Rican 🇩🇪🇵🇷 #IndieGameDeveloper, #artist, #movie fan and computer scientist. My tweets are in English and German.",5076,0,"I don't know why, but it makes me think of the movie Plan 9 from Outer Space. 

#UFOs #PixelArt #EdWood #ClassicMovies #Aliens https://t.co/QyqYFulUxe","['UFOs', 'PixelArt', 'EdWood', 'ClassicMovies', 'Aliens']"
3,47,Ed Wood ,#edwood,"Official Twitter page of freelance filmmaker, classic film/TV buff, blog writer, @hood_college grad, former @blazerradio DJ & #cma304 alum Chris Hamby. Welcome!",216259,5,Tune in RIGHT NOW to catch me as #Vampira (and others) in #ZoomingTheMovies’ “#EdWood”! #TimBurton #Plan9FromOuterSpace #Svengoolie https://t.co/3p6Tg4s4Pg,"['Vampira', 'ZoomingTheMovies', 'EdWood', 'TimBurton', 'Plan9FromOuterSpace']"
4,47,Ed Wood ,#edwood,Owner of Ital Fence. Huge wrestling and comic fan. Overall just a dude going through the motions of life,11587,0,Movie night. Showing @ash_villano #Edwood for the first time. Great movie https://t.co/uds9cwhJfx,['Edwood']
5,47,Ed Wood ,#edwood,"•Writer/Actor/Singer/Director/DJ @WNUR893 #JamminWithJamie/Multihyphenate
•Rep: Dream Team, CTN
•@NorthwesternU Radio/TV/Film, PoliSci
•@HorrorObsessive",95421,15,"Here’s the recording of the live virtual performance of “#Plan9FromOuterSpace,” featuring me as #Vampira, @grifdean as Bela, @steelydamnnn as Eros, and many others who aren’t on Twitter! #EdWood #Svengoolie https://t.co/ZHn7X6dkM3","['Plan9FromOuterSpace', 'Vampira']"
6,47,Ed Wood ,#edwood,"Program Manager for @USTheatreCo. Pura locura, güey! he/him/el",5398,3,"If you like #HollywoodHistory, #EdWood, &amp; true life stories from #OldHollywood, you will like this thread from a convo w/my mom this morning. The thread is longer bc, as a historian/archivist/scholar, I would be remiss if i didn’t include pix. If these pix interest I, read on: https://t.co/ORBABtgXQU","['HollywoodHistory', 'EdWood', 'OldHollywood']"
7,47,Ed Wood ,#edwood,Los Angeles poet since 1997.  Sporadic podcaster—REVIEWS AND OTHERWISE now on Spotify.,352183,3,"If you like #HollywoodHistory, #EdWood, &amp; true life stories from #OldHollywood, you will like this thread from a convo w/my mom this morning. The thread is longer bc, as a historian/archivist/scholar, I would be remiss if i didn’t include pix. If these pix interest I, read on: https://t.co/ORBABtgXQU","['HollywoodHistory', 'EdWood', 'OldHollywood']"
8,47,Ed Wood ,#edwood,Three bucks two bags one meat // 🌈 // musical theatre bimbo // comrade // film nerd // composer // lyricist // singer // storyteller,33693,3,"If you like #HollywoodHistory, #EdWood, &amp; true life stories from #OldHollywood, you will like this thread from a convo w/my mom this morning. The thread is longer bc, as a historian/archivist/scholar, I would be remiss if i didn’t include pix. If these pix interest I, read on: https://t.co/ORBABtgXQU","['HollywoodHistory', 'EdWood', 'OldHollywood']"
9,47,Ed Wood ,#edwood,Writer. Archival activist. Podcastress @archivistsalley. Korean Classic Film & archives focus. Kim Ki-young fan. Intersectional. all words/opinions mine-She/Her,66630,0,"Every time they went, there was always a lady swimming. Doing the breast stroke. My mom never knew her name. All they knew was…that she was married to the famous psychic Criswell, best known as The Amazing Criswell &amp; played by Jeffrey Jones in the brilliant film #EdWood https://t.co/wW7GZBzzht",['EdWood']
