,Movie Id,Title,Tagword,description,totaltweets,retweetcount,text,hashtags
0,172,"Empire Strikes Back, The ","#empirestrikesback,the",Writer. Artist. Photographer. Old School Punk/Goth. Loves Depeche Mode. Local SEO & Digital Media Specialist. Organizer of @PRFMLorain,45258,0,Click &amp; Read: May the 4th Be With You! https://t.co/n91nHk91eV #anewhope #darthvader #empire #empirestrikesback,"['anewhope', 'darthvader', 'empire', 'empirestrikesback']"
1,172,"Empire Strikes Back, The ","#empirestrikesback,the","An average gamer for average gamers alike!
come and join me through trials and tribulations as I live stream a variety of content as well as video compilations!",1220,5,OPGN WEDNESDAY RETRO ROULETTE - SW SHADOWS OF THE EMPIRE https://t.co/sUrl0TaVsS #onlycans #supportsmallstreamers #starwars #empirestrikesback,"['onlycans', 'supportsmallstreamers', 'starwars']"
2,172,"Empire Strikes Back, The ","#empirestrikesback,the","Live, Love, Disney. To the young and the young at heart, welcome to MorTown Magic. Your headquarters for Disneyland nostalgia, and Disney news.",2880,1,I laughed so hard when the latest episode of Monsters at Work reference to Empire Strikes Back. When Luke is trapped in the ice cave. #MonstersAtWork #EmpireStrikesBack  #DisneyownsStarWars https://t.co/onIDChso0p,[]
3,172,"Empire Strikes Back, The ","#empirestrikesback,the","Want to grow your channel like never before? become a featured streamer at https://t.co/VuqlPcBRxt. 
Going live? tag us and follow us to get a retweet from us. ♥",1305998,5,OPGN WEDNESDAY RETRO ROULETTE - SW SHADOWS OF THE EMPIRE https://t.co/sUrl0TaVsS #onlycans #supportsmallstreamers #starwars #empirestrikesback,"['onlycans', 'supportsmallstreamers', 'starwars']"
4,172,"Empire Strikes Back, The ","#empirestrikesback,the","Want to grow your channel like never before? become a featured streamer at https://t.co/VuqlPcBRxt. 
Going live? tag us and follow us to get a retweet from us. ♥",1926297,5,OPGN WEDNESDAY RETRO ROULETTE - SW SHADOWS OF THE EMPIRE https://t.co/sUrl0TaVsS #onlycans #supportsmallstreamers #starwars #empirestrikesback,"['onlycans', 'supportsmallstreamers', 'starwars']"
5,172,"Empire Strikes Back, The ","#empirestrikesback,the",Are you looking for a personalized custom Mascot logo? Say no more! You've come to the right place. DM us to place order.,467456,5,OPGN WEDNESDAY RETRO ROULETTE - SW SHADOWS OF THE EMPIRE https://t.co/sUrl0TaVsS #onlycans #supportsmallstreamers #starwars #empirestrikesback,"['onlycans', 'supportsmallstreamers', 'starwars']"
6,172,"Empire Strikes Back, The ","#empirestrikesback,the","On Twitter I will usually tweet about 3 things. Family/Church of Jesus Christ of Latter-day Saints things, gaming and/or Deaf/ASL Interpreting things.",3890,1,I laughed so hard when the latest episode of Monsters at Work reference to Empire Strikes Back. When Luke is trapped in the ice cave. #MonstersAtWork #EmpireStrikesBack  #DisneyownsStarWars https://t.co/onIDChso0p,"['MonstersAtWork', 'EmpireStrikesBack', 'DisneyownsStarWars']"
7,172,"Empire Strikes Back, The ","#empirestrikesback,the",Father. Husband. ITS Product Manager. Gamer. Lover of Star Wars. that pretty much sums me up!,3652,0,Omg! The #MonstersAtWork / #Empirestrikesback Easter egg was AMAZING!!!! @Pixar,"['MonstersAtWork', 'Empirestrikesback']"
8,172,"Empire Strikes Back, The ","#empirestrikesback,the","#CakeNation
Streamer / Networking
https://t.co/b80k0SguxC
https://t.co/xaKPv8F4xl
https://t.co/MMVjpMJpRi
https://t.co/TGfd9cym6b",2786,5,OPGN WEDNESDAY RETRO ROULETTE - SW SHADOWS OF THE EMPIRE https://t.co/sUrl0TaVsS #onlycans #supportsmallstreamers #starwars #empirestrikesback,"['onlycans', 'supportsmallstreamers', 'starwars']"
9,172,"Empire Strikes Back, The ","#empirestrikesback,the",I’m a small time streamer with a strict schedule from Ontario Canada 🇨🇦. I stream every night at 8PM EST and 7PM Sundays. https://t.co/uWeBPSvZbD,144,5,OPGN WEDNESDAY RETRO ROULETTE - SW SHADOWS OF THE EMPIRE https://t.co/sUrl0TaVsS #onlycans #supportsmallstreamers #starwars #empirestrikesback,"['onlycans', 'supportsmallstreamers', 'starwars', 'empirestrikesback']"
