,Movie Id,Title,Tagword,description,totaltweets,retweetcount,text,hashtags
0,78,Free Willy ,#freewilly,21 🧬~ Python ♥ ~ Books 📚 ~ Coffee ☕,439798,8,"#FreePress #FreeSpeech #FreeThought #FreeWilly😐
#indiedev #indiegames #100DaysOfCode
#science #WomenInSport
#laicism #TFSM #LGBTQ
#Olympics 
#code #javascript
#WomenWhoCode #Python #gamedevs
#GideonTheNinth #GirlsWhoCode
""no more #gods #saviours #emperors #tzars
or #tyrants"" https://t.co/HCyFmWB4w1","['FreePress', 'FreeSpeech', 'FreeThought', 'FreeWilly', 'indiedev', 'indiegames', '100DaysOfCode', 'science', 'WomenInSport', 'laicism', 'TFSM']"
1,78,Free Willy ,#freewilly,Read movie reviews from critics and film fans. Cinafilm helps you decide which movie to watch next.,160294,0,"Free Willy (1993) - Read 486 Movie Reviews 
Link: https://t.co/aJnGLGyCsx 
#FreeWilly #MovieReviews","['FreeWilly', 'MovieReviews']"
2,78,Free Willy ,#freewilly,,36338,5,"#FreePress #FreeSpeech #FreeThought #FreeWilly😐
#HumanRights #science
#laicism #TFSM #LGBT #LGBTQ

#Infosec #cybersecurity #javascript #code
#WomenWhoCode #Python #gamedevs
#GideonTheNinth #HarrowTheNinth and #girlswhocode
""no more #gods #saviours #emperors #tzars
or #tyrants"" https://t.co/2Ergx0y4up","['FreePress', 'FreeSpeech', 'FreeThought', 'FreeWilly', 'HumanRights', 'science', 'laicism', 'TFSM', 'LGBT', 'LGBTQ', 'Infosec']"
3,78,Free Willy ,#freewilly,An open source bot here to support all women who code 👩🏿‍💻👩🏽‍💻👩🏻‍💻👩🏾‍💻👩🏼‍💻 Created by @SaraTorrey & @danotorrey with ❤️💜💛💚💙 Learn more: https://t.co/pfxJLxNhZ2,462315,1,"@_vinny_92 ...who's #Gatsby😐

#FreePress #FreeSpeech #FreeThought #FreeWilly😐
#HumanRights #science
#laicism #TFSM #LGBTQ

#Infosec #javascript #code
#WomenWhoCode #Python #gamedevs
#GideonTheNinth #HarrowTheNinth and #girlswhocode
""no more #gods #saviours #emperors #tzars
or #tyrants""","['Gatsby', 'FreePress', 'FreeSpeech', 'FreeThought', 'FreeWilly', 'HumanRights', 'science', 'laicism', 'TFSM', 'LGBTQ']"
4,78,Free Willy ,#freewilly,...bar is closed people stagger out...the pretty the crippled and the proud.,21620,1,"@_vinny_92 ...who's #Gatsby😐

#FreePress #FreeSpeech #FreeThought #FreeWilly😐
#HumanRights #science
#laicism #TFSM #LGBTQ

#Infosec #javascript #code
#WomenWhoCode #Python #gamedevs
#GideonTheNinth #HarrowTheNinth and #girlswhocode
""no more #gods #saviours #emperors #tzars
or #tyrants""","['Gatsby', 'FreePress', 'FreeSpeech', 'FreeThought', 'FreeWilly', 'HumanRights', 'science', 'laicism', 'TFSM', 'LGBTQ', 'Infosec', 'javascript', 'code', 'WomenWhoCode', 'Python', 'gamedevs', 'GideonTheNinth', 'HarrowTheNinth', 'girlswhocode', 'gods', 'saviours', 'emperors', 'tzars', 'tyrants']"
5,78,Free Willy ,#freewilly,I retweet everything related to CyberSecurity🤓 || Made in INDIA🇮🇳 || @0z09e developed me using Python🐍 || Source code here 👇,333755,5,"#FreePress #FreeSpeech #FreeThought #FreeWilly😐
#HumanRights #science
#laicism #TFSM #LGBT #LGBTQ

#Infosec #cybersecurity #javascript #code
#WomenWhoCode #Python #gamedevs
#GideonTheNinth #HarrowTheNinth and #girlswhocode
""no more #gods #saviours #emperors #tzars
or #tyrants"" https://t.co/2Ergx0y4up","['FreePress', 'FreeSpeech', 'FreeThought', 'FreeWilly', 'HumanRights', 'science', 'laicism', 'TFSM', 'LGBT', 'LGBTQ', 'Infosec']"
6,78,Free Willy ,#freewilly,Hi visitor! I'm a friendly bot. Follow me for (infreqnt) re/tweets on #scicomm #scipol #scidip #sciart & inclusivity in STEM. By @PragyaChaube,81323,5,"#FreePress #FreeSpeech #FreeThought #FreeWilly😐
#HumanRights #science
#laicism #TFSM #LGBT #LGBTQ

#Infosec #cybersecurity #javascript #code
#WomenWhoCode #Python #gamedevs
#GideonTheNinth #HarrowTheNinth and #girlswhocode
""no more #gods #saviours #emperors #tzars
or #tyrants"" https://t.co/2Ergx0y4up","['FreePress', 'FreeSpeech', 'FreeThought', 'FreeWilly', 'HumanRights', 'science', 'laicism', 'TFSM', 'LGBT', 'LGBTQ', 'Infosec']"
7,78,Free Willy ,#freewilly,An open source bot here to support all women who code 👩🏿‍💻👩🏽‍💻👩🏻‍💻👩🏾‍💻👩🏼‍💻 Created by @SaraTorrey & @danotorrey with ❤️💜💛💚💙 Learn more: https://t.co/pfxJLxNhZ2,462315,5,"#FreePress #FreeSpeech #FreeThought #FreeWilly😐
#HumanRights #science
#laicism #TFSM #LGBT #LGBTQ

#Infosec #cybersecurity #javascript #code
#WomenWhoCode #Python #gamedevs
#GideonTheNinth #HarrowTheNinth and #girlswhocode
""no more #gods #saviours #emperors #tzars
or #tyrants"" https://t.co/2Ergx0y4up","['FreePress', 'FreeSpeech', 'FreeThought', 'FreeWilly', 'HumanRights', 'science', 'laicism', 'TFSM', 'LGBT', 'LGBTQ', 'Infosec']"
8,78,Free Willy ,#freewilly,...bar is closed people stagger out...the pretty the crippled and the proud.,21620,5,"#FreePress #FreeSpeech #FreeThought #FreeWilly😐
#HumanRights #science
#laicism #TFSM #LGBT #LGBTQ

#Infosec #cybersecurity #javascript #code
#WomenWhoCode #Python #gamedevs
#GideonTheNinth #HarrowTheNinth and #girlswhocode
""no more #gods #saviours #emperors #tzars
or #tyrants"" https://t.co/2Ergx0y4up","['FreePress', 'FreeSpeech', 'FreeThought', 'FreeWilly', 'HumanRights', 'science', 'laicism', 'TFSM', 'LGBT', 'LGBTQ', 'Infosec', 'cybersecurity', 'javascript', 'code', 'WomenWhoCode', 'Python', 'gamedevs', 'GideonTheNinth', 'HarrowTheNinth', 'girlswhocode', 'gods', 'saviours', 'emperors', 'tzars', 'tyrants']"
9,78,Free Willy ,#freewilly,An open source bot here to support all women who code 👩🏿‍💻👩🏽‍💻👩🏻‍💻👩🏾‍💻👩🏼‍💻 Created by @SaraTorrey & @danotorrey with ❤️💜💛💚💙 Learn more: https://t.co/pfxJLxNhZ2,462315,1,"#FreePress #FreeSpeech #FreeThought #FreeWilly😐
#HumanRights #science
#laicism #TFSM #LGBT #LGBTQ

#Infosec #cybersecurity #javascript #code
#WomenWhoCode #Python #gamedevs
#GideonTheNinth #HarrowTheNinth and #girlswhocode
""no more #gods #saviours #emperors #tzars
or #tyrants"" https://t.co/H35TTZpBeV","['FreePress', 'FreeSpeech', 'FreeThought', 'FreeWilly', 'HumanRights', 'science', 'laicism', 'TFSM', 'LGBT', 'LGBTQ', 'Infosec']"
10,78,Free Willy ,#freewilly,...bar is closed people stagger out...the pretty the crippled and the proud.,21620,1,"#FreePress #FreeSpeech #FreeThought #FreeWilly😐
#HumanRights #science
#laicism #TFSM #LGBT #LGBTQ

#Infosec #cybersecurity #javascript #code
#WomenWhoCode #Python #gamedevs
#GideonTheNinth #HarrowTheNinth and #girlswhocode
""no more #gods #saviours #emperors #tzars
or #tyrants"" https://t.co/H35TTZpBeV","['FreePress', 'FreeSpeech', 'FreeThought', 'FreeWilly', 'HumanRights', 'science', 'laicism', 'TFSM', 'LGBT', 'LGBTQ', 'Infosec', 'cybersecurity', 'javascript', 'code', 'WomenWhoCode', 'Python', 'gamedevs', 'GideonTheNinth', 'HarrowTheNinth', 'girlswhocode', 'gods', 'saviours', 'emperors', 'tzars', 'tyrants']"
