,Movie Id,Title,Tagword,description,totaltweets,retweetcount,text,hashtags
0,79,"Fugitive, The ","#fugitive,the","Political Enthusiast Leaning Center, advocate of absolute Freedom of expression and speech.
Hindu Athiest, who believes in Indian culture not God",4253,0,"Most of the Laws are there to be misused by Crooks(#NIRAVMODI , #Choksi and #Mallya), rarely I see genuine people having enough knowledge and financial capacity to use law which are made for them. You take any country above statement is true. #Law #Fugitive","['NIRAVMODI', 'Choksi', 'Mallya', 'Law', 'Fugitive']"
1,79,"Fugitive, The ","#fugitive,the",,312,0,"The prime perpetrator is still at large #fugitive #cronyism #whitecollarcrime #siphon #embezzle #abscond #chor #gehloot #humanrightsviolators #indiabulls 

@pbhushan1 @Swamy39 @PMOIndia @FinMinIndia @RBI @TOIIndiaNews @dir_ed 

https://t.co/9GJZ9H2Jcq","['fugitive', 'cronyism', 'whitecollarcrime', 'siphon', 'embezzle', 'abscond', 'chor', 'gehloot', 'humanrightsviolators', 'indiabulls']"
2,79,"Fugitive, The ","#fugitive,the",,312,0,"Wonder how long the king pin will remain scott free? Complete mockery of the system #absconding #fugitive #criminal @RBI @PMOIndia @FinMinIndia @nsitharaman @Swamy39 #yesbank #dhflscam #indiabulls #gehloot #blissabode #avantha #ashdan #honestshelters 
https://t.co/9GJZ9H2Jcq","['absconding', 'fugitive', 'criminal', 'yesbank', 'dhflscam', 'indiabulls', 'gehloot', 'blissabode', 'avantha', 'ashdan', 'honestshelters']"
3,79,"Fugitive, The ","#fugitive,the",#jaisriram,90355,9,"Meanwhile, #ArfaKhanum is actually guilty of having harbored &amp; abetted the #DelhiJehadi #TahirHussain, when he was still a #Fugitive from #Justice.

Sadly and strangely, @HMOIndia @AmitShah's #DelhiPolice has not arrested #ArfaKhanum, in this regard !

☹😥😡

@rsprasad @PMOIndia https://t.co/J2nKZD5hKm","['ArfaKhanum', 'DelhiJehadi', 'TahirHussain']"
4,79,"Fugitive, The ","#fugitive,the","“However long the day, the evening will come.”- Irish proverb #HumanRights #CivilRights #Books #Writers #Film #TV #Music #Art #History #Animals",286473,0,"The fugitive and the chameleon |
Fifty years ago, a police shooting set in motion a decades-long chase across the American West
@ciaraorourke @DeseretNews 
What an amazing #truecrime #fugitive story, beautifully written by Ciara O’Rourke!

https://t.co/OCUOqY4KUp","['truecrime', 'fugitive']"
5,79,"Fugitive, The ","#fugitive,the","You may not recognize me,
I'm the truthsayer I used to be,
Tweeting truth gets one eliminated,
I'm Hindu, I've reincarnated,
Follow me, the Truth'll set ya free",149205,9,"Meanwhile, #ArfaKhanum is actually guilty of having harbored &amp; abetted the #DelhiJehadi #TahirHussain, when he was still a #Fugitive from #Justice.

Sadly and strangely, @HMOIndia @AmitShah's #DelhiPolice has not arrested #ArfaKhanum, in this regard !

☹😥😡

@rsprasad @PMOIndia https://t.co/J2nKZD5hKm","['ArfaKhanum', 'DelhiJehadi', 'TahirHussain']"
6,79,"Fugitive, The ","#fugitive,the",🕉 tat sat | 卐 | minimalist | 🥝Indian | typoes galore as 🤓 | @hariomisohm |,93606,9,"Meanwhile, #ArfaKhanum is actually guilty of having harbored &amp; abetted the #DelhiJehadi #TahirHussain, when he was still a #Fugitive from #Justice.

Sadly and strangely, @HMOIndia @AmitShah's #DelhiPolice has not arrested #ArfaKhanum, in this regard !

☹😥😡

@rsprasad @PMOIndia https://t.co/J2nKZD5hKm","['ArfaKhanum', 'DelhiJehadi', 'TahirHussain']"
7,79,"Fugitive, The ","#fugitive,the",Artist-Writer + Whole Person Coach supporting people in their evolution to align with their limitless potential while finding fulfillment in ‘slow living’.,11180,1,"#Italian man identified as top crime boss arrested in #Madrid

Full Story: https://t.co/Hw7mu1Nn5w

A leader of the #ndrangheta crime syndicate is #captured.

#crime #mafia #Italy #Spanish #Spain #Spanishpolice #police #Carabinieri #fugitive #drugtrafficker #cartel #druglord https://t.co/bwcvvdiYzU","['Italian', 'Madrid']"
8,79,"Fugitive, The ","#fugitive,the","No BS reporting from all over the globe, we cover everything from crime, sport, world issues and other weird stuff! Fact checked reporting at its best!",90,1,"#Italian man identified as top crime boss arrested in #Madrid

Full Story: https://t.co/Hw7mu1Nn5w

A leader of the #ndrangheta crime syndicate is #captured.

#crime #mafia #Italy #Spanish #Spain #Spanishpolice #police #Carabinieri #fugitive #drugtrafficker #cartel #druglord https://t.co/bwcvvdiYzU","['Italian', 'Madrid', 'ndrangheta', 'captured', 'crime', 'mafia', 'Italy', 'Spanish', 'Spain', 'Spanishpolice', 'police', 'Carabinieri', 'fugitive', 'drugtrafficker', 'cartel', 'druglord']"
9,79,"Fugitive, The ","#fugitive,the","Crime, trial, news, and cop watcher. I love my @DallasCowboys till death do us part. #NFCEast",353653,1,"Manuel Mendoza Perales, 34, is a 𝐟𝐮𝐠𝐢𝐭𝐢𝐯𝐞 𝐜𝐡𝐚𝐫𝐠𝐞𝐝 with murder for 06/'21 incident. The defendant has a violent criminal history. Our prosecutors continue to work with HPD to see that justice is done.
https://t.co/21QscVFo5w 

#PublicSafety #HCDAO #fugitive",[]
