,Movie Id,Title,Tagword,description,totaltweets,retweetcount,text,hashtags
0,188,Full Metal Jacket ,#fullmetaljacket,43/M/see below,86551,0,Another from the Sunday debacle. This is my rifle there are many like it but this one is mine. #FullMetalJacket #BOC #WideAwake 080621 12:49:57 - Drinking a Freshie Alert (Batch 2) by @monkishbrewing @ Hermosa Beach - The Strand  — https://t.co/atOC6dcgsF,"['FullMetalJacket', 'BOC', 'WideAwake']"
1,188,Full Metal Jacket ,#fullmetaljacket,I have fun painting,4352,52,Sketch to Final. #FullMetalJacket https://t.co/eUb34RlTx9,['FullMetalJacket']
2,188,Full Metal Jacket ,#fullmetaljacket,"There was a time above, a time before
                     There were perfect things, diamond absolutes..!!",8981,0,"#FullMetalJacket
From the Master Kubrick 🙏💥
amazing direction, Breathtaking visuals &amp; background score
Highly recommended!! https://t.co/g16KqudtCo",['FullMetalJacket']
3,188,Full Metal Jacket ,#fullmetaljacket,"Doctor of Psychology, Professor, Family, Music Lover. All views expressed are my own. 😎",14952,0,"Watched #fullmetaljacket with my daughter this afternoon. Afterwards she was like, “I get it. I totally get why this movie is great!” First half of the film was particularly gripping for her. #kubrick https://t.co/ZHj4xzkOdv","['fullmetaljacket', 'kubrick']"
4,188,Full Metal Jacket ,#fullmetaljacket,"Escritora-Poeta.
A mis amados padres:
Porque ya no estáis conmigo,
tengo abrojos en el alma
y el corazón Herido!
#ElefantesAmarillos 
🚫 DM 🚫",293286,67,"⚡️ “Diorama on #VietnamWar inspired Me love you long time #FullMetalJacket”

https://t.co/20h0cbGiXB","['VietnamWar', 'FullMetalJacket']"
5,188,Full Metal Jacket ,#fullmetaljacket,,382,0,"@activision @Treyarch @RavenSoftware  playing this game for a year, just noticed this! Semper Fi to the employee that put “this is my rifle” on the ejection port of the XM4! #fullmetaljacket #usmc https://t.co/XeMa0waC8g","['fullmetaljacket', 'usmc']"
6,188,Full Metal Jacket ,#fullmetaljacket,"Official Twitter account for @MatthewModine's FULL METAL JACKET DIARY (Book, iPad app, and Audiobook) co-created with @AdamRackoff",4000,1,'Full Metal Jacket' (1987) Trailer [#fullmetaljacket #fullmetaljackettra... https://t.co/QVAz8SyTpr via @YouTube,"['fullmetaljacket', 'fullmetaljackettra']"
7,188,Full Metal Jacket ,#fullmetaljacket,A repository of all my shizz.,577,0,'Full Metal Jacket' (1987) Trailer [#fullmetaljacket #fullmetaljackettra... https://t.co/u1BBtiiQuz via @YouTube,"['fullmetaljacket', 'fullmetaljackettra']"
8,188,Full Metal Jacket ,#fullmetaljacket,Old Film Trailers,991,0,'Full Metal Jacket' (1987) Trailer [#fullmetaljacket #fullmetaljackettra... https://t.co/24EUOARoGx via @YouTube,"['fullmetaljacket', 'fullmetaljackettra']"
9,188,Full Metal Jacket ,#fullmetaljacket,VHS Collector,1633,1,'Full Metal Jacket' (1987) Trailer [#fullmetaljacket #fullmetaljackettra... https://t.co/QVAz8SyTpr via @YouTube,"['fullmetaljacket', 'fullmetaljackettra']"
10,188,Full Metal Jacket ,#fullmetaljacket,I’m still waking up.,3376,0,#realworld meets #StanleyKubrick #fullmetaljacket #LosAngeles #venicebeach https://t.co/XKobzloHfe,"['realworld', 'StanleyKubrick', 'fullmetaljacket', 'LosAngeles', 'venicebeach']"
11,188,Full Metal Jacket ,#fullmetaljacket,Photo  Movie   Music Tv  Art  Books  News  Fashion  Sports   Animals,163422,103,"Back in August 1985, filming began on #StanleyKubrick's war epic, #FullMetalJacket. After 13 months, filming wrapped the following September. https://t.co/wmWIIYlnUJ","['StanleyKubrick', 'FullMetalJacket']"
12,188,Full Metal Jacket ,#fullmetaljacket,"Tie a knife with a ribbon, with a red, red, ribbon...
🤘☠️ #Deadstream ☠️🤘
Beard of Beards & Sapphic Saprophyte",6396,0,"Oh that's right, Private Pyle, don't make any fucking effort to get to the top of the fucking obstacle. If God would have wanted you up there he would have miracled your ass up there by now, wouldn't he?
#FullMetalJacket #RLeeErmey","['FullMetalJacket', 'RLeeErmey']"
13,188,Full Metal Jacket ,#fullmetaljacket,#curator of #galerie where we #sharing #socialmedia our #emotions how #net #define the #artcontemporain #oilpainting #glitchart #digitalart #nft,17638,4,"i am a frame ghost, you must have seen me in #FullMetalJacket. 
#movies 
#acrylic https://t.co/EZjxpuvGmc","['FullMetalJacket', 'movies', 'acrylic']"
14,188,Full Metal Jacket ,#fullmetaljacket,"I’m a bit of an informal fellow, so there’s no need to bow.  A salute will be adequate.",3826,1,Please give a warm welcome to our new family member @BoredApeYC #BAYC #FullMetalJacket https://t.co/R9jC0vLgah,"['BAYC', 'FullMetalJacket']"
15,188,Full Metal Jacket ,#fullmetaljacket,#NFT Collector & Creator 🔪 #Unlimitart Gallery @thecryptopunks #4818 #4096 #7181 @BoredaApeYC x11 @Veefriends x3 @GutterCatGang x12 ➕➕🎈Weekly #Giveaways,9740,1,Please give a warm welcome to our new family member @BoredApeYC #BAYC #FullMetalJacket https://t.co/R9jC0vLgah,"['BAYC', 'FullMetalJacket']"
16,188,Full Metal Jacket ,#fullmetaljacket,"""The world's going to change tonight, Doctor, I'm glad you'll be able to watch it. And....... Happy Halloween""",32807,0,"#socialdistancing is ending in #Scotland in less than 2 hours (in almost all settings), so i'm going to freak out someone on the bus in the morning by sitting next to them &amp; staring at them  for the whole journey, #PrivatePyle style (not in my underwear though) #fullmetaljacket https://t.co/pcs89OPV8A","['socialdistancing', 'Scotland', 'PrivatePyle', 'fullmetaljacket']"
17,188,Full Metal Jacket ,#fullmetaljacket,"Writer & Editor | Bylines at Digital Spy, SYFY, FourFourTwo, The Sportsman etc | Movie lover | House music fan | Tottenham Hotspur supporter #COYS | Views mine.",26587,0,"Who wins this nasty four-way movie character showdown? Harry Callahan, Animal Mother, Mr. Blonde or Marsellus Wallace?
Location: A large munitions factory.
#DirtyHarry #FullMetalJacket #ReservoirDogs #PulpFiction #CharacterShowdowns https://t.co/pBvby80IYV","['DirtyHarry', 'FullMetalJacket', 'ReservoirDogs', 'PulpFiction', 'CharacterShowdowns']"
18,188,Full Metal Jacket ,#fullmetaljacket,Activist with passion for a Free & unrestricted Life I'm not here to be popular. I am here to challenge the Status Quo. I am not a Bot! I am a real person!,1237,0,@VeronikaIzabela “Your #FullMetalJacket is so reassuring”!,['FullMetalJacket']
19,188,Full Metal Jacket ,#fullmetaljacket,Been racing off and on since I was 16 years old. Currently using my IMCA modified to promote my sponsors and the two charities I support!,1196,0,"It's race day this is what I walked out to in the garage. LOL If weather hold out we will @""The Bullring"" tonight see ya there. #fullmetaljacket #isthatajellydonut #tiregrooving #latenight https://t.co/kG0e5Ou7Lq","['fullmetaljacket', 'isthatajellydonut', 'tiregrooving', 'latenight']"
20,188,Full Metal Jacket ,#fullmetaljacket,Schizophrenic who enjoys reading and getting drunk. Huge Sopranos fan.,254,0,"[Classic Movies] Full Metal Jacket- The Virgin Mary https://t.co/liTpl83TXs via @YouTube 
hahaha #FullMetalJacket",['FullMetalJacket']
21,188,Full Metal Jacket ,#fullmetaljacket,,27821,30,"Stanley #Kubrick's A Clockwork Orange is coming to 4K Ultra-HD Blu-ray in October in a Ultimate Collector's Edition with a 32-page booklet, 3 art cards &amp; a newspaper prop replica. #AClockworkOrange follows #2001ASpaceOdyssey, #TheShining &amp; #FullMetalJacket in the 4K format for WB https://t.co/gjdzvBy7ri",['Kubrick']
22,188,Full Metal Jacket ,#fullmetaljacket,,3136,30,"Stanley #Kubrick's A Clockwork Orange is coming to 4K Ultra-HD Blu-ray in October in a Ultimate Collector's Edition with a 32-page booklet, 3 art cards &amp; a newspaper prop replica. #AClockworkOrange follows #2001ASpaceOdyssey, #TheShining &amp; #FullMetalJacket in the 4K format for WB https://t.co/gjdzvBy7ri",['Kubrick']
23,188,Full Metal Jacket ,#fullmetaljacket,"Hello! My name is Ruben, but you can also call me Ruu! ✌🏻Always good energy and lots of love✨",56,103,"Back in August 1985, filming began on #StanleyKubrick's war epic, #FullMetalJacket. After 13 months, filming wrapped the following September. https://t.co/wmWIIYlnUJ","['StanleyKubrick', 'FullMetalJacket']"
