,Movie Id,Title,Tagword,description,totaltweets,retweetcount,text,hashtags
0,160,Glengarry Glen Ross ,#glengarryglenross,,62987,14,"“As you all know first prize is a Cadillac El Dorado. Anyone wanna see second prize? Second prize is a set of steak knives. Third prize is you're fired.” #glengarryglenross @AlecBaldwin 

Carrots and sticks. @karaswisher wants more stick less carrot. Starting to think she’s right https://t.co/SHdOEGmdkL",[]
1,160,Glengarry Glen Ross ,#glengarryglenross,Retired IBMer. Technologist. Enjoying family life and all of the outdoor activities in the Colorado Rocky Mountains,540,14,"“As you all know first prize is a Cadillac El Dorado. Anyone wanna see second prize? Second prize is a set of steak knives. Third prize is you're fired.” #glengarryglenross @AlecBaldwin 

Carrots and sticks. @karaswisher wants more stick less carrot. Starting to think she’s right https://t.co/SHdOEGmdkL",[]
2,160,Glengarry Glen Ross ,#glengarryglenross,"Trump —the best president ever,❤️Trump fixes, democrats destroy",365504,14,"“As you all know first prize is a Cadillac El Dorado. Anyone wanna see second prize? Second prize is a set of steak knives. Third prize is you're fired.” #glengarryglenross @AlecBaldwin 

Carrots and sticks. @karaswisher wants more stick less carrot. Starting to think she’s right https://t.co/SHdOEGmdkL",[]
3,160,Glengarry Glen Ross ,#glengarryglenross,Disabled human adopted by an Australian Shepard. (He/Him),521235,14,"“As you all know first prize is a Cadillac El Dorado. Anyone wanna see second prize? Second prize is a set of steak knives. Third prize is you're fired.” #glengarryglenross @AlecBaldwin 

Carrots and sticks. @karaswisher wants more stick less carrot. Starting to think she’s right https://t.co/SHdOEGmdkL",[]
4,160,Glengarry Glen Ross ,#glengarryglenross,Writer/photojournalist,139899,14,"“As you all know first prize is a Cadillac El Dorado. Anyone wanna see second prize? Second prize is a set of steak knives. Third prize is you're fired.” #glengarryglenross @AlecBaldwin 

Carrots and sticks. @karaswisher wants more stick less carrot. Starting to think she’s right https://t.co/SHdOEGmdkL",[]
5,160,Glengarry Glen Ross ,#glengarryglenross,,5630,14,"“As you all know first prize is a Cadillac El Dorado. Anyone wanna see second prize? Second prize is a set of steak knives. Third prize is you're fired.” #glengarryglenross @AlecBaldwin 

Carrots and sticks. @karaswisher wants more stick less carrot. Starting to think she’s right https://t.co/SHdOEGmdkL",[]
6,160,Glengarry Glen Ross ,#glengarryglenross,#DontLookAway,59642,14,"“As you all know first prize is a Cadillac El Dorado. Anyone wanna see second prize? Second prize is a set of steak knives. Third prize is you're fired.” #glengarryglenross @AlecBaldwin 

Carrots and sticks. @karaswisher wants more stick less carrot. Starting to think she’s right https://t.co/SHdOEGmdkL",[]
7,160,Glengarry Glen Ross ,#glengarryglenross,#OurLadyOfTheMiddleFingerChurch #AndTaxShelter #Resist #FBR #HoldThemAccountable #TGBrewCrew #BanRand #FireDeathSantis #RonaRon #BidenDelivers,46640,14,"“As you all know first prize is a Cadillac El Dorado. Anyone wanna see second prize? Second prize is a set of steak knives. Third prize is you're fired.” #glengarryglenross @AlecBaldwin 

Carrots and sticks. @karaswisher wants more stick less carrot. Starting to think she’s right https://t.co/SHdOEGmdkL",[]
8,160,Glengarry Glen Ross ,#glengarryglenross,"Founder, Rogue Repairman Productions. Online rabble-rouser and general troublemaker.",275,14,"“As you all know first prize is a Cadillac El Dorado. Anyone wanna see second prize? Second prize is a set of steak knives. Third prize is you're fired.” #glengarryglenross @AlecBaldwin 

Carrots and sticks. @karaswisher wants more stick less carrot. Starting to think she’s right https://t.co/SHdOEGmdkL",[]
9,160,Glengarry Glen Ross ,#glengarryglenross,Chitty-chatter. Subscribe to Sway: https://t.co/4vBKV2ngVI and to the Pivot podcast: https://t.co/x88JB1Gd7u…,154541,14,"“As you all know first prize is a Cadillac El Dorado. Anyone wanna see second prize? Second prize is a set of steak knives. Third prize is you're fired.” #glengarryglenross @AlecBaldwin 

Carrots and sticks. @karaswisher wants more stick less carrot. Starting to think she’s right https://t.co/SHdOEGmdkL",[]
10,160,Glengarry Glen Ross ,#glengarryglenross,Concerned Canadian Settler who is an Anti-Fascist. Shouldn’t all democratic freedom-loving people be ‘AntiFa’? Wasn’t that what WW2 was all about?,34836,14,"“As you all know first prize is a Cadillac El Dorado. Anyone wanna see second prize? Second prize is a set of steak knives. Third prize is you're fired.” #glengarryglenross @AlecBaldwin 

Carrots and sticks. @karaswisher wants more stick less carrot. Starting to think she’s right https://t.co/SHdOEGmdkL",[]
11,160,Glengarry Glen Ross ,#glengarryglenross,"Failed a lot, succeeded like 3x. Born in Scotland. Boxed as a pro, Owned 2 gyms, Director of Real Holdings LLC. Lived in USA Since 08, lost my accent.",280,0,2nd place. #glengarryglenross https://t.co/gTxfBX5Djq,['glengarryglenross']
12,160,Glengarry Glen Ross ,#glengarryglenross,I like CS:GO I guess?,1390,14,"“As you all know first prize is a Cadillac El Dorado. Anyone wanna see second prize? Second prize is a set of steak knives. Third prize is you're fired.” #glengarryglenross @AlecBaldwin 

Carrots and sticks. @karaswisher wants more stick less carrot. Starting to think she’s right https://t.co/SHdOEGmdkL",[]
13,160,Glengarry Glen Ross ,#glengarryglenross,#JohnWickChapter4 #Dune #VanHelsing #DarkMatter #PersonOfInterest #IntoTheBadlands #SoundOfMetal #TheOutpost #TheSuicideSquad,4139,0,"Always
Be
Closing
#GlengarryGlenRoss
#SurrealEstate","['GlengarryGlenRoss', 'SurrealEstate']"
14,160,Glengarry Glen Ross ,#glengarryglenross,Chief medical officer @contigo_health @PremierHA ($PINC). Neurosurgeon @GeisingerHealth. Seeker of ways to improve health care through tech and touch.,190,14,"“As you all know first prize is a Cadillac El Dorado. Anyone wanna see second prize? Second prize is a set of steak knives. Third prize is you're fired.” #glengarryglenross @AlecBaldwin 

Carrots and sticks. @karaswisher wants more stick less carrot. Starting to think she’s right https://t.co/SHdOEGmdkL",['glengarryglenross']
