,Movie Id,Title,Tagword,description,totaltweets,retweetcount,text,hashtags
0,127,"Godfather, The ","#godfather,the",Future #DayTrader #VoiceOverActor #CrewMember & #Actor on the web based comedy sketch @NeemsThemes,1158,0,@StocksWithCam @AmcApefather The only one is the #GodFather himself @CEOAdam,['GodFather']
1,127,"Godfather, The ","#godfather,the",Designer of designs. Co-creator of @SpaceCastlePod. Lover of beer. Raphael is the best Ninja Turtle.,547,0,@SpaceCastlePod @artassignment @sarahuristgreen I do not apologize for talking so much about the #godfather.,['godfather']
2,127,"Godfather, The ","#godfather,the","Writer, reader, artist, doer of projects, rationalist, left- minded, right-handed, soup for my family, drummer, jazz enthusiast, enjoy whisky and cold beer.",1524,15,"Snippet from last Saturday at the Moss
#duoing #JeffHamilton #godfather https://t.co/Hy2iZaOwF4","['duoing', 'JeffHamilton', 'godfather']"
3,127,"Godfather, The ","#godfather,the","Bikes, travels and bikes.",1317,1,"Considered the Godfather of motorcycle design, these are 10 of the most iconic silhouettes crafted by Massimo Tamburini 😯
🔟: https://t.co/Mc9xSQxVru
#MassimoTamburini #Godfather #Motorcycles https://t.co/8WuMM7vunH",[]
4,127,"Godfather, The ","#godfather,the",Supporting businesses and other organisations in #Battersea #SW11.,1386,0,"Buy #Books, #Comics &amp; #Magazines in #Battersea #SW11, #TheLuckiestGuyAlive: #JohnCooperClarke 2018, #English, The #Godfather of #British performance poetry - #DailyTelegraph

#TheLuckiestGuyAlive is the first new book of poetry from Dr #JohnCoop… £13.94 https://t.co/zdIZ98mi80","['Books', 'Comics', 'Magazines', 'Battersea', 'SW11', 'TheLuckiestGuyAlive', 'JohnCooperClarke', 'English', 'Godfather', 'British', 'DailyTelegraph', 'TheLuckiestGuyAlive', 'JohnCoop']"
5,127,"Godfather, The ","#godfather,the",ain't gonna hodl forever / i delete my RTweets / @3DSkullPunks #89 #91 #158 / @CryptoPunksREAL #131,1090,1,Join the @alcabonesNFT discord family if you haven’t yet. https://t.co/lo5quFDv0g #NFTCommunity #NFT #nftcollectors #NFTcollection #NFTshill #thegodfather #godfather #discord #crypto #etherium #mafia https://t.co/gw2F4ugqN3,"['NFTCommunity', 'NFT', 'nftcollectors', 'NFTcollection', 'NFTshill', 'thegodfather', 'godfather', 'discord', 'crypto', 'etherium', 'mafia']"
6,127,"Godfather, The ","#godfather,the",Cowboy,4482,0,"Who would have guessed that world renown geneticist George Church, the #Godfather of Human Genome Sequencing, would allow his #NebulaGenomics to be acquired by #ProPhaseLabs? Obviously $PRPH CEO Ted Karkus made him an offer he couldn't refuse.  https://t.co/DzSoMxlbvK via @Yahoo","['Godfather', 'NebulaGenomics', 'ProPhaseLabs']"
7,127,"Godfather, The ","#godfather,the",The world's best motorcycle website. Tweet us a photo of a motorcycle and we’ll probably retweet it.,20242,1,"Considered the Godfather of motorcycle design, these are 10 of the most iconic silhouettes crafted by Massimo Tamburini 😯
🔟: https://t.co/Mc9xSQxVru
#MassimoTamburini #Godfather #Motorcycles https://t.co/8WuMM7vunH","['MassimoTamburini', 'Godfather', 'Motorcycles']"
8,127,"Godfather, The ","#godfather,the","I am an author, recently published 3 novels on Amazon and Kindle. #amwriting #amquerying #writerslife #writer #author #WritingCommunity #books",26397,13,#WritingCommunity #BookBoost #BookReview here’s the first review of my third novel #sicilianroulette #novel #BookTwitter #writing #CrimeFiction #Mafia #gangster #mobster #Crime #sopranos #Godfather #goodfellas https://t.co/mcli4AYsA3,"['WritingCommunity', 'BookBoost', 'BookReview', 'sicilianroulette', 'novel', 'BookTwitter']"
9,127,"Godfather, The ","#godfather,the",Tu 13 Dekh 🕶️ #ExSecular #ProudHindu,9442,0,"Luckily awaked Hindus are now inspired by the true Nationalist who is also a #GodFather of Gandhi named Mahatma #NathuramGodse ji.

I wish Godse ji should have played FireFire before the Partition. https://t.co/mvZp2jIl1j","['GodFather', 'NathuramGodse']"
