,Movie Id,Title,Tagword,description,totaltweets,retweetcount,text,hashtags
0,133,Gone with the Wind ,#gonewiththewind,Soccer Charity in honor of Diego Serna Lopera #17,27887,0,"@RexChapman Great thread! or could be #GoneWithTheWind 
#Anastasia or old b and w's
#MyGirlFriday 
#BringingUpBaby #PhiladelphiaStory #ItsAWonderfulLife 🎥 https://t.co/LAVWkLLZsJ","['GoneWithTheWind', 'Anastasia', 'MyGirlFriday', 'BringingUpBaby', 'PhiladelphiaStory', 'ItsAWonderfulLife']"
1,133,Gone with the Wind ,#gonewiththewind,keep yourself alive,794,2,@TheAcademy Obviously #Gonewiththewind https://t.co/oiEWPhwpAj,['Gonewiththewind']
2,133,Gone with the Wind ,#gonewiththewind,"CONSERVATIVE is CONSERVATION Art,Horticulture,Golf,Fish'n.*Illumination Design.**1st OJT Progrm 4 Vets.- Neonology ***Despise Keyne$ian Lefist. #LowIntelVote",115564,0,#Atlanta Mom Exposes Elementary School's Racist Segregation Policy https://t.co/QbU0kaJFm7 ~ And these #leftist want to burn #GoneWithTheWind ~ @Dorothyjanetoo,"['Atlanta', 'leftist', 'GoneWithTheWind']"
3,133,Gone with the Wind ,#gonewiththewind,"Movie Lover 🇯🇵🌲🦉🍩☕🔥 Everything in my life is #TwinPeaks .  
📷️https://t.co/1AoHQfTeI1",45480,3,"Being a lady is overrated. 

#scarletohara #vivienleigh #gonewiththewind #actress https://t.co/WicyMbszaj","['scarletohara', 'vivienleigh', 'gonewiththewind', 'actress']"
4,133,Gone with the Wind ,#gonewiththewind,"From the ashes we shall rise to SAVE THE WORLD... 
 Z Nation Rules!!!

Can't believe I have to say this.. Z (as in zombie) is NOT A FUCKING SWASTIKA... IDJITS!!",124119,3,"Being a lady is overrated. 

#scarletohara #vivienleigh #gonewiththewind #actress https://t.co/WicyMbszaj","['scarletohara', 'vivienleigh', 'gonewiththewind', 'actress']"
5,133,Gone with the Wind ,#gonewiththewind,"Livin', Lovin', and Laughin' A Lot!",1986,0,@cjubarrington Ashley!!#GoneWithTheWind💞😊,['GoneWithTheWind']
6,133,Gone with the Wind ,#gonewiththewind,He/him/his. I watch a lot of Korean dramas on Netflix. Play a lot of Phasmophobia with friends. Watch a lot of Twitch streamers. Supercorp endgame. SnowBarry.,35739,3,"Being a lady is overrated. 

#scarletohara #vivienleigh #gonewiththewind #actress https://t.co/WicyMbszaj","['scarletohara', 'vivienleigh', 'gonewiththewind', 'actress']"
7,133,Gone with the Wind ,#gonewiththewind,Actor. Gamer. RPG'r. She/Her. Twin Peaks and Z Nation. Find me on Twitch at HeySmallz. 🌮🥃,11703,3,"Being a lady is overrated. 

#scarletohara #vivienleigh #gonewiththewind #actress https://t.co/WicyMbszaj","['scarletohara', 'vivienleigh', 'gonewiththewind', 'actress']"
8,133,Gone with the Wind ,#gonewiththewind,"Advisor @StatelessDig Strategist @LagVelki Consultant @ipsnewsunbureau
Interested in HR, Property & International Relations | Expertise: Law, Communication/PR",3469,2,@TheAcademy Obviously #Gonewiththewind https://t.co/oiEWPhwpAj,['Gonewiththewind']
9,133,Gone with the Wind ,#gonewiththewind,,881,2,@TheAcademy Obviously #Gonewiththewind https://t.co/oiEWPhwpAj,['Gonewiththewind']
10,133,Gone with the Wind ,#gonewiththewind,"I dig movies, music, sports, politics and cracking wise. Writer/ Video Editor/Musician /Music & Video Playlist Creator/Online Video Creator",4634,0,https://t.co/apF4fMWamM My new comedy video as my 1950's Voice Over Guy. Enjoy! 😎🎥 #VoiceOverGuy #GonewiththeWind #Comedy #Cinema #Cinephile #Pink #Rockingthepink #1950s #YouTube #Funny #VoiceOver #ClarkGable #VivienLeigh #Guru #STIMULATION #TakeItEasy,"['VoiceOverGuy', 'GonewiththeWind', 'Comedy', 'Cinema', 'Cinephile', 'Pink', 'Rockingthepink', '1950s', 'YouTube', 'Funny', 'VoiceOver', 'ClarkGable', 'VivienLeigh', 'Guru', 'STIMULATION', 'TakeItEasy']"
11,133,Gone with the Wind ,#gonewiththewind,"Love The Beatles,Jane Austen,history.",104809,2,Rhett and Scarlett #gonewiththewind https://t.co/d6wnzhD9Bn https://t.co/XiLnIjBiU1,['gonewiththewind']
12,133,Gone with the Wind ,#gonewiththewind,I love #Riverdale #bughead  #colesprouse #jughead #theoriginals #supernatural #shameless #dawsonscreek #chillingadventuesofsabrina #jacey #pacey #klamille,121083,2,Rhett and Scarlett #gonewiththewind https://t.co/d6wnzhD9Bn https://t.co/XiLnIjBiU1,['gonewiththewind']
13,133,Gone with the Wind ,#gonewiththewind,Cinéfilo 🎥 🍿 🥤 🇻🇪,10757,0,"Day 222: “Gone with the Wind” (1938)

Dir: Victor Fleming, GeorgeCukor &amp; Sam Wood

#FilmTwitter #365daysoffilmchallenge #GoneWithTheWind #VictorFleming #GeorgeCukor #SamWood #ClarkGable #VivienLeigh #HattieMcDaniel #ThomasMitchel #MaxSteiner https://t.co/WBVMPAXcBb","['FilmTwitter', '365daysoffilmchallenge', 'GoneWithTheWind', 'VictorFleming', 'GeorgeCukor', 'SamWood', 'ClarkGable', 'VivienLeigh', 'HattieMcDaniel', 'ThomasMitchel', 'MaxSteiner']"
14,133,Gone with the Wind ,#gonewiththewind,Meow meow comedy. See....,24156,0,"@dev_decker If you're asking 
you know. 
Healthcare is the new Jim Crow
You may say
wait there's white people
I was raised as(outdated term) trash of the county 
The(outdated term) football players were allowed by(outdated term) jocks to make fun of me
A Southern tradition #GonewiththeWind",['GonewiththeWind']
15,133,Gone with the Wind ,#gonewiththewind,"😍🦁🏈 I love Pro Wrestling, NFL, NBA, MLB and Cricket",55840,3,Which Classic movie are you picking from the list below? Casablanca vs Gone with the Wind. #Casablanca #GoneWithTheWind #Classic #classics #movies #movie #poll #polls,['Casablanca']
16,133,Gone with the Wind ,#gonewiththewind,I love polls of movies and music no dms!,38836,3,Which Classic movie are you picking from the list below? Casablanca vs Gone with the Wind. #Casablanca #GoneWithTheWind #Classic #classics #movies #movie #poll #polls,['Casablanca']
17,133,Gone with the Wind ,#gonewiththewind,,766,3,Which Classic movie are you picking from the list below? Casablanca vs Gone with the Wind. #Casablanca #GoneWithTheWind #Classic #classics #movies #movie #poll #polls,['Casablanca']
18,133,Gone with the Wind ,#gonewiththewind,Nothing but Polls of many different topics. Take a little break from your busy day. Twitter polls are always Anonymous. Follow Now!!!,1171,3,Which Classic movie are you picking from the list below? Casablanca vs Gone with the Wind. #Casablanca #GoneWithTheWind #Classic #classics #movies #movie #poll #polls,"['Casablanca', 'GoneWithTheWind', 'Classic', 'classics', 'movies', 'movie', 'poll', 'polls']"
19,133,Gone with the Wind ,#gonewiththewind,,235,2,"https://t.co/v1rxCRnIVj
World Premiere of ""1876"" Cue IV music by Bernard Herrmann. Midi by Aleksandar Popović. Click on link for best viewing.
#FilmMusic #BernardHerrmann #GoneWithTheWind https://t.co/pFLWAsWkZ1",[]
20,133,Gone with the Wind ,#gonewiththewind,A behavioral scientist unearthing deceit: “It’s always been my function in life to render clearly what is already blindingly conspicuous.”- Quentin Crisp,452982,0,"#MasklessObama
“It ain’t fittin’” - Mammy, #GoneWithTheWind","['MasklessObama', 'GoneWithTheWind']"
21,133,Gone with the Wind ,#gonewiththewind,"if you see me drop a 🎾 that means you served a look to make me stop. All my tweets from Feb 2nd 2021 are to, about, and for me.",63204,0,"When a slogan happens, it sticks, and its natural! #GoneWithTheWind https://t.co/ownexBf9vl",['GoneWithTheWind']
22,133,Gone with the Wind ,#gonewiththewind,Fashionista and decluttering Cheerleader!Founder of Red Mutha & Mother Clutter. https://t.co/hJXDiV9oE7 https://t.co/FYYnH6sHPv,32881,0,"That’s my #kidfree next 4 hours #sorted #gonewiththewind #clarkgable #viviennelee #goldenoldie #franklydearidontgiveadamn and #nointeruptions #please @ Jesmond, Newcastle Upon Tyne, United Kingdom https://t.co/2m7foFQQG9","['kidfree', 'sorted', 'gonewiththewind', 'clarkgable', 'viviennelee', 'goldenoldie', 'franklydearidontgiveadamn', 'nointeruptions', 'please']"
23,133,Gone with the Wind ,#gonewiththewind,"#MySexyViking Travis Fimmel 💙💋💘Mr Hardy❤SoA🔥MayansMc🔥💀💜Punisher's Puddin Property💀💜
As lost as Alice👱‍♀as mad as the Hatter🎩💫 Mysterious by nature💫",17619,0,"These 2 😍😍
#RhettButler #ClarkGable  #ScarlettOHara #VivienLeigh #gonewiththewind #gonewiththewindislove Gone  With The Wind https://t.co/NgP0ZV1PI9","['RhettButler', 'ClarkGable', 'ScarlettOHara', 'VivienLeigh', 'gonewiththewind', 'gonewiththewindislove']"
24,133,Gone with the Wind ,#gonewiththewind,,2543,0,"The connection to slavery? .@benshapiro has a dream and it looks a lot like #GoneWithTheWind Meanwhile, #TuckerCarlson dreams of #Auschwitz Wake up. #January6th was very real.
.@billmaher 
#TeamUSA 
#BLM
.@thedailybeast
https://t.co/kKMlv6F2CX","['GoneWithTheWind', 'TuckerCarlson', 'Auschwitz', 'January6th', 'TeamUSA', 'BLM']"
25,133,Gone with the Wind ,#gonewiththewind,My third book published July 2021: The Bounty Writer - How To Earn Six Figures as an Independent #FreelanceJournalist.,6071,0,I got rejected by a #MiddlesexCountyPress trainee scheme after treating role play of reporting on an accident on a construction site like an audition for #GonewiththeWind. More like Gone with the Job. #TheBountyWriter  https://t.co/W5t072OFNc  https://t.co/RjqPGOTR6t #journalist,"['MiddlesexCountyPress', 'GonewiththeWind', 'TheBountyWriter', 'journalist']"
26,133,Gone with the Wind ,#gonewiththewind,Cannot mutter 'literally' without being British,3997,0,#gonewiththewind Ashley doesn’t deserve Melanie. Or Scarlett.,['gonewiththewind']
27,133,Gone with the Wind ,#gonewiththewind,"Everything about #filmmusic #soundtracks
[bot]",194705,2,"https://t.co/v1rxCRnIVj
World Premiere of ""1876"" Cue IV music by Bernard Herrmann. Midi by Aleksandar Popović. Click on link for best viewing.
#FilmMusic #BernardHerrmann #GoneWithTheWind https://t.co/pFLWAsWkZ1",[]
