,Movie Id,Title,Tagword,description,totaltweets,retweetcount,text,hashtags
0,182,GoodFellas ,#goodfellas,"I am an author, recently published 3 novels on Amazon and Kindle. #amwriting #amquerying #writerslife #writer #author #WritingCommunity #books",26454,13,#WritingCommunity #BookBoost #BookReview here’s the first review of my third novel #sicilianroulette #novel #BookTwitter #writing #CrimeFiction #Mafia #gangster #mobster #Crime #sopranos #Godfather #goodfellas https://t.co/mcli4AYsA3,"['WritingCommunity', 'BookBoost', 'BookReview', 'sicilianroulette', 'novel', 'BookTwitter']"
1,182,GoodFellas ,#goodfellas,"#ITPro, #NFD Delegate, #vExpert, #Father, #Fiancé, #Blogger, #TH570, #THMentality Tweets are mine all day ! "" Study Hard, Win Harder""",8334,1,"Name your favorite movie soundtrack. For me, the #Goodfellas soundtrack was solid.  https://t.co/qGFRhqiXzm",['Goodfellas']
2,182,GoodFellas ,#goodfellas,"Passionate true believer and atheist. Also quite partial to any peer reviewed commentary concerning global warming,fundamental particles and infinity",89913,1,"@jaynie44 @MoarToast @MsPraxis @sewviolets @MadamEarth @paulmnsw @vanessa81648173 @Murdochcrazy @TedClouta @erstkate I’m going to sound like a psychopath but I don’t care. 🤣
I live vicariously through the violence in some of them. 😵‍💫
#LOTR
#Goodfellas
#PulpFiction
#HowToTrainYourDragon
#TheHelp
followed by #ToSirWithLove

@martp1 @gitoutavet @CraigNelsy @udderrunner @factordex",[]
3,182,GoodFellas ,#goodfellas,"There's another way to see film
https://t.co/x2PCBWD4st",1770,41,"2001: A Space Odyssey/Goodfellas

#sidebyside #stanleykubrick #martinscorsese #scorsese #kubrick #joepesci #movies #cinema #film #goodfellas #frankvincent #2001aspaceodyssey @StanleyKubrick https://t.co/KQ0uhF6Jj0","['sidebyside', 'stanleykubrick', 'martinscorsese', 'scorsese', 'kubrick', 'joepesci', 'movies']"
4,182,GoodFellas ,#goodfellas,"Life teaches us lessons. If, for whatever reason, we don’t learn it the first time, it comes around & teaches us again, increasing exponentially each time.",88490,1,"@jaynie44 @MoarToast @MsPraxis @sewviolets @MadamEarth @paulmnsw @vanessa81648173 @Murdochcrazy @TedClouta @erstkate I’m going to sound like a psychopath but I don’t care. 🤣
I live vicariously through the violence in some of them. 😵‍💫
#LOTR
#Goodfellas
#PulpFiction
#HowToTrainYourDragon
#TheHelp
followed by #ToSirWithLove

@martp1 @gitoutavet @CraigNelsy @udderrunner @factordex","['LOTR', 'Goodfellas', 'PulpFiction', 'HowToTrainYourDragon', 'TheHelp', 'ToSirWithLove']"
5,182,GoodFellas ,#goodfellas,க்விண்டன் டராண்டினோ ரசிகன்🐐,60422,0,"Red color back drops in Martin Scorsese films match made in heaven

#TaxiDriver
#TheDeparted
#GoodFellas
#Aviator https://t.co/b1vr5DAuHO","['TaxiDriver', 'TheDeparted', 'GoodFellas', 'Aviator']"
6,182,GoodFellas ,#goodfellas,American. Author. Poet. Attorney. Ex-College Football Player.  My book: https://t.co/tPi4kLiOJm,6563,0,I couldn’t resist #AndrewCuomo #Italian #Italy #GoodFellas #Imnotpervertedimjustanitalian https://t.co/gErpFmyu2w,"['AndrewCuomo', 'Italian', 'Italy', 'GoodFellas', 'Imnotpervertedimjustanitalian']"
7,182,GoodFellas ,#goodfellas,Frequency transmitter of musical life,7899,5,Throwback with the legend Frank Sivero he’s hella cool #goodfellas #frankiecarbone #godfather2 https://t.co/mFz3mPDvqD,"['goodfellas', 'frankiecarbone', 'godfather2']"
8,182,GoodFellas ,#goodfellas,"Moving sports tweets and likes from @ankitdutta7 to this lol. Man Utd, Warriors fan",363,0,My fall plans  The Delta Variant #goodfellas https://t.co/PA3oergDqg,['goodfellas']
9,182,GoodFellas ,#goodfellas,#KindnessMatters | #CoExist | Tweets = me,55584,1,"Name your favorite movie soundtrack. For me, the #Goodfellas soundtrack was solid.  https://t.co/qGFRhqiXzm",['Goodfellas']
