,Movie Id,Title,Tagword,description,totaltweets,retweetcount,text,hashtags
0,101,Heavy Metal ,#heavymetal,"Global Rock Music Coalition

Rock Band

4 Dog Studio Productions
Rock Music is alive and well",21537,1,"#NowPlaying Enough - Silhouette Cities
Listen  https://t.co/3aNAveo2EG 
#HeavyMetal #RockMusic #MetalMusic #HardRock","['NowPlaying', 'HeavyMetal', 'RockMusic', 'MetalMusic', 'HardRock']"
1,101,Heavy Metal ,#heavymetal,"Global Rock Music Coalition

Rock Band

4 Dog Studio Productions
Rock Music is alive and well",21537,4,"Here my #Ibanez RG. I've been back on daily practice now for 2 weeks solid. Taking it serious, no more casual playing with lots of breaks. #HeavyMetal #guitar #rockmusic https://t.co/YOypqpQhUK",['Ibanez']
2,101,Heavy Metal ,#heavymetal,"#PittsburghSteelers #PittsburghPenguins #IronMaiden #StarWars  Conservative, Metalhead, Geek, American by birth, Italian by blood. Dachshund aficionado.",328862,7,"Here's 3 Killer Thrash Album openers..Which one do you like BEST?🤔😈
#Megadeth
#Metallica
#Slayer
#ThrashMetal
#HeavyMetal","['Megadeth', 'Metallica', 'Slayer', 'ThrashMetal', 'HeavyMetal']"
3,101,Heavy Metal ,#heavymetal,"América de Cali, Metal, Selección Colombia y Fútbol 🇨🇴",51079,1,"Slayer 🇺🇸🤘- Reign in Blood Demos - Vinyl LP
#Slayer #Thrashmetal #Heavymetal #Metal #Metalcollection #Vinyl #Metalvinyl https://t.co/bmyFqW9qH9","['Slayer', 'Thrashmetal', 'Heavymetal', 'Metal', 'Metalcollection', 'Vinyl']"
4,101,Heavy Metal ,#heavymetal,Die Hard Fan from the German Metal Pirates 🏴‍☠️ of Running wild and Helloween🎃.The biggest Running wild Collection. Metalfan and Collector since 1987!  🤘💥💣,5366,0,"Running wild 🇩🇪🤘🏴‍☠️-  Metal Pirates Fan Club Germany 
#Runningwild @runningwildnet #Heavymetal https://t.co/MYEqM7n2fA","['Runningwild', 'Heavymetal']"
5,101,Heavy Metal ,#heavymetal,I like music of many genres,2,0,One of the best albums of the 80s. #Metallica #KillEmAll #metal #heavymetal #thrashmetal https://t.co/DJVup6tX1c,"['Metallica', 'KillEmAll', 'metal', 'heavymetal', 'thrashmetal']"
6,101,Heavy Metal ,#heavymetal,"Life is a trauma response.

Debut release album ""Split"" available May 1st, 2021

Single release ""Symbiote"" out now",156,2,"A photo from our latest show at the skylark🤘
Photo credit @sammy.horn FB: Sam Horn

#rockband #rock #music #rockmusic #band #hardrock #concert #heavymetal #punk #numetal #coupcontrecoup #findnewmusic #mentalhealthawareness #mentalillness #mentalhealth #nami #split #instamusic https://t.co/mlUPYJpNmW","['rockband', 'rock', 'music', 'rockmusic', 'band', 'hardrock', 'concert', 'heavymetal', 'punk', 'numetal', 'coupcontrecoup', 'findnewmusic', 'mentalhealthawareness', 'mentalillness', 'mentalhealth', 'nami', 'split', 'instamusic']"
7,101,Heavy Metal ,#heavymetal,"Legendary station returns 2 knock your dick in the dirt with hard rock & metal tunes. If it's too loud, you're too old! #Metal #HardRock #InternetRadio",160682,0,"Now Playing: Meshuggah - Bleed, #HeavyMetal #HardRock #NowPlaying LOUDEST station in the nation!, https://t.co/loD3ioGLpC","['HeavyMetal', 'HardRock', 'NowPlaying']"
8,101,Heavy Metal ,#heavymetal,"#rockindiepunkmetal i need new music, and new music needs me 🤘playlists on #spotify #deezer #tidal #youtube #amazon  @theretweetermag #theplaylister",670653,2,"OUT NOW! #NewMusic #NewAlbum 

The 2nd Moistule album:
******* GAMBOGE *******

A concept album about mankind's relationship with #nature &amp; the #environment 

Find it here:
https://t.co/Vb0taYbLBu

WARNING: Contains:
#psychedelic #progrock #progmetal #djent #synthwave #HeavyMetal https://t.co/BSG56XjkVs","['NewMusic', 'NewAlbum']"
9,101,Heavy Metal ,#heavymetal,Die Hard Fan from the German Metal Pirates 🏴‍☠️ of Running wild and Helloween🎃.The biggest Running wild Collection. Metalfan and Collector since 1987!  🤘💥💣,5366,1,"Slayer 🇺🇸🤘- Reign in Blood Demos - Vinyl LP
#Slayer #Thrashmetal #Heavymetal #Metal #Metalcollection #Vinyl #Metalvinyl https://t.co/bmyFqW9qH9","['Slayer', 'Thrashmetal', 'Heavymetal', 'Metal', 'Metalcollection', 'Vinyl', 'Metalvinyl']"
