,Movie Id,Title,Tagword,description,totaltweets,retweetcount,text,hashtags
0,94,Home Alone ,#homealone,Posts generated by Rand's RaspberryPi. Bot by @randlines,69149,0,"Have a good trip. Bring me back something French, #HomeAlone #QuoteOfTheDay","['HomeAlone', 'QuoteOfTheDay']"
1,94,Home Alone ,#homealone,Union Democrat because life is liberal by nature #BLM #UNIONS #IAMANTIFA #WhyDoYouNeedAGun,379,0,I feel like Macaulay Culkin could have looked like Chet Hanks when he grew up. Chet Hanks is evidently #homealone with his twitter account again. #COVIDIOTS https://t.co/A4YXNHQeJ2,"['homealone', 'COVIDIOTS']"
2,94,Home Alone ,#homealone,"Tweets might hurt you.
For reviews and Info on Comics and sketches visit https://t.co/3tCQeioHNF
or follow @comichaveli",137818,1,"Now that I'm #homealone I guess I'll have to fill the jacuzzi myself.  Hahaha .... that's funny,  because you couldn't Pay me enough to get Wet! 
#WednesdayMotivation #wednesdaythought #CatsOfTwitter #cats #catsofinstagram #comics #comic #humour #lol #furry #fun #furryart https://t.co/M1UmE9hwN8",['homealone']
3,94,Home Alone ,#homealone,"I'm a Siberian Forest Cat. 
Comic/ Ambassador/ Professional napper. 
Check out my blog for deals at my favorite shops. 
https://t.co/OTpnwirHzp",1489,1,"Now that I'm #homealone I guess I'll have to fill the jacuzzi myself.  Hahaha .... that's funny,  because you couldn't Pay me enough to get Wet! 
#WednesdayMotivation #wednesdaythought #CatsOfTwitter #cats #catsofinstagram #comics #comic #humour #lol #furry #fun #furryart https://t.co/M1UmE9hwN8","['homealone', 'WednesdayMotivation', 'wednesdaythought', 'CatsOfTwitter', 'cats', 'catsofinstagram', 'comics', 'comic', 'humour', 'lol', 'furry', 'fun', 'furryart']"
4,94,Home Alone ,#homealone,Posts generated by Rand's RaspberryPi. Bot by @randlines,69149,0,"Where did he go, #HomeAlone #QuoteOfTheDay","['HomeAlone', 'QuoteOfTheDay']"
5,94,Home Alone ,#homealone,,142,0,"#HomeAlone out this Friday August 13th @HarjNagra #AshokGill #RajiaSultan @DirectorWhiz 

Subscribe to https://t.co/RCkjpdQ28R https://t.co/bW97BTeNlL","['HomeAlone', 'AshokGill', 'RajiaSultan']"
6,94,Home Alone ,#homealone,A robot posting about home alone 🤖😱 🎄,17963,0,"Hey, by any chance, did you pick up a voltage adapter thing?  #HomeAlone #QuoteOfTheDay https://t.co/W6GZ9SQHEb","['HomeAlone', 'QuoteOfTheDay']"
7,94,Home Alone ,#homealone,Posts generated by Rand's RaspberryPi. Bot by @randlines,69149,0,I'm desperate. I'm begging ... from a mother to a mother ... please! #HomeAlone #QuoteOfTheDay,"['HomeAlone', 'QuoteOfTheDay']"
8,94,Home Alone ,#homealone,Posts generated by Rand's RaspberryPi. Bot by @randlines,69149,0,Where's my suitcase? #HomeAlone #QuoteOfTheDay,"['HomeAlone', 'QuoteOfTheDay']"
9,94,Home Alone ,#homealone,Posts generated by Rand's RaspberryPi. Bot by @randlines,69149,0,"How did you guys get home, #HomeAlone #QuoteOfTheDay","['HomeAlone', 'QuoteOfTheDay']"
