,Movie Id,Title,Tagword,description,totaltweets,retweetcount,text,hashtags
0,48,Hoop Dreams ,#hoopdreams,One of the premium summer basketball teams in the state of Florida. We are building our brand back up as we are coming back for TBT and many more tournaments!,3,1,@20_tampa  Support Your local hoop #hoopdreams,['hoopdreams']
1,48,Hoop Dreams ,#hoopdreams,This is how we chill from 99 until.../FSU,25358,1,@20_tampa  Support Your local hoop #hoopdreams,['hoopdreams']
2,48,Hoop Dreams ,#hoopdreams,Allies Husband | Former College 🏀 Coach turned Athletic Director | College 🏀 Educator | Autism | 🏆Winning College 🏀Coach | 901 Born & 615 Raised | 757 now,32819,1,I encourage more FREE BASKETBALL SHOWCASES!! Let's change the Game for Families. LETS GROW TOGETHER and GIVEBACK. https://t.co/dDb3CY2NAt the Greatest #freebasketballshowcase in the  🌎.  #HOOPDREAMS #CHASINGSCHOLARSHIPS #NAIA #D3 #NCCAA #USCAA #JUCO LEVEL COACHES in attendance,[]
3,48,Hoop Dreams ,#hoopdreams,"The Hoop Heads Podcast features interviews & basketball conversation for coaches, parents, and players. Presented by Head Start Basketball.",27794,4,The https://t.co/dDb3CY2NAt ONLY WANTS YOUNG MEN WHO ARE SERIOUS ABOUT NEXT LEVEL #COLLEGEBASKETBALL #HOOPDREAMS #CHASINGSCHOLARSHIPS If you aren't serious don't waste time signing up. We can't promote young men who don't want it for themselves 1st. @TweetsbyCoachP @chibbs_1,"['COLLEGEBASKETBALL', 'HOOPDREAMS']"
4,48,Hoop Dreams ,#hoopdreams,Con artist. Criminal. Dope fiend... Father. World Premiere SXSW 2018. Now available on all major streaming platforms! Directed & produced by @TheRealCharnick.,576,5,"It's DAY NINE of highlighting some of cinema's best documentaries!

Next up, Hoop Dreams (1994) directed by Steve James.*

*A Jason Charnick pick!

#documentary #documentaries #hoopdreams #stevejames https://t.co/7eBd0UyBrd",[]
5,48,Hoop Dreams ,#hoopdreams,Windy City ALLSTARS. est 2016. Prep Hoops Circuit. Jr Hoops Elite. AAU. NCAA certified. Class of 2023 / Class of 2022 / Class of 2024,1012,0,Windy City Allstars 16U #windycityallstars #classof2023 #classof2024 #hoopdreams #illinoisbasketball @THEWCALLSTARS,"['windycityallstars', 'classof2023', 'classof2024', 'hoopdreams', 'illinoisbasketball']"
6,48,Hoop Dreams ,#hoopdreams,"Director/Producer of the feature documentary, @GettingOverFilm, which made its world premiere at SXSW 2018. Host of @HeadAboveH2OPod. Founder of @NiftyFilm_io.",6730,5,"It's DAY NINE of highlighting some of cinema's best documentaries!

Next up, Hoop Dreams (1994) directed by Steve James.*

*A Jason Charnick pick!

#documentary #documentaries #hoopdreams #stevejames https://t.co/7eBd0UyBrd",[]
7,48,Hoop Dreams ,#hoopdreams,"Husband,Father, MAN OF GOD. Cle since 76. Amateur 🏀 scout  & Founder of the  #kennyandersonshowcase Closed to the Public. Be a good person in life.",24728,0,Follow the https://t.co/dDb3CY2NAt on Instagram at kennyandersonshowcase #freebasketballshowcase #basketball #basketballshowcase #thebigshowcaseforsmallschools #hoopdreams #CHASINGSCHOLARSHIPS #ballers #northeastohio #MAKEADIFFERENCE #share #RETWEEET,"['freebasketballshowcase', 'basketball', 'basketballshowcase', 'thebigshowcaseforsmallschools', 'hoopdreams', 'CHASINGSCHOLARSHIPS', 'ballers', 'northeastohio', 'MAKEADIFFERENCE', 'share', 'RETWEEET']"
8,48,Hoop Dreams ,#hoopdreams,"A Chicago girl in a LA world. 💨➡️☀️
Writer | EP -- @SHIC_TheMovie 🎥👻
Host -- @80sMontagePod 💖🎥⚡️
Seed&Spark -- https://t.co/n8FGznfPV5…",6741,5,"It's DAY NINE of highlighting some of cinema's best documentaries!

Next up, Hoop Dreams (1994) directed by Steve James.*

*A Jason Charnick pick!

#documentary #documentaries #hoopdreams #stevejames https://t.co/7eBd0UyBrd",[]
9,48,Hoop Dreams ,#hoopdreams,"Breaking it down montage style. 💖🎥⚡️
Hosted by @annakeizer & Derek Dehanke.",2136,5,"It's DAY NINE of highlighting some of cinema's best documentaries!

Next up, Hoop Dreams (1994) directed by Steve James.*

*A Jason Charnick pick!

#documentary #documentaries #hoopdreams #stevejames https://t.co/7eBd0UyBrd",[]
10,48,Hoop Dreams ,#hoopdreams,"The hustle is real. Premiering 2021!
Created by @annakeizer.",1868,5,"It's DAY NINE of highlighting some of cinema's best documentaries!

Next up, Hoop Dreams (1994) directed by Steve James.*

*A Jason Charnick pick!

#documentary #documentaries #hoopdreams #stevejames https://t.co/7eBd0UyBrd",[]
11,48,Hoop Dreams ,#hoopdreams,"Hell hath no fury like Vivian scorned. 🎥 👻
Directed by @geddewa.
Written and Exec. Produced by @annakeizer.
Starring and Exec. Produced by @sschocking.",2122,5,"It's DAY NINE of highlighting some of cinema's best documentaries!

Next up, Hoop Dreams (1994) directed by Steve James.*

*A Jason Charnick pick!

#documentary #documentaries #hoopdreams #stevejames https://t.co/7eBd0UyBrd","['documentary', 'documentaries', 'hoopdreams', 'stevejames']"
