,Movie Id,Title,Tagword,description,totaltweets,retweetcount,text,hashtags
0,121,Independence Day (ID4) ,#independenceday,"Aus, Groom, Darling Downs, local business, charity, climate change, health, walking in their shoes, independent politics. #voices. #tlcfortrc",244,0,"Ship of fools, in Gov! Disgrace after disgrace. #auspol #coviddisaster #climatecrisis #rapistinthehouse #boozetime #porkrorts #misskynews #IndependenceDay https://t.co/psuOMncmxY","['auspol', 'coviddisaster', 'climatecrisis', 'rapistinthehouse', 'boozetime', 'porkrorts', 'misskynews', 'IndependenceDay']"
1,121,Independence Day (ID4) ,#independenceday,"‏‏رہے گا یونہی ان کا چرچا رہے گا                           

پرے خاک ہو جائیں جل جانے والے",2443,0,"#Pakistan #14august2021 #IndependenceDay

Listen to him

He was Moulana Khadim Hussain Rizvi
A well-known scolar from pakistan https://t.co/hBuztTSqZ4","['Pakistan', '14august2021', 'IndependenceDay']"
2,121,Independence Day (ID4) ,#independenceday,Linking many people globally to the life skills they need that improves how they feel. Find help here: https://t.co/5BobC8uIHl,41741,0,"This is why #IndependenceDay for any and every African and Caribbean countries should be served as a reminder and motivation to fight, build and maintain true independence, true freedom, true sovereignty ✊🏿✊🏿✊🏿 https://t.co/5qg5R7fDBS",['IndependenceDay']
3,121,Independence Day (ID4) ,#independenceday,,116,148,"Set the Music Free this #IndependenceDay on Sony's Wireless Headphones, TWS &amp; Wireless Speakers with upto 47% off. March for your Music Freedom with #Poorvika, Today!

#poorvikamobiles #sony #sonyoffer #sonyoffers #independencedayindia #independencedayoffer #shoponline #shopnow https://t.co/sEGaPb4Ufl",['IndependenceDay']
4,121,Independence Day (ID4) ,#independenceday,,69,474,"""One Flag, One Land, One Heart""
Ahead of the 75th #IndependenceDay, #LtGenYKJoshi, #ArmyCdrNC dedicated 100ft tall #NationalFlag at #Gulmarg. 

#IndianArmy
#KashmirForTiranga

@adgpi
@PMOIndia
@DefenceMinIndia
@HQ_IDS_India
@PIB_India
@Tri_Service
@ChinarcorpsIA
@PRODefSrinagar https://t.co/XOGrd0QHbd","['IndependenceDay', 'LtGenYKJoshi', 'ArmyCdrNC']"
5,121,Independence Day (ID4) ,#independenceday,"‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎#تاجدار_ختم_نبوت_ﷺ_زندہ_باد_زندہ_باد
‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎#Khadim_e_HaqBadshahSarkar,
‎‎‎‎‎#QadianiAhmadiAreN",49197,11,"#IndependenceDay 
#14August2021
 #WednesdayMotivation #BeautifulPakistan
 #PakistanZindabad

🌴.  It is important to reveal the personality of Mirza Qadiyani and his living conditions only for understanding the fitnah of Qadianiyyah.🌴 https://t.co/STLsqY3ArG","['IndependenceDay', '14August2021', 'WednesdayMotivation', 'BeautifulPakistan', 'PakistanZindabad']"
6,121,Independence Day (ID4) ,#independenceday,Business,1318,0,"@ammantrytmt Ans) Subhash Chandra Bose 🇮🇳

@ammantrytmt
#contestalert  #commentbelow #contesttime #competition #freedomfighter  #india #independenceday #independenceday2021 #ammantry 

Join:
@krrish__rajput @Moin6Moin @sonukhan34 @KadirkhanBdc @farhasaifi10 @ChaudharySajma","['contestalert', 'commentbelow', 'contesttime', 'competition', 'freedomfighter', 'india', 'independenceday', 'independenceday2021', 'ammantry']"
7,121,Independence Day (ID4) ,#independenceday,JUST BELIEVE,4603,1,My all-time favorite film speech is about Independence Day. I’ve seen this movie several times and never get bored.#films.#IndependenceDay https://t.co/YMJ4oppPS3,['films']
8,121,Independence Day (ID4) ,#independenceday,"Beautiful papers, wall decor and more.
https://t.co/e2Ok0UkEHu",22247,0,Excited to share the latest addition to my #etsy shop: Fabric print textile Mexican art background blanket otomi aztec upholstery tribal serape ethnic mexico decor party material bundles digital https://t.co/hZ8MvNqMab #purple #birthday #people #blue #independenceday https://t.co/HEZFKVijxR,"['etsy', 'purple', 'birthday', 'people', 'blue', 'independenceday']"
9,121,Independence Day (ID4) ,#independenceday,"Beautiful papers, wall decor and more.
https://t.co/e2Ok0UkEHu",22247,0,Excited to share the latest addition to my #etsy shop: Mexican fabric print otomi aztec upholstery mayan tribal serape mexico blanket decor party material bundles digital textile art background https://t.co/HDNGfSfhLY #red #birthday #people #orange #independenceday #me https://t.co/pMAfj8vXco,"['etsy', 'red', 'birthday', 'people', 'orange', 'independenceday', 'me']"
10,121,Independence Day (ID4) ,#independenceday,"World’s First Wallet-Bot |
Luxury with Intelligence
Best Emerging Brand 
Innovators with crazy Ideas💡
ISO | CE | Certified
Smart Tech | 
https://t.co/0hkGc75f5t",1200,0,"We're Obsessed With The Ultimate Way To Treat Arista Fam.
That's why this time we are set up with some fun.

Can you guess the word ???
Comment Down ⬇️

#aristavault #independenceday #independence #freedom #aristacontest #sale #sales #spinthewheel #aristaluck #ARISTASPINTOWIN https://t.co/PbBTbAHiwE","['aristavault', 'independenceday', 'independence', 'freedom', 'aristacontest', 'sale', 'sales', 'spinthewheel', 'aristaluck', 'ARISTASPINTOWIN']"
