,Movie Id,Title,Tagword,description,totaltweets,retweetcount,text,hashtags
0,149,Jude ,#jude,"Be yourself... unless you can be Batman then be BATMAN! I love being weird! Interests: Reading, movies/shows, anime, and anything cute like my puppies!!!",3853,0,"#HollyBlack Fans you don't wanna miss this one! Enter to win this amazing prize pack!

Enter: https://t.co/DuQRi2ZLmm

#bookgiveaway #amreading #bookblogger #freebooks #bookish #amreadingfantasy #jude #cardan #thecruelprince

via @clcannonauthor","['HollyBlack', 'bookgiveaway', 'amreading', 'bookblogger', 'freebooks', 'bookish', 'amreadingfantasy', 'jude', 'cardan', 'thecruelprince']"
1,149,Jude ,#jude,,834,5,"200410 Jude's instagram story with Baram:

#Jude #Jvde #주드 #Baram #바람  #BIGSTAR #빅스타 https://t.co/fQ3ZmqvgYs","['Jude', 'Jvde', '주드', 'Baram', '바람', 'BIGSTAR', '빅스타']"
2,149,Jude ,#jude,I’m an avid reader. Book nerd. Love all romance. I’m a mommy to two boys and married to my husband Justin. ❤️,1515,0,"#HollyBlack Fans you don't wanna miss this one! Enter to win this amazing prize pack!

Enter: https://t.co/E0rZwOxrui

#bookgiveaway #amreading #bookblogger #freebooks #bookish #amreadingfantasy #jude #cardan #thecruelprince

via @clcannonauthor","['HollyBlack', 'bookgiveaway', 'amreading', 'bookblogger', 'freebooks', 'bookish', 'amreadingfantasy', 'jude', 'cardan', 'thecruelprince']"
3,149,Jude ,#jude,,20595,0,"#HollyBlack Fans you don't wanna miss this one! Enter to win this amazing prize pack!

Enter: https://t.co/qyneg6un0I

#bookgiveaway #amreading #bookblogger #freebooks #bookish #amreadingfantasy #jude #cardan #thecruelprince

via @clcannonauthor","['HollyBlack', 'bookgiveaway', 'amreading', 'bookblogger', 'freebooks', 'bookish', 'amreadingfantasy', 'jude', 'cardan', 'thecruelprince']"
4,149,Jude ,#jude,Rember don't  eat yellow snow,7,0,I wish i would do the same to someone 🗡🗡🗡🗡#cardude #jude  #cruelprince #folkofair #cardan https://t.co/grVksOAzka,"['cardude', 'jude', 'cruelprince', 'folkofair', 'cardan']"
5,149,Jude ,#jude,Let us worship together! Sunday Services: 9AM/10:30AM (CST); Parking Lot: 91.9FM; Facebook Group Page: 9AM.,1841,0,"Greetings! It is time for our next ""Video Bible Study"" of the book of #Jude. Click on the link below for ""Lesson-7"" for the week of August 11-18, 2021. Blessings! 🙂

https://t.co/Llg8nZjem3

#Scripture #BibleStudy #FreeMethodist @FreeMotley","['Jude', 'Scripture', 'BibleStudy', 'FreeMethodist']"
6,149,Jude ,#jude,"Maxton & Henry Ralph, Cricket and Golf.",4218,0,@PurelyFootball Can they harvest DNA from his parents and send to Anfield please. Serious football genes #Mark #Jude #Jobe,"['Mark', 'Jude', 'Jobe']"
7,149,Jude ,#jude,I’m an avid reader. Book nerd. Love all romance. I’m a mommy to two boys and married to my husband Justin. ❤️,1515,0,"#HollyBlack Fans you don't wanna miss this one! Enter to win this amazing prize pack!

Enter: https://t.co/E0rZwOxrui

#bookgiveaway #amreading #bookblogger #freebooks #bookish #amreadingfantasy #jude #cardan #thecruelprince

via @clcannonauthor","['HollyBlack', 'bookgiveaway', 'amreading', 'bookblogger', 'freebooks', 'bookish', 'amreadingfantasy', 'jude', 'cardan', 'thecruelprince']"
8,149,Jude ,#jude,"Be yourself... unless you can be Batman then be BATMAN! I love being weird! Interests: Reading, movies/shows, anime, and anything cute like my puppies!!!",3853,0,"#HollyBlack Fans you don't wanna miss this one! Enter to win this amazing prize pack!

Enter: https://t.co/DuQRi2ZLmm

#bookgiveaway #amreading #bookblogger #freebooks #bookish #amreadingfantasy #jude #cardan #thecruelprince

via @clcannonauthor","['HollyBlack', 'bookgiveaway', 'amreading', 'bookblogger', 'freebooks', 'bookish', 'amreadingfantasy', 'jude', 'cardan', 'thecruelprince']"
9,149,Jude ,#jude,#crypto #dogecoin DNCnNLm6oLa5ijSmdaZjWJbR2gJK8sHtbn #BeefyMuskArmy,44377,1,"#HollyBlack Fans you don't wanna miss this one! Enter to win this amazing prize pack!

Enter: https://t.co/ySJ0c2uRmr

#bookgiveaway #amreading #bookblogger #freebooks #bookish #amreadingfantasy #jude #cardan #thecruelprince

via @clcannonauthor",['HollyBlack']
10,149,Jude ,#jude,"Love to enter contests! Love to read on kindle: mysteries. Love people of all ethnics, beauty, and kindness, no haters. Also big in technology and games.",210204,1,"#HollyBlack Fans you don't wanna miss this one! Enter to win this amazing prize pack!

Enter: https://t.co/ySJ0c2uRmr

#bookgiveaway #amreading #bookblogger #freebooks #bookish #amreadingfantasy #jude #cardan #thecruelprince

via @clcannonauthor","['HollyBlack', 'bookgiveaway', 'amreading', 'bookblogger', 'freebooks', 'bookish', 'amreadingfantasy', 'jude', 'cardan', 'thecruelprince']"
11,149,Jude ,#jude,#STEM #cycle #iot 🇺🇸🇬🇧 light hearted serious twitterer|Law|Justice|Technology |#Environment|Faith|Opinionated|COVIDHater|#Bitcoin|#CRYPTOnite😂,132464,0,@britanniayacht #Jude our waiter from South India rocked our boat😻😛👌,['Jude']
12,149,Jude ,#jude,,20595,0,"#HollyBlack Fans you don't wanna miss this one! Enter to win this amazing prize pack!

Enter: https://t.co/qyneg6un0I

#bookgiveaway #amreading #bookblogger #freebooks #bookish #amreadingfantasy #jude #cardan #thecruelprince

via @clcannonauthor","['HollyBlack', 'bookgiveaway', 'amreading', 'bookblogger', 'freebooks', 'bookish', 'amreadingfantasy', 'jude', 'cardan', 'thecruelprince']"
13,149,Jude ,#jude,❝ b i b l i o p h i l e ❞,34351,2,"Cardan Greenbriar
#thecruelprince #Cardan #Jude https://t.co/Q3j5Se9L8r","['thecruelprince', 'Cardan', 'Jude']"
14,149,Jude ,#jude,"#Father, #FirstSergeant(R), #PetrolHead, #Racefan, #MMAFan, #NCAABB, #NCAAFB, #NFL, #UGAFan, #CUFan, #BroncosFan, #American, #FakeWoke, #SaveWomensSports",2085,0,@jakeshieldsajj Wow. Imagine the beat down on a  #VaccineChallenged person. #Unvaxed? #StarOfDavid ✡ #Jude,"['VaccineChallenged', 'Unvaxed', 'StarOfDavid', 'Jude']"
