,Movie Id,Title,Tagword,description,totaltweets,retweetcount,text,hashtags
0,130,Kansas City ,#kansascity,Board game anarchy makes me laugh. ,5698,272,Congratulations to Patrick Mahomes II for assisting in bringing Whataburger to Kansas City! Exciting times ahead for the Missouri and Kansas area with the addition of 30 restaurants over the next 7 years! #Whataburger #KansasCity https://t.co/03QLaoTG5H,[]
1,130,Kansas City ,#kansascity,"Check me out. Let's not make this complicated. Best Kept Secret / Soon The Beaches Will Love Me :) -To know me is to love me. , #TeamFreezeIce",10895,272,Congratulations to Patrick Mahomes II for assisting in bringing Whataburger to Kansas City! Exciting times ahead for the Missouri and Kansas area with the addition of 30 restaurants over the next 7 years! #Whataburger #KansasCity https://t.co/03QLaoTG5H,[]
2,130,Kansas City ,#kansascity,Texas A&M University '20 • @ManageThis12,362,272,Congratulations to Patrick Mahomes II for assisting in bringing Whataburger to Kansas City! Exciting times ahead for the Missouri and Kansas area with the addition of 30 restaurants over the next 7 years! #Whataburger #KansasCity https://t.co/03QLaoTG5H,[]
3,130,Kansas City ,#kansascity,😎,114,0,"Alex Smith Joins ESPN as NFL Analyst

#NFL #Chiefs #KansasCity #KansasCityChiefs #AlexSmith","['NFL', 'Chiefs', 'KansasCity', 'KansasCityChiefs', 'AlexSmith']"
4,130,Kansas City ,#kansascity,Rest Easy Mama•RIP Dad• 🖤 🦍,25886,272,Congratulations to Patrick Mahomes II for assisting in bringing Whataburger to Kansas City! Exciting times ahead for the Missouri and Kansas area with the addition of 30 restaurants over the next 7 years! #Whataburger #KansasCity https://t.co/03QLaoTG5H,[]
5,130,Kansas City ,#kansascity,Innovate with apps at lightspeed | Democratize data | Infuse AI in business operations | #MicrosoftGoldPartner #Azure #Analytics #Cloud #ML #AI #lowcode,2850,0,"Featured at the KC IT panel session: Innovate With Apps and Data at Litespeed

#KCITSymposium #KCSymposium #KansasCity #Technology #efmevents #EFMConnections #ITEvents #CloudMoyoevents #ITprofessional https://t.co/ZQcI6azvmJ","['KCITSymposium', 'KCSymposium', 'KansasCity', 'Technology', 'efmevents', 'EFMConnections', 'ITEvents', 'CloudMoyoevents', 'ITprofessional']"
6,130,Kansas City ,#kansascity,"Gain access to our exclusive network that provides meaningful everyday savings, incl. unmatched dining benefits with the option of additional merchant discounts",156,0,"Happy testimonials from our customers!
Passport has supported businesses, institutions &amp; individuals in building their most valuable relationships. It's simple to get started. 

#omaharestaurant #lincolnne #kansascity #stlouis #omaha #nebraska #omahane #omahabusiness #midwest https://t.co/9Y0JsE7MXU","['omaharestaurant', 'lincolnne', 'kansascity', 'stlouis', 'omaha', 'nebraska', 'omahane', 'omahabusiness', 'midwest']"
7,130,Kansas City ,#kansascity,"Follow this account for geo-targeted Accounting job tweets in Kansas City, KS. Need help? Tweet us at @CareerArc!",510,0,"Deloitte's hiring! Read about Deloitte's latest job opening here: Audit &amp; Assurance Intern - Summer 2022, Winter 2023 - https://t.co/UL56ezHvdu #Accounting #KansasCity, MO","['Accounting', 'KansasCity']"
8,130,Kansas City ,#kansascity,Owner/Hood Chef of Sparker Kitchen Home of the Salmon Philly. Kansas City cashapp:$SparkerKitchen HU Alumna,61127,2,"New bookstore alert! Congratulations to @BLKBRWNKC on its recent opening. So many things to be excited about, the innovative tech component being just one of them. Thanks to @StartlandNews &amp; @AustinBarnesKC for the article. #KansasCity #bookstore

https://t.co/Adlj20JJdJ",[]
9,130,Kansas City ,#kansascity,"Follow this account for geo-targeted Security job tweets in Kansas City, KS. Need help? Tweet us at @CareerArc!",455,0,"Interested in a job in #KansasCity, MO? This could be a great fit. Click the link in our bio to apply: Security Site Supervisor at Allied Universal #security","['KansasCity', 'security']"
10,130,Kansas City ,#kansascity,Global Museum - for Museum Professionals and those who love museums. Since 1998,208573,0,"Police appeal for information after Kansas City's 7ft-tall bronze statue of Native American woman disappears into thin air | Memorial sculpture, valued at $80,000, may have been stolen so the metal could be sold to a scrapyard https://t.co/lDInjXNkOY #KansasCity #crime #statue https://t.co/GcKWVx6uKr","['KansasCity', 'crime', 'statue']"
11,130,Kansas City ,#kansascity,"back up on my bullshit. come for abolishing: police, prisons & capitalism. positions don’t sway over here. stay for Black joy.",37739,2,"New bookstore alert! Congratulations to @BLKBRWNKC on its recent opening. So many things to be excited about, the innovative tech component being just one of them. Thanks to @StartlandNews &amp; @AustinBarnesKC for the article. #KansasCity #bookstore

https://t.co/Adlj20JJdJ",[]
12,130,Kansas City ,#kansascity,"Follow this account for geo-targeted Sales job tweets in St. Joseph, MO. Need help? Tweet us at @CareerArc!",613,0,"This Sales job might be a great fit for you. Click the link in our bio to see it and more. Hourly Sales Associate -Small Appliances at NFM #KansasCity, KS",['KansasCity']
13,130,Kansas City ,#kansascity,Fan of some stuff,14136,272,Congratulations to Patrick Mahomes II for assisting in bringing Whataburger to Kansas City! Exciting times ahead for the Missouri and Kansas area with the addition of 30 restaurants over the next 7 years! #Whataburger #KansasCity https://t.co/03QLaoTG5H,[]
