,Movie Id,Title,Tagword,description,totaltweets,retweetcount,text,hashtags
0,71,"Lion King, The ","#lionking,the",I am here to support my queen my love ❤❤❤ @jasminbhasin Dil se #Jasminians,28814,63,"This World Lion Day, let's pledge to save the king of the jungle and celebrate the true taste of India with Amul India Single Origin Milk Chocolate.
#worldlionday #lion #lions #wildlife #animals #lionking #bigcats #safari #nature #animal #lioness",[]
1,71,"Lion King, The ","#lionking,the",Work for Hinduism,847,63,"This World Lion Day, let's pledge to save the king of the jungle and celebrate the true taste of India with Amul India Single Origin Milk Chocolate.
#worldlionday #lion #lions #wildlife #animals #lionking #bigcats #safari #nature #animal #lioness",[]
2,71,"Lion King, The ","#lionking,the",,138,63,"This World Lion Day, let's pledge to save the king of the jungle and celebrate the true taste of India with Amul India Single Origin Milk Chocolate.
#worldlionday #lion #lions #wildlife #animals #lionking #bigcats #safari #nature #animal #lioness",[]
3,71,"Lion King, The ","#lionking,the",Ranjit Kumar,1164,63,"This World Lion Day, let's pledge to save the king of the jungle and celebrate the true taste of India with Amul India Single Origin Milk Chocolate.
#worldlionday #lion #lions #wildlife #animals #lionking #bigcats #safari #nature #animal #lioness",[]
4,71,"Lion King, The ","#lionking,the",Social scientist,6731,63,"This World Lion Day, let's pledge to save the king of the jungle and celebrate the true taste of India with Amul India Single Origin Milk Chocolate.
#worldlionday #lion #lions #wildlife #animals #lionking #bigcats #safari #nature #animal #lioness",[]
5,71,"Lion King, The ","#lionking,the",social services Sports Government and Politics Politicians and Pol Parties Entertainment,5627,63,"This World Lion Day, let's pledge to save the king of the jungle and celebrate the true taste of India with Amul India Single Origin Milk Chocolate.
#worldlionday #lion #lions #wildlife #animals #lionking #bigcats #safari #nature #animal #lioness",[]
6,71,"Lion King, The ","#lionking,the","A writer, actor, artist and environmental scientist with a taste for adventure and the beauty of untamed nature!",572,1,"On #WorldLionDay its important to remeber that there are fewer lion than there are rhino. World Lion Day is celebrated to commemorate and raise awareness about the need for lion conservation.
#africanlion #lion #wildlife #bigcats #lions #lionking #lioness #africa #animals #safari https://t.co/KWE4Z7FXZx",['WorldLionDay']
7,71,"Lion King, The ","#lionking,the",,19402,63,"This World Lion Day, let's pledge to save the king of the jungle and celebrate the true taste of India with Amul India Single Origin Milk Chocolate.
#worldlionday #lion #lions #wildlife #animals #lionking #bigcats #safari #nature #animal #lioness",[]
8,71,"Lion King, The ","#lionking,the",Your perspective dictates your happiness,992,5,"This World Lion Day, let's pledge to save the king of the jungle and celebrate the true taste of India with Amul India Single Origin Milk Chocolate.
#worldlionday #lion #lions #wildlife #animals #lionking #bigcats #safari #nature #animal",[]
9,71,"Lion King, The ","#lionking,the","Social Political Activist / Equdlity / Humanity / Support ideology of Secularism / Proud Indian Muslim
I Love You IMC",2252,63,"This World Lion Day, let's pledge to save the king of the jungle and celebrate the true taste of India with Amul India Single Origin Milk Chocolate.
#worldlionday #lion #lions #wildlife #animals #lionking #bigcats #safari #nature #animal #lioness",[]
