,Movie Id,Title,Tagword,description,totaltweets,retweetcount,text,hashtags
0,124,Lone Star ,#lonestar,"As a premier Chicago-land Ford Dealer, we have a large selection of new and used Ford cars, trucks and SUVs.",1535,0,"2017 RAM 1500 Big Horn
Stock #: 13442F  Mileage: 19,905

Details: https://t.co/MtMtBL4rQM

#ram #ram1500 #ramtruck #bighorn #lonestar #metroford #ford #chicagoford #fordchicago #usedcarchicago #chicagocarsforsale #metrofordchicago #usedcarforsale https://t.co/wjFvk8d6zG","['ram', 'ram1500', 'ramtruck', 'bighorn', 'lonestar', 'metroford', 'ford', 'chicagoford', 'fordchicago', 'usedcarchicago', 'chicagocarsforsale', 'metrofordchicago', 'usedcarforsale']"
1,124,Lone Star ,#lonestar,TX Middle School Librarian/Wife to Executive Chef/Girl Scout Leader/learner/crafter/a Busy Bee #beeinthebookends,23569,0,It is #booktalkTuesday and I LOVED The Companion by @KatieAlender https://t.co/c7HYgv4wDm #irvingreads #booktok #booktalk #librarytwitter #lonestar #txasl https://t.co/o1Q3malxM9,"['booktalkTuesday', 'irvingreads', 'booktok', 'booktalk', 'librarytwitter', 'lonestar', 'txasl']"
2,124,Lone Star ,#lonestar,"🌅 cancer ↑ leo ☽ libra  |  INFJ-T ~ true neutral

📖 books are my breath  |  cr: the alienist ; shadow sands",571,0,"Lone star
by Paullina Simons

RATING: 3,5⭐

@paullinasimons #paullinasimons #lonestar #booktwt https://t.co/lbckaMdEn6","['paullinasimons', 'lonestar', 'booktwt']"
3,124,Lone Star ,#lonestar,"Ph.D, Experienced Business consultant. Specialized in international trade.",11832,0,Check out VTG Lone Star Texas Men Gold Tone Swiss Parts Hand-Wind Mechanical Watch Hours #LoneStar https://t.co/jwC2em2aOu via @eBay,['LoneStar']
4,124,Lone Star ,#lonestar,I am a high energy guy who loves all things creative.....,3690,6,"Had a great night @lonestar_tg London with @GarLeyshon and @DennisNielsen10 Tried everything: wings, tacos, chimichangas and fajitas, and it was all delicious! The deep fried ice cream wasn't the healthiest choice, but it was 👍😍!!!
 #lonestar #ldnont #damianwarner #decathlon https://t.co/Qil0xxcdZm",[]
5,124,Lone Star ,#lonestar,"NO FB OR LISTS! Loved Kennedy until Obama! EARLY PROTESTOR for racial, LGBTQ & gender equality! WILL ALWAYS REJECT INJUSTICE!🆘",577036,2,"@briantylercohen Wait...I thought #Texas seniors were supposed to ""sacrifice themselves"" for the freedom of the rest?

Ohhhh...now the KIDS have to sacrifice themselves.  Kind of a rotating  #LoneStar sacrificial alter kind of thing.

#GregAbbott's #Waco. https://t.co/Ofnb52gYfI",['Texas']
6,124,Lone Star ,#lonestar,I no longer try to reason with #Cult45 #redtoblue #UnhackTheVote #ClimateChangeIsReal #GunSense #Healthcare4All #IStandWithPP #Ally #DACA #FBR,107521,2,"@briantylercohen Wait...I thought #Texas seniors were supposed to ""sacrifice themselves"" for the freedom of the rest?

Ohhhh...now the KIDS have to sacrifice themselves.  Kind of a rotating  #LoneStar sacrificial alter kind of thing.

#GregAbbott's #Waco. https://t.co/Ofnb52gYfI",['Texas']
7,124,Lone Star ,#lonestar,Lonestar Truck Driving Academy offers a superior commercial driver’s license program.,5,0,Are you looking for a quality truck driver training school? Contact us today to find out more! #Lonestar #TruckDrivingAcademy https://t.co/MbfT3FBaN4,"['Lonestar', 'TruckDrivingAcademy']"
8,124,Lone Star ,#lonestar,"🇺🇸🍳🍔🥪👨‍🍳🎻🤠📻🏳️‍🌈Servin’ up a little of everything & I honor Country Music hits from the past, ‘60s-‘90s. Way Out West!!🦫🌲🏔🦆",8219,1,"Some people might think having three lead singers from three great bands in one group would get tricky. But these guys love sharing the stage with each other and just making good music!
#TheFrontmen #LarryStewart #TimRushlow #RichieMcDonald #RestlessHeart #LoneStar #LittleTexas https://t.co/Pki6kzS0YH",[]
9,124,Lone Star ,#lonestar,"singer song/writer and lead vocalist for my band The Lost Redwood
and a aspiring author 
https://t.co/RTI07zNIRA",3594,0,"New cover video up check it out #lonestar #music #cover
https://t.co/KI5tJKzFxu","['lonestar', 'music', 'cover']"
10,124,Lone Star ,#lonestar,Family owned company for over 70 years supplying building materials & the best service in Texas. Four sites to serve you: Beaumont | Nederland | Buna | Hemphill,993,0,Did you know our Hemphill store is also a fully stocked feed store? We proudly sell Lone Star feed for all of your livestock needs! #RitterLumber #LoneStar #Local #ShopSmall #Hemphill https://t.co/krdhKYcwcx,"['RitterLumber', 'LoneStar', 'Local', 'ShopSmall', 'Hemphill']"
11,124,Lone Star ,#lonestar,,39641,7,This Cowboy Stands Alone. #LoneStar 🤠💫 https://t.co/sAfYzAEEFn,['LoneStar']
