,Movie Id,Title,Tagword,description,totaltweets,retweetcount,text,hashtags
0,36,Mad Love ,#madlove,Living for Jesus Christ | Wife to @supermanjohnson,18807,1,"The best of @Shydw4 from Game 1 &amp; 2 of #FIBAU19 World Cup.🇨🇦🔥

#madlove🇨🇦 #watchwomenwin https://t.co/UOCCNImnNS","['FIBAU19', 'madlove', 'watchwomenwin']"
1,36,Mad Love ,#madlove,"From the east coast of Canada,
Bishop's University grad 06,
lover of all basketball",58614,0,@AyimWhoAyim @CanBball @WavesHoops Congratulations on a great career and thank you for being apart of National team!! #madlove🇨🇦,['madlove']
2,36,Mad Love ,#madlove,It takes more than love. #madlove🇨🇦,37103,1,"The best of @Shydw4 from Game 1 &amp; 2 of #FIBAU19 World Cup.🇨🇦🔥

#madlove🇨🇦 #watchwomenwin https://t.co/UOCCNImnNS","['FIBAU19', 'madlove', 'watchwomenwin']"
3,36,Mad Love ,#madlove,"Proud mom, sports fan, and basketball coach helping young girls improve and develop their confidence.",3033,3,"Pass the 📞 with the 🇨🇦 U19 Women’s Team! 

#FIBAU19 #Madlove🇨🇦 https://t.co/cDDtLfTgyP","['FIBAU19', 'Madlove']"
4,36,Mad Love ,#madlove,#Indian | Professional Procrastinator | Food Addict | Music Wizard | Loves Philosophy,3695,0,Sad Truth #LifeLessons #LoveInParadise #Truth #madlove https://t.co/muGJH0YjF6,"['LifeLessons', 'LoveInParadise', 'Truth', 'madlove']"
5,36,Mad Love ,#madlove,Pilot 👨‍✈️✈️ Smile more. #WeTheNorth Champions#TMLtalk,255165,3,"Pass the 📞 with the 🇨🇦 U19 Women’s Team! 

#FIBAU19 #Madlove🇨🇦 https://t.co/cDDtLfTgyP","['FIBAU19', 'Madlove']"
6,36,Mad Love ,#madlove,Michael Jordan of regular everyday normal life.  Film Making/Basketball,17212,3,"Pass the 📞 with the 🇨🇦 U19 Women’s Team! 

#FIBAU19 #Madlove🇨🇦 https://t.co/cDDtLfTgyP","['FIBAU19', 'Madlove']"
7,36,Mad Love ,#madlove,It takes more than love. #madlove🇨🇦,37103,3,"Pass the 📞 with the 🇨🇦 U19 Women’s Team! 

#FIBAU19 #Madlove🇨🇦 https://t.co/cDDtLfTgyP","['FIBAU19', 'Madlove']"
8,36,Mad Love ,#madlove,Championing the sport of basketball in Alberta. A Game For Life,18284,7,"Views 👁 from Debrecen, Hungary.

#FIBAU19 #madlove🇨🇦 https://t.co/5yZ24ReZLE","['FIBAU19', 'madlove']"
9,36,Mad Love ,#madlove,"From the east coast of Canada,
Bishop's University grad 06,
lover of all basketball",58614,7,"Views 👁 from Debrecen, Hungary.

#FIBAU19 #madlove🇨🇦 https://t.co/5yZ24ReZLE","['FIBAU19', 'madlove']"
