,Movie Id,Title,Tagword,description,totaltweets,retweetcount,text,hashtags
0,53,Natural Born Killers ,#naturalbornkillers,I heard the outdoors call my name!,13526,0,Reposted from @_chrispalomo5 I love watching blacktail bucks 😍 #naturalbornkillers #californiahunting #californiahuntingaddiction #blacktaildeer#californiahunting @ OVER THERE https://t.co/NaJo2Yysyi,"['naturalbornkillers', 'californiahunting', 'californiahuntingaddiction']"
1,53,Natural Born Killers ,#naturalbornkillers,"No soy la licenciada, soy una parodia barata.



▪▪ NO DM ▪▪",68270,0,Sex is violent! #NaturalBornKillers https://t.co/99d2Ws2fK1,['NaturalBornKillers']
2,53,Natural Born Killers ,#naturalbornkillers,CEI/MEG ©2009  https://t.co/fwJWh7QE7x,20720,2,#QuentinTarantino reveals #OliverStone #feud means he’s never seen #NaturalBornKillers – despite writing it - The Independent https://t.co/W9nuyU4wtm,"['QuentinTarantino', 'OliverStone', 'feud', 'NaturalBornKillers']"
3,53,Natural Born Killers ,#naturalbornkillers,We are a multi-generational discussion of movies. Come and join the conversation. Find us on iTunes and YouTube. Yell at us here.,2630,0,#OliverStone and #QuentinTarantino had a baby and they named it #NaturalBornKillers. Here's our discussion of it.  YKY: Natural Born Killers https://t.co/EfjhDPfv5C via @YouTube,"['OliverStone', 'QuentinTarantino', 'NaturalBornKillers']"
4,53,Natural Born Killers ,#naturalbornkillers,"GONZO VISUAL ARTIST  //  CYBER MARGINALIS

worked w: Sony Music, FIFA, Kotaku /
Madlib w A.O.L, Emicida, Will Smith, Nicky Jam/

#NFT https://t.co/SgFOXR0Qnu",90721,14,"BEAUTIFUL LIFE  //  13/13 for 2.5tez
𝑊𝑒'𝑟𝑒 𝑙𝑖𝑣𝑖𝑛𝑔 𝑖𝑛 𝑑𝑖𝑓𝑓𝑒𝑟𝑒𝑛𝑡 𝑤𝑎𝑦𝑠
Be the first to get it here 👇
https://t.co/TtwZDLf8a2
@hicetnunc2000 @onhicetnunc @Hicetnunc_nft #NFT #nftcollector #tezos #hicetnunc #NaturalBornKillers #MickeyandMallory #Knox https://t.co/kQwgMo60aa",[]
5,53,Natural Born Killers ,#naturalbornkillers,Audiobook blogger. *Unable to take review requests at this time* Editor. Proofreader. Audiobook assistant.,3233,0,Awwww. My heart. #LucySmoke is making me feel. What is this? #kindlequotes #naturalbornkillers #sickboys https://t.co/OXVWn5xLx7,"['LucySmoke', 'kindlequotes', 'naturalbornkillers', 'sickboys']"
6,53,Natural Born Killers ,#naturalbornkillers,"BeProfile is New Social Media Network.
Features : #profile #PAGE #group #Blogs #Forum #Marketplace #jobsearch #music #YouTube and much more... https://t.co/j65wszkX2O",292,1,📷 I Dub This My Crazy Couples Collection! #crazy #couples #love #dangerous #drama #thriller #murder #crime #mystery #mayhem #biography #music #romance #action #villain #victim #naturalbornkillers #sidandnancy #basicinstinct #trueromance... https://t.co/DtIcwRypkk,"['crazy', 'couples', 'love', 'dangerous', 'drama', 'thriller', 'murder', 'crime', 'mystery']"
7,53,Natural Born Killers ,#naturalbornkillers,Tiny Terrors Gallery is the result of combining art and horror films. Executed in detailed watercolor paintings and reproduced in a quality collectible medium.,678,1,📷 I Dub This My Crazy Couples Collection! #crazy #couples #love #dangerous #drama #thriller #murder #crime #mystery #mayhem #biography #music #romance #action #villain #victim #naturalbornkillers #sidandnancy #basicinstinct #trueromance... https://t.co/DtIcwRypkk,"['crazy', 'couples', 'love', 'dangerous', 'drama', 'thriller', 'murder', 'crime', 'mystery', 'mayhem', 'biography', 'music', 'romance', 'action', 'villain', 'victim', 'naturalbornkillers', 'sidandnancy', 'basicinstinct', 'trueromance']"
8,53,Natural Born Killers ,#naturalbornkillers,,7,0,"new sketch, lmk if i must to print and drop some stuffs w this graphic #naturalbornkillers https://t.co/pQCHGWKdLu",['naturalbornkillers']
9,53,Natural Born Killers ,#naturalbornkillers,"Movies til I die.  80's / 90's soul.  Family man and lover of fine tacos.
#fixthemovie
https://t.co/aokm2Z3ak6",161,1,"Is there anyone out there who HASNT seen #NaturalBornKillers?

Story: Tarantino
Director: Oliver Stone 

@WoodyHarrelson 
@JulietteLewis 
@RobertDowneyJr 
Tommy Lee Jones
Rodney Dangerfield (!)

A visceral masterpiece depicting the media's coverage of violent crime
#FilmTwitter https://t.co/9mVP2YIpLj","['NaturalBornKillers', 'FilmTwitter']"
10,53,Natural Born Killers ,#naturalbornkillers,"Movies til I die.  80's / 90's soul.  Family man and lover of fine tacos.
#fixthemovie
https://t.co/aokm2Z3ak6",161,0,"Woody Harrelson out there cashin' dem checks.
#Venom #Venom2 

For my money, give me some vintage #NaturalBornKillers. That's prime serial killer Woodrow right there https://t.co/64eXAw70OA","['Venom', 'Venom2', 'NaturalBornKillers']"
11,53,Natural Born Killers ,#naturalbornkillers,"Publisher, Musician, Commercial Pilot, Flight Instructor & Post Production Specialist",60566,2,#QuentinTarantino reveals #OliverStone #feud means he’s never seen #NaturalBornKillers – despite writing it - The Independent https://t.co/W9nuyU4wtm,"['QuentinTarantino', 'OliverStone', 'feud', 'NaturalBornKillers']"
12,53,Natural Born Killers ,#naturalbornkillers,8K Production & Post https://t.co/wlBA6aG0bo,42791,2,#QuentinTarantino reveals #OliverStone #feud means he’s never seen #NaturalBornKillers – despite writing it - The Independent https://t.co/W9nuyU4wtm,"['QuentinTarantino', 'OliverStone', 'feud', 'NaturalBornKillers']"
13,53,Natural Born Killers ,#naturalbornkillers,"🎞️ᑕᒪIᑕK TᕼE ᒪIᑎK & ᗰᗩKE ᗰE ᕼᗩᑭᑭY 👉🏽
https://t.co/PPhX6qSenY 👍🏽
ᗷEᒪGIᗩᑎ #FilmTwitter | #Horrorfam| ᗯᗩᑎᑎᗩᗷE ᑕᖇITIᑕ | #ᗷᒪOGGEᖇ | ᑭᔕ4 ᗩᗪᗪIᑕT | ᗪᗩᗪ | ᕼᑌᔕᗷᗩᑎᗪ | #GEEK |",57745,0,"Quentin Tarantino Has Never Seen All of Oliver Stone’s Version of His ‘Natural Born Killers’

https://t.co/B1IChLvEfU

#QuentinTarantino #NaturalBornKillers","['QuentinTarantino', 'NaturalBornKillers']"
