,Movie Id,Title,Tagword,description,totaltweets,retweetcount,text,hashtags
0,38,"Net, The ","#net,the","Grandma of a type 1 diabetic, Military brat, reference librarian. I back up my rage with facts and documented sources. My opinions are my own.",4985,1,Blimey! I would die as a #diabetic with #NET cancer in the US! Game over British NHS Doctor Reacts to American Medical Bills https://t.co/7LeNqOfSv4 via @YouTube,"['diabetic', 'NET']"
1,38,"Net, The ","#net,the","This is the Martello Tower group, we run repeaters, packet stations and beacons. Twitter account maintained by Keith, @G6NHU KB3WPE (https://t.co/XU3RHViqDI).",382,0,Reminder that our regular Monday night net is happening in fifteen minutes at 20:30 (local time) on the GB3CL 70cms repeater on 433.225 MHz.  For more info please take a look at https://t.co/KTPuAQhIR6 #net #hamradio,"['net', 'hamradio']"
2,38,"Net, The ","#net,the","Unique code, scripts and plugins made by world-class creators.",43,0,"Lets Involve Real Time Chat Session
https://t.co/2XZJjVpEA9

#net
Manual You can view or download the manual in the following link Manual Definition It’s real time chat session titled as “L-Involve”. It’s like to other social network chat interface. It https://t.co/HpQ8Ioxold",['net']
3,38,"Net, The ","#net,the","🤖 I'm a bot… or am I? 🤔 @snap_hr family member, interested in #techJobs 👩‍💻",1761,0,"What's that you say? A fresh start? 🌤️ Check out Billsby , they are looking to add a QA Automation Engineer to the team  #NET #NETCORE #Selenium https://t.co/BXXCWlguZ0","['NET', 'NETCORE', 'Selenium']"
4,38,"Net, The ","#net,the","GI Oncologist@Medical College of Wisconsin, alum of #AIIMS (New Delhi), #NIH and #MayoClinic. Focus- #CRC, #UGI cancers, #BTC.",1548,3,"Are you a patient with advanced neuroendocrine disease? Can you spare 10 mins to answer an anonymous survey about the impact of the COVID-19 pandemic on your daily life, your access to treatment/testing, and your visits to a nurse/specialist. 
https://t.co/fpicqpcx0W 
#NET #INCA https://t.co/ZwpJ550fHV",[]
5,38,"Net, The ","#net,the","🤖 I'm a bot… or am I? 🤔 @snap_hr family member, interested in #techJobs 👩‍💻",1761,0,"I'm just a bot 🤖, but if I were a human 👩💻, I'd take the QA Automation Engineer role that Billsby just published! #NET #NETCORE https://t.co/BXXCWlguZ0","['NET', 'NETCORE']"
6,38,"Net, The ","#net,the",We are a government-owned company which exists to help the NHS get the most from its estate. Contact: customer.service@property.nhs.uk / 0800 085 3015,4603,3,"With over 15 years of experience in energy and environments, Cameron Hawkins, Head of Energy and Environment for @NHSProperty, will be joining #NHE365 on August 25th at our #Net-ZeroNHS virtual event.

🔗 View the agenda, and register now:  https://t.co/xfIZrpAYof https://t.co/tCbVuemgbK",[]
7,38,"Net, The ","#net,the","Helping buildings & communities regenerate by making real estate portfolios more efficient, sustainable and profitable.",2044,0,"This summer, some of the largest #insurance and reinsurance companies in the world launched the #Net-Zero Insurance Alliance, geared towards helping accelerate the global transition to net zero GHG emissions through their risk management practices. 

https://t.co/cwinCkZicO","['insurance', 'Net']"
8,38,"Net, The ","#net,the","University Business is the leading B2B publication in the UK HE sector. Bringing you the latest #highered news via the monthly magazine, website + newsletter.",12987,0,"A survey of university directors of estates indicates planning to achieve #net-zero greenhouse gas emissions has ""barely started"" at a 23% of higher education institutions in the UK. @AUDE_news @burohappold 

https://t.co/9m8RoI9Gnz",['net']
9,38,"Net, The ","#net,the",INCA Research Advocate. PRO’s and PROM’s. NC-UK Ambassador (Lung NETs) & Patient Support Coordinator. Pat Rep for PET-CT Academy at The Christie NHS. Tweets own,2139,3,"Are you a patient with advanced neuroendocrine disease? Can you spare 10 mins to answer an anonymous survey about the impact of the COVID-19 pandemic on your daily life, your access to treatment/testing, and your visits to a nurse/specialist. 
https://t.co/fpicqpcx0W 
#NET #INCA https://t.co/ZwpJ550fHV",[]
10,38,"Net, The ","#net,the","Supporting the #Neuroendocrine Cancer community, including diagnosis, access to best treatment & care - and stimulating #NeuroendocrineCancer research",5602,3,"Are you a patient with advanced neuroendocrine disease? Can you spare 10 mins to answer an anonymous survey about the impact of the COVID-19 pandemic on your daily life, your access to treatment/testing, and your visits to a nurse/specialist. 
https://t.co/fpicqpcx0W 
#NET #INCA https://t.co/ZwpJ550fHV",[]
