,Movie Id,Title,Tagword,description,totaltweets,retweetcount,text,hashtags
0,91,"Nightmare Before Christmas, The ","#nightmarebeforechristmas,the","Player of Games, Savior of Galaxies, Protector of Thedas, Reading Fanatic, Anime Lover, Novice Writer, Ruler Of The World Etc Etc GamerTag: HoodedGem",11388,0,"My Nightmare Before Christmas project so far. Just about done with the inside. A few more tweaks and objects to make. And then, onto the outside. 

#NightmareBeforeChristmas
#MiniLife
#Miniatures
#TimeConsumer https://t.co/t1svdaOfJ6","['NightmareBeforeChristmas', 'MiniLife', 'Miniatures', 'TimeConsumer']"
1,91,"Nightmare Before Christmas, The ","#nightmarebeforechristmas,the","Voice Actor, writer, singer, producer, puppet-obsessed. You've heard me on planes, in commercials, in cartoons, in movies, on TV. Might say I'm /yo͞oˈbikwədəs/",10275,0,"CHRISTOWEEN MONSTER STATS!

MUMMY!

Getting to know the monsters of Christoween!

#monsterpalooza #midsummerscream #seasonsscreamings #gothicchristmas #darkchristmas #elvira #svengoolie #timburton #nightmarebeforechristmas #christoween #chiller

https://t.co/YGjftX1WO3 https://t.co/B1H6ZzQjL5","['monsterpalooza', 'midsummerscream', 'seasonsscreamings', 'gothicchristmas', 'darkchristmas', 'elvira', 'svengoolie', 'timburton', 'nightmarebeforechristmas', 'christoween', 'chiller']"
2,91,"Nightmare Before Christmas, The ","#nightmarebeforechristmas,the","Official Twitter of the Horror Falls blog. #HorrorMovie #reviews, spooky true tales, and #Halloween event reviews! Come get your fright on!",781,0,"While not #horror related, this years #DisneyWorld Wine and Dine 10k medal is still frightfully spectacular! 

I'm excited to be participating in the #NightmareBeforeChristmas themed race! https://t.co/tDYDJgos3r","['horror', 'DisneyWorld', 'NightmareBeforeChristmas']"
3,91,"Nightmare Before Christmas, The ","#nightmarebeforechristmas,the",#FineArtPhotographer #inspiring #homedecor #officedecor with magic of ordinary days! https://t.co/dM1Go4N7sk #Christian #Conservative #AntiWoke,175885,17,"I sold a 7.5"" x 8"" print of We belong together... to a buyer from Oviedo, FL - United States.
So many thanks to the buyer! :-)
Sale link: https://t.co/1oFMQM4zI4
#fineartamerica #nightmarebeforechristmas #homeshopping #canvasprint #giftideas #digitalpainting https://t.co/bXsBtnSJoz",[]
4,91,"Nightmare Before Christmas, The ","#nightmarebeforechristmas,the",#FineArtPhotographer #inspiring #homedecor #officedecor with magic of ordinary days! https://t.co/dM1Go4N7sk #Christian #Conservative #AntiWoke,175885,9,"I sold a 16"" x 20"" print of Mona Lisa to a buyer from Columbia, SC - United States. Many thanks to the buyer!
Sale link: https://t.co/Sr0udE4a2s
#nightmarebeforechristmas #fineartamerica #printsforsale #timburton #digitalart #giftideas https://t.co/FdRfHgZeB1",[]
5,91,"Nightmare Before Christmas, The ","#nightmarebeforechristmas,the","ABSOLUTELY; No racism, Hate speech or Bullying #commissions
🚫suspend💔 #entrepreneur #internationalartist #boxer #President & #CEO of #luckybydesign 🍀 humble",19332,0,"A piece i did for a fellow #artist and wonderful friend @smokeykustoms 

Always a fan of #timburton and the #nightmarebeforechristmas @ Texas https://t.co/3x8xV6h3FF","['artist', 'timburton', 'nightmarebeforechristmas']"
6,91,"Nightmare Before Christmas, The ","#nightmarebeforechristmas,the","Mom, lifelong learner, passionate educator, growth mindset, equity driven, relationships first. Assistant Principal at Round Rock HS. Views are my own.",2327,0,Check out the talent in space 226! This young lady made a masterpiece! #traditions #nightmarebeforechristmas https://t.co/IchvsmKULq,"['traditions', 'nightmarebeforechristmas']"
7,91,"Nightmare Before Christmas, The ","#nightmarebeforechristmas,the",Unbox every Funko Pop! figures we have and show them off up close. We also do Pop Hunt. Check out our YouTube Channel: Pop Stitch,177,0,"Has anyone seen the NEW Nightmare Before Christmas Funko Pop Trains yet? Check out our new video! 🤩

#funko #funkopop #nightmarebeforechristmas #timburtons #disney","['funko', 'funkopop', 'nightmarebeforechristmas', 'timburtons', 'disney']"
8,91,"Nightmare Before Christmas, The ","#nightmarebeforechristmas,the","Hola Soy Arthur Soy Amante De Las Películas De Disney y Marvel , Soy Fan De Los Videojuegos y Fan De Dragón Ball #NoSoyPedofilo #NoSoyOtaku #KrauserArmy",207891,4,"A few more signed copies now available from Dark Delicacies. Grab one while you can! #NightmareBeforeChristmas 
https://t.co/1rS3ESkqR3
@DisneyBooks https://t.co/zKiJzwvoGk",['NightmareBeforeChristmas']
9,91,"Nightmare Before Christmas, The ","#nightmarebeforechristmas,the",When you want to know who or what people look like.,20,0,@spencerpratt + the mayor of #halloweentown = @GarrettMorosky #fboyisland #nightmarebeforechristmas #bitcoinbro https://t.co/4tLjnQi1ku,"['halloweentown', 'fboyisland', 'nightmarebeforechristmas', 'bitcoinbro']"
10,91,"Nightmare Before Christmas, The ","#nightmarebeforechristmas,the",ଘ(੭ ᐛ )━☆ﾟ. *･｡ﾟ🌸 กุกมินไม่เคยเลิกกัน | JK ย่อมาจากจีกุก และจีกุกหมายถึงพี่จีมินเคะเหมือนกันแต่แค่เป็นจีกุก 🐰🐥 | จองกุกน่ารักแต่โพผัว | เมนไอ่ต้าวนมกล้วย 🍌,24129,3105,"it's never to become
for i am not the one
🦇🎃🥀🌙
#nightmarebeforechristmas https://t.co/9yvQyhOdRj",['nightmarebeforechristmas']
11,91,"Nightmare Before Christmas, The ","#nightmarebeforechristmas,the",average cake face ✨ she/her • Business/PR: dominiquemcmillan79@gmail.com,46220,69,"🤍Zero🤍
This took 34 hours &amp; was the hardest &amp; most painful look I’ve ever done😅I know it’s not great but I’m proud of myself for finishing it cause I wanted to give up SO MANY TIMES😭 
IG &amp; Tiktok: GlamByAngelic #zero #tnbc #nightmarebeforechristmas https://t.co/DS2M6oKyd6",[]
12,91,"Nightmare Before Christmas, The ","#nightmarebeforechristmas,the",she/her laurenelizabethhernandez@gmail.com,95141,69,"🤍Zero🤍
This took 34 hours &amp; was the hardest &amp; most painful look I’ve ever done😅I know it’s not great but I’m proud of myself for finishing it cause I wanted to give up SO MANY TIMES😭 
IG &amp; Tiktok: GlamByAngelic #zero #tnbc #nightmarebeforechristmas https://t.co/DS2M6oKyd6",[]
13,91,"Nightmare Before Christmas, The ","#nightmarebeforechristmas,the",Virgo. 23. she/her,47923,69,"🤍Zero🤍
This took 34 hours &amp; was the hardest &amp; most painful look I’ve ever done😅I know it’s not great but I’m proud of myself for finishing it cause I wanted to give up SO MANY TIMES😭 
IG &amp; Tiktok: GlamByAngelic #zero #tnbc #nightmarebeforechristmas https://t.co/DS2M6oKyd6",[]
14,91,"Nightmare Before Christmas, The ","#nightmarebeforechristmas,the",Instagram- luxorana |SATX|,27300,69,"🤍Zero🤍
This took 34 hours &amp; was the hardest &amp; most painful look I’ve ever done😅I know it’s not great but I’m proud of myself for finishing it cause I wanted to give up SO MANY TIMES😭 
IG &amp; Tiktok: GlamByAngelic #zero #tnbc #nightmarebeforechristmas https://t.co/DS2M6oKyd6",[]
15,91,"Nightmare Before Christmas, The ","#nightmarebeforechristmas,the",Trans (MtF) ⚧ ✧ She•Her ✧ Wears Her Heart on her Sleeve & Face ❤️💋 ✧ Once Upon a Cosplayer 🎭✂️ ✧ Part-time Podcast Host 🎧🎙 ✧ Sings Loudly While Driving 🚙🎵,11858,69,"🤍Zero🤍
This took 34 hours &amp; was the hardest &amp; most painful look I’ve ever done😅I know it’s not great but I’m proud of myself for finishing it cause I wanted to give up SO MANY TIMES😭 
IG &amp; Tiktok: GlamByAngelic #zero #tnbc #nightmarebeforechristmas https://t.co/DS2M6oKyd6",[]
