,Movie Id,Title,Tagword,description,totaltweets,retweetcount,text,hashtags
0,54,Outbreak ,#outbreak,"Prof at University of Sydney. Director, The Matilda Centre for Research in Mental Health and Substance Use. (She/Her)",1872,10,"“Our strong recommendation to all #Australians in an #Outbreak setting, is to get either #Vaccine as soon as possible.” 

@Sydney_ID #Researchers have made the case for all eligible Australians to seek a #COVID19 vaccination in light of the infectious Delta variant 🦠 https://t.co/hWckAg2gZp","['Australians', 'Outbreak', 'Vaccine']"
1,54,Outbreak ,#outbreak,Political philosopher & currently Deputy Vice Chancellor (Research) at the University of Sydney. Sydneysider. Montrealais. Habs fan. 🇦🇺 🇨🇦,3786,10,"“Our strong recommendation to all #Australians in an #Outbreak setting, is to get either #Vaccine as soon as possible.” 

@Sydney_ID #Researchers have made the case for all eligible Australians to seek a #COVID19 vaccination in light of the infectious Delta variant 🦠 https://t.co/hWckAg2gZp","['Australians', 'Outbreak', 'Vaccine']"
2,54,Outbreak ,#outbreak,遊山玩水，吃喝玩樂一條龍,303,111,"Is America’s #ecigarette crisis a smokescreen for the #coronavirus  #outbreak ? #Covid_19 
https://t.co/mAaJMLAcJT https://t.co/6nUTbWRMVr","['ecigarette', 'coronavirus', 'outbreak', 'Covid_19']"
3,54,Outbreak ,#outbreak,I’m so fucking grateful for my ex 💞,33851,2,"🚨NEW VIDEO🚨

HUGE Black Ops Cold War Season 5 Zombies Gameplay Revealed | DLC 4 Release Date &amp; 2 More Maps Found? 

WATCH HERE - https://t.co/gSi61WWKJx @YouTube 

#BlackOpsColdWarZombies🧟‍♂️
#BlackOpsColdWarSeason5🔮
#Outbreak🪂 https://t.co/QFuV7J3ePZ",[]
4,54,Outbreak ,#outbreak,"Proud Awabakal/Gaewegal woman 
Single
Studying Laws LLB (Honors) & Global Indigenous studies",319,0,"#Hunter New England Health said the two cases worked at #Masonic Village, #Edgeworth and #Hammond Care, #Waratah, while #infectious, 
Cases in #agedcare centres emerge in growing Hunter #outbreak  as region awaits lockdown update 
https://t.co/wS4ylKdkQQ via @ABCaustralia","['Hunter', 'Masonic', 'Edgeworth', 'Hammond', 'Waratah', 'infectious', 'agedcare', 'outbreak']"
5,54,Outbreak ,#outbreak,"Official Account for Stream Caster
#Streamcaster to re-tweet.",649330,1,"Outbreak, going into the 4th region now #twitchstreaming #Outbreak #ColdWar stop by and follow your boy! https://t.co/Hjjc2Bth2b","['twitchstreaming', 'Outbreak', 'ColdWar']"
6,54,Outbreak ,#outbreak,"Live nightly, Warzone and Sports games mostly but I branch out a lil, stop by and say what's up and don't forget to follow me on twitch! $MINC",178,1,"Outbreak, going into the 4th region now #twitchstreaming #Outbreak #ColdWar stop by and follow your boy! https://t.co/Hjjc2Bth2b","['twitchstreaming', 'Outbreak', 'ColdWar']"
7,54,Outbreak ,#outbreak,"""Life Center"" (Church Without Religion)-South Cal,USA-""Let God LOVE U,1st, live LOVED,while learn 2 LOVE God,self,people""- Pastor-""Global LOVE activist""",25696,10,"“Our strong recommendation to all #Australians in an #Outbreak setting, is to get either #Vaccine as soon as possible.” 

@Sydney_ID #Researchers have made the case for all eligible Australians to seek a #COVID19 vaccination in light of the infectious Delta variant 🦠 https://t.co/hWckAg2gZp","['Australians', 'Outbreak', 'Vaccine']"
8,54,Outbreak ,#outbreak,"news news news and trends

https://t.co/2ScZqTGWgG",836927,10,"“Our strong recommendation to all #Australians in an #Outbreak setting, is to get either #Vaccine as soon as possible.” 

@Sydney_ID #Researchers have made the case for all eligible Australians to seek a #COVID19 vaccination in light of the infectious Delta variant 🦠 https://t.co/hWckAg2gZp","['Australians', 'Outbreak', 'Vaccine']"
9,54,Outbreak ,#outbreak,"Clinical epidemiologist, nephrologist and transplant physician. Interested in making a difference, especially for the underdog. Views my own",2323,10,"“Our strong recommendation to all #Australians in an #Outbreak setting, is to get either #Vaccine as soon as possible.” 

@Sydney_ID #Researchers have made the case for all eligible Australians to seek a #COVID19 vaccination in light of the infectious Delta variant 🦠 https://t.co/hWckAg2gZp","['Australians', 'Outbreak', 'Vaccine']"
