,Movie Id,Title,Tagword,description,totaltweets,retweetcount,text,hashtags
0,55,"Professional, The ","#professional,the",🍎🍎🍎,772,0,"Join Fiverr and discover the fastest way to hire freelancers, for any online project. Thank me later!
https://t.co/aTb4S8l2ly

#Fiverr #Hiring #Freelancerr #Works #professional #Smart","['Fiverr', 'Hiring', 'Freelancerr', 'Works', 'professional', 'Smart']"
1,55,"Professional, The ","#professional,the",#Thriller Autor aus Hamburg. Also a #writer on https://t.co/SnP2KAKFCa https://t.co/AjT03hXXNr,66637,0,Make phone calls like a professional - The absolute basics | Journal - via @pensignal #make #phone #calls #like #a #professional #the #absolute #basics https://t.co/acMGE4Fi4y,"['make', 'phone', 'calls', 'like', 'a', 'professional', 'the', 'absolute', 'basics']"
2,55,"Professional, The ","#professional,the",Urban security guards offers #SIA licensed #security #guard services in #London and the Home Counties.,5775,0,Need #professional #security #services? Hire #the best #security #company #SIA #guards #London #competitive #rates Please call us on 02036178314 or visit https://t.co/luDs40TcYT for details https://t.co/5IbWbGso3F,"['professional', 'security', 'services', 'the', 'security', 'company', 'SIA', 'guards', 'London', 'competitive', 'rates']"
3,55,"Professional, The ","#professional,the",everyone who eats meat is not neat... they are mur-diddly-erdlers,7959,2,"I""m a #professional t-shirt #designer. T-shirt #design name: ""this is the best day ever"" #TheBachelorette #WWERaw #tshirtstyle #Katie #IPCC Greg #ClimateReport #tshirtshop #tshirtslovers #tshirtstore https://t.co/6rJ84TH7sr","['professional', 'designer', 'design', 'TheBachelorette', 'WWERaw']"
4,55,"Professional, The ","#professional,the","DreamsPlus is a partner for Microsoft Silver Learning, EXIN, PROMETRIC and PEARSONVUE with international excellence and consultancy services",1131,0,"Boost your chances of being hired by global companies! 

Get #certified in the latest IT #professional skills and take your #career to the next level. 

Sign up right away at https://t.co/NfkxOeOTK5 for a better future in IT! 

#dreamsplus #PMP #VeriSM #BigData #SAFe https://t.co/HuUWw69wef","['certified', 'professional', 'career', 'dreamsplus', 'PMP', 'VeriSM', 'BigData', 'SAFe']"
5,55,"Professional, The ","#professional,the","Infopreneur. Founder. Startup Advisor
First Choice Advisory - Global Sustainable projects
Sethio - IT Consulting
#Sethi3           https://t.co/IKBtG5CniI",445,0,"Nail your Pitch &amp; Dream Job in 2 minutes or less
#S3 #Sethi3
1. Who are you ?
2. What do you do best?
3. Where/What Value you add to the org.?               
#career #job #work #careercoach #professional #skills #interview #InterviewTips #business 
https://t.co/P7jd2PG1UC https://t.co/eB9WvGCsgk","['S3', 'Sethi3', 'career', 'job', 'work', 'careercoach', 'professional', 'skills', 'interview', 'InterviewTips', 'business']"
6,55,"Professional, The ","#professional,the",,109,1,This is P&amp;I Veg Team for the finest fresh produce &amp; service it has to be P&amp;I Fruits LTD #chefs #Vegetable #restaurant #catering #chefstalk #foodservice #foodie #freshproduce #newcoventgardenmarket #wholesaler #hospitalityindustry #nightworker #simplythebest #professional https://t.co/yNdaEMuL9m,"['chefs', 'Vegetable', 'restaurant']"
7,55,"Professional, The ","#professional,the","It’s not about us. It’s about you. Keeping your business one jump ahead of the competition.
#CIPRExcel Finalist 2019
#PRideAwards Shortlist 2019",4023,0,"We can offer #professional #video, #photography and #animation visuals to boost your #business online and print. 📽️📸

With over 10+ years of #experience working with big brands across the world &amp; UK, we can offer a #bespoke service.

Contact us today! 😀

#filming #videography https://t.co/8MshAiSbVX","['professional', 'video', 'photography', 'animation', 'business', 'experience', 'bespoke', 'filming', 'videography']"
8,55,"Professional, The ","#professional,the","World's #1 IT Training and Certifications Hub, providing training & certification in Project management, Service management, Cloud Technology, and many more.",163,1,"Cloud is the future and the future should be in your hands!
Get certified in Cloud Computing with ZOC Technologies For more info, visit: https://t.co/qsfBeRAvCy
Call / WhatsApp- +91 8655026094

#cloud #CloudComputing #technologies #informationtechnology #INFORMATICA #professional https://t.co/80UknhoUyo","['cloud', 'CloudComputing', 'technologies', 'informationtechnology', 'INFORMATICA', 'professional']"
9,55,"Professional, The ","#professional,the","Supporting the ‘Journal of Outdoor Recreation and Tourism’ published by Elsevier @elsevierbiz
Tweets by @DehezJeoffrey & @MariusMayer7",362,0,"The need for #professional #guides to lead such #challenges is therefore reinforced here as #participants are particularly focused on completing the #challenge successfully, whatever the cost. #critical #discursive #psychology #naturalistic #decision #making #theory","['professional', 'guides', 'challenges', 'participants', 'challenge', 'critical', 'discursive', 'psychology', 'naturalistic', 'decision', 'making', 'theory']"
10,55,"Professional, The ","#professional,the","Amateur E-Sports Organization & LGBTQIA+ Social Gaming Clan that manages teams of all ranks in League of Legends.

Checkout our links: https://t.co/S97N7sth9H",7950,1,"XTEN is a Japanese hand made mouse pad for eSports players. Of course not only professional players but everyone can enjoy the product. We believe it can boost your power!!!

#lol #LeagueOfLegends #League_of_Legends #mousepad #professional #BOOST #eSports https://t.co/lrQpibW9Ty",[]
11,55,"Professional, The ","#professional,the",A complete bespoke furniture fitting service for private and commercial clients. A passion for making quality furniture without compromise.,125,0,"Did you know that we provide our #BespokeFitting services all across the UK? 

If you would like your bespoke furniture dream brought to life, contact us today on hello@juniperbespoke.co.uk for a free quotation.

#BespokeJoinery #BespokeFurniture #MadeToMeasure #Professional https://t.co/bGruNeBs5q","['BespokeFitting', 'BespokeJoinery', 'BespokeFurniture', 'MadeToMeasure', 'Professional']"
12,55,"Professional, The ","#professional,the",https://t.co/Nm8sIn0m4J,24,1,"XTEN is a Japanese hand made mouse pad for eSports players. Of course not only professional players but everyone can enjoy the product. We believe it can boost your power!!!

#lol #LeagueOfLegends #League_of_Legends #mousepad #professional #BOOST #eSports https://t.co/lrQpibW9Ty","['lol', 'LeagueOfLegends', 'League_of_Legends', 'mousepad', 'professional', 'BOOST', 'eSports']"
13,55,"Professional, The ","#professional,the","Advisor on health policy, paramedicine, leadership & communications. Curator of The Paramedic Observer https://t.co/ZhsKxtaH3X Support #FOAM. Opinions mine.",9178,0,"The authors note that the move to degree education  is a giant step in the #evolution of #paramedicine, creating a #healthcare #professional with broad capacity for delivering #addedvalue across the #health system. https://t.co/aTZ5UI943K","['evolution', 'paramedicine', 'healthcare', 'professional', 'addedvalue', 'health']"
14,55,"Professional, The ","#professional,the","Premier Contractors are the leading experts in all aspects of property care with unrivalled experience in prevention, protection and refurbishment.",531,0,"Even 007 needs professional waterproofing to protect his Aston Martin collection!🤣

Check out how we helped the owner of some iconic motor cars!🚗

https://t.co/TI5Jbs9O2x

#astonmartin #waterproofing #professional #propertycare #propertymaintenance","['astonmartin', 'waterproofing', 'professional', 'propertycare', 'propertymaintenance']"
15,55,"Professional, The ","#professional,the",Founder & CEO - Neel SMARTEC Consulting | Consultant - PLM/IIoT| Author,431,0,"Our #PLM #process level #training provides #business level understanding and also effectiveness of the PLM to all levels of the #manufacturing #industry. Know more to elevate your #professional heights.

https://t.co/EcdqVjlG7y
#students #graduates #business #businessprocess https://t.co/nx5v6dpCrz","['PLM', 'process', 'training', 'business', 'manufacturing', 'industry', 'professional', 'students', 'graduates', 'business', 'businessprocess']"
16,55,"Professional, The ","#professional,the","Nicholas Booth writes detective stories about spies, fraudsters and with @howellspace, looking for life on Mars https://t.co/DyxbTh2DcI Agent: @Humfreyhunter",105684,17,"#Professional #Editing &amp; #Writing services #IARTG
10% Discount for members of @IndieAuthorALLI, the organisation for independent authors. Not a member yet? https://t.co/TMwFQmkHsY

For my services, check https://t.co/b34WVkj41Y or email me at caroline@carolinevincent.co.uk. https://t.co/59C1QAP1vU","['Professional', 'Editing', 'Writing', 'IARTG']"
17,55,"Professional, The ","#professional,the","HR Advertisement is a company working since 2012 in the field of Printing , Branding and Marketing",313,0,"Get your brand noticed around the city with customized paper bags to grab the attention of prospective customers.
 📞9827186341
🌐 https://t.co/U07GUptjo8
#paperbags #design #Branding #business #marketing #personalised #printed #customprinting #professional #ecofriendly https://t.co/0im7reMGAe","['paperbags', 'design', 'Branding', 'business', 'marketing', 'personalised', 'printed', 'customprinting', 'professional', 'ecofriendly']"
18,55,"Professional, The ","#professional,the",An Internationally accredited Beauty Therapy Training institution offering international Beauty therapy qualifications and creating a beautiful future,450,0,"It’s the camaraderie for us 💙💜🤍 individually we are a drop, together we are an ocean. Wishing all our senior students all the best as they round up their ITEC exams and prepare to join the professional market. #elite #exams #beautytherapy #professional https://t.co/zKvyFw7sOg","['elite', 'exams', 'beautytherapy', 'professional']"
19,55,"Professional, The ","#professional,the","PROFESSIONAL PHOTOGRAPHER & TEXTURE CREATOR featured in NPhoto, cameraworld, online course with The School of Photography 
https://t.co/G24YLDAi26",2599,0,"Beautiful Tyne bridge in light mist on an early morning stroll around the city of newcastle.
https://t.co/yYdkRriYvv
#ℙ𝕣𝕠𝕗𝕖𝕤𝕤𝕚𝕠𝕟𝕒𝕝 ℙ𝕙𝕠𝕥𝕠𝕘𝕣𝕒𝕡𝕙𝕖𝕣 &amp; 𝕋𝕖𝕩𝕥𝕦𝕣𝕖 ℂ𝕣𝕖𝕒𝕥𝕠𝕣
#landscape #photography #landscapephotography  #apicoftheweek
#appicoftheweek https://t.co/IGtXp0h1vy","['ℙ𝕣𝕠𝕗𝕖𝕤𝕤𝕚𝕠𝕟𝕒𝕝', 'landscape', 'photography', 'landscapephotography', 'apicoftheweek', 'appicoftheweek']"
