,Movie Id,Title,Tagword,description,totaltweets,retweetcount,text,hashtags
0,58,Quiz Show ,#quizshow,D2 dares you to dream and gives you an exclusive platform to channel your hidden talent in a unique community. Unleash your talent and become a STAR on D2.,450,0,"Are you ready for 14th August celebrations on D2❓ 

Khelo Azaadi Special Jeeto Trivia or Jeeto Rs. 68,000 tak cash prize🤑

Download now👉 https://t.co/sVXOv6oLHE

#D2 #JeetoTrivia #Pakistan #entertainment #JeetoTriviaPakistan #QuizShow #LiveGameShow #JeetoPakistan #GameShow https://t.co/cIXurJm7Hi","['D2', 'JeetoTrivia', 'Pakistan', 'entertainment', 'JeetoTriviaPakistan', 'QuizShow', 'LiveGameShow', 'JeetoPakistan', 'GameShow']"
1,58,Quiz Show ,#quizshow,"Welcome to the official #GameofTwElves Twitter Account 🎭 Live Quiz Show, Tune on ZOOM : 12th of the Month ! 🎬 Click: ZOOM - YouTube - Shop - GoFundMe",312,0,"✨Guess The Theme ✨
.
Guess the Theme of the August Live Quiz Show. Comment below! 

Have u been keeping up with the Tokyo Olympics 2020 over the last 2 weeks ? Here is a chance for u to have a try at our Quiz covering the theme! 

#QuizShow #AugustShow #GameofTwElves #Tokyo2020 https://t.co/RcQKNBYBJU","['QuizShow', 'AugustShow', 'GameofTwElves', 'Tokyo2020']"
2,58,Quiz Show ,#quizshow,#Broadway Performer | #VoiceActor in #yugioh #pokemon #runningman #gundam #funimation? | producer of all REM City Radio stuff | #StopAsianHate | give back ☝️,13533,1,"Here we go #yugioh friends!!! New episode of #positiveyugitudes coming Thursday as always. This time…Battle City baby! ;) 

Stay (yugi) tuned! 🔥🔥

#ygo #talkshow #quizshow #PositiveVibes #kaiba #ishizu #battlecity https://t.co/oETmmNDnwS","['yugioh', 'positiveyugitudes']"
3,58,Quiz Show ,#quizshow,content creators | Into The Night Night | Talkin and Quizzin | The Monster in All of Us | Positive Yu-Gi-Tudes | #chillvibes #talkshow #quiz #hereforyou,98,1,"Here we go #yugioh friends!!! New episode of #positiveyugitudes coming Thursday as always. This time…Battle City baby! ;) 

Stay (yugi) tuned! 🔥🔥

#ygo #talkshow #quizshow #PositiveVibes #kaiba #ishizu #battlecity https://t.co/oETmmNDnwS","['yugioh', 'positiveyugitudes', 'ygo', 'talkshow', 'quizshow', 'PositiveVibes', 'kaiba', 'ishizu', 'battlecity']"
4,58,Quiz Show ,#quizshow,D2 dares you to dream and gives you an exclusive platform to channel your hidden talent in a unique community. Unleash your talent and become a STAR on D2.,450,0,"Jeeto Trivia Jashan E Azaadi 🇵🇰 Week Celebrations 📅 Win up to Rs. 60,000🤑 cash prize on #14thaugust2021  09 AUG - 15 AUG✨ 

Start Playing 👉 https://t.co/sVXOv6oLHE

#D2 #JeetoTrivia #Pakistan #entertainment #JeetoTriviaPakistan #QuizShow #LiveGameShow #JeetoPakistan #GameShow https://t.co/F38vljng37","['14thaugust2021', 'D2', 'JeetoTrivia', 'Pakistan', 'entertainment', 'JeetoTriviaPakistan', 'QuizShow', 'LiveGameShow', 'JeetoPakistan', 'GameShow']"
5,58,Quiz Show ,#quizshow,"Pilot, Community Manager for @MSFSofficial #Xbox, Twitch Streamer (https://t.co/ksROx46h7M). Personal account, tweets my own.",515,0,"We are live now at https://t.co/VSHMS5li44 for live trivia (viewers in chat can answer questions and compete for prizes) followed by multiplayer group flights in 
@MSFSofficial! Come for the quiz show, stay for the flying!  #QuizShow #Twitch #TwitchStreamers","['QuizShow', 'Twitch', 'TwitchStreamers']"
6,58,Quiz Show ,#quizshow,"Christian. #Twitch Affiliate Streamer. I play some games, not very well.",80,1,Going live with #Season5 in about 15 minutes time! Be there! #GameNight #NewSeason #GameShow #Quiz #Trivia #QuizShow #MadeWithUnity #Tournament #Numberwang #BuzzOff #Spotlight https://t.co/fywTidHmch,"['Season5', 'GameNight', 'NewSeason', 'GameShow', 'Quiz', 'Trivia', 'QuizShow']"
7,58,Quiz Show ,#quizshow,@Twitch Affiliate | Interactive #Quiz & #GameShows #MadeWithUnity | Tues & Sat 8pm BST | Thurs 3pm BST | https://t.co/iOS0HCudfu | https://t.co/1b85hNXgkS…,1494,1,Going live with #Season5 in about 15 minutes time! Be there! #GameNight #NewSeason #GameShow #Quiz #Trivia #QuizShow #MadeWithUnity #Tournament #Numberwang #BuzzOff #Spotlight https://t.co/fywTidHmch,"['Season5', 'GameNight', 'NewSeason', 'GameShow', 'Quiz', 'Trivia', 'QuizShow', 'MadeWithUnity', 'Tournament', 'Numberwang', 'BuzzOff', 'Spotlight']"
8,58,Quiz Show ,#quizshow,"I am Meesh. Call me whatever you want, but I love hearing Mommy 💙💜💛 🇺🇸🇵🇹",384,0,👏This man is a truly great.  I was rooting for Levar or Katie but it’s hard to win when it looks like it was predetermined at the start.  I also can’t wait to watch movie/show based on this.  Think #QuizShow meets @TheMorningShow  #Jeopardy https://t.co/cQA2oqBlib,"['QuizShow', 'Jeopardy']"
9,58,Quiz Show ,#quizshow,"At Seth Anandram Jaipuria School, Alambagh, we continuously strive towards excellence in all aspects of education by adopting a dynamic curriculum.",366,0,"How many total triangles can you see in this cat❓ 🐈 

We are sure even your little one would get the anwer correct.

Ask your little one and let us know the answer in the comment bellow... 🤩

#Quiztime #quizday #solvethequestion #quiz #funquiz #quizshow #virtualcreativity https://t.co/ajFWuHLRKU","['Quiztime', 'quizday', 'solvethequestion', 'quiz', 'funquiz', 'quizshow', 'virtualcreativity']"
10,58,Quiz Show ,#quizshow,"Hi, I'm Sarabi! I love Yu-Gi-Oh! and Pokémon. I'm a voice acting enthusiast and a dub supporter. Let's chat and have fun!",606,1,"It’s out! Check it out! Get your chill #yugioh love here! 

https://t.co/RPyXGigB1j

#ygo #quizshow #talkshow #weekly #YugiohZexal #Quattro #Shark #positiveyugitudes #PositiveVibes","['yugioh', 'ygo', 'quizshow', 'talkshow', 'weekly']"
11,58,Quiz Show ,#quizshow,"An energetic, dynamic and youth-engaging media platform that is educational, entertaining and inspirational. On Zuku Ch 53, Azam Ch 338 and all signet channels.",35121,0,Team Fenty still at the lead with 1700points! Will Team Kwani ni kesho catch up during this last minutes? Stay tuned to find out! #QuizShow https://t.co/S3HuprmbMx,['QuizShow']
12,58,Quiz Show ,#quizshow,"An energetic, dynamic and youth-engaging media platform that is educational, entertaining and inspirational. On Zuku Ch 53, Azam Ch 338 and all signet channels.",35121,0,It’s getting hot on #QuizShow with @freddiebudaboss Which team do you support?stay locked and see if your team carries the day! https://t.co/RIwllM1y4R,['QuizShow']
13,58,Quiz Show ,#quizshow,,2,1,Which team do you support? Team Fenty or team Kwani ni Kesho? #QuizShow https://t.co/KcjgCsRTpK,['QuizShow']
14,58,Quiz Show ,#quizshow,"An energetic, dynamic and youth-engaging media platform that is educational, entertaining and inspirational. On Zuku Ch 53, Azam Ch 338 and all signet channels.",35121,1,Which team do you support? Team Fenty or team Kwani ni Kesho? #QuizShow https://t.co/KcjgCsRTpK,['QuizShow']
