,Movie Id,Title,Tagword,description,totaltweets,retweetcount,text,hashtags
0,174,Raiders of the Lost Ark ,#raidersofthelostark,Movie reviews... sometimes they're better late than never.,1525,1,"This 1973 classic that I picked up in Norfolk last year has become background reading for my next @alatereviewer ""guest starring"" submission. Looks ace, can't wait.

#YakimaCanutt
#ZorrosFightingLegion #Stagecoach #JamesBond #RaidersOfTheLostArk #HollywoodsGreatestYear https://t.co/er8Gf5yiNF",[]
1,174,Raiders of the Lost Ark ,#raidersofthelostark,"Writer: #Ringtone, The Drowning Airman, War Walks With Wildgoose and others. Planner: Novel no.6. Runner-up: #WriteCBC. Tweeter: #TheMovies.",45594,1,"This 1973 classic that I picked up in Norfolk last year has become background reading for my next @alatereviewer ""guest starring"" submission. Looks ace, can't wait.

#YakimaCanutt
#ZorrosFightingLegion #Stagecoach #JamesBond #RaidersOfTheLostArk #HollywoodsGreatestYear https://t.co/er8Gf5yiNF","['YakimaCanutt', 'ZorrosFightingLegion', 'Stagecoach', 'JamesBond', 'RaidersOfTheLostArk', 'HollywoodsGreatestYear']"
2,174,Raiders of the Lost Ark ,#raidersofthelostark,"Founder, GreenHouse::Innovation;
Author, I Have a Strategy (No You Don't);
Co-Founder, Insight Labs
https://t.co/13udTlhrbq",5496,0,"Somebody in northwest Chicago has just opened the Ark of the Covenant...

#RaidersoftheLostArk 
#FilmTwitter 
#Cinema 
#LookUp
@BenMank77
@AdlerPlanet https://t.co/Qvzsrw1hIS","['RaidersoftheLostArk', 'FilmTwitter', 'Cinema', 'LookUp']"
3,174,Raiders of the Lost Ark ,#raidersofthelostark,Hello we're Pink⚧ & Susan & have been together for many years :) we both are UK European. We like to watch Films listen RADIO we feed wild birds. 🏴☠️🇪🇺,132820,0,@EatKnuckleFritz Sir the one you say what if indeed. They did make something similar with twin prop engines fetured in #RaidersOfTheLostArk 😁😁 Sir apologies for not supplying a pic _/\__|__/\_  ⬅️ Airplane in ROTLA 🙂🙂,['RaidersOfTheLostArk']
4,174,Raiders of the Lost Ark ,#raidersofthelostark,Nerdy / geeky / sarcastic / lɘft handɘd / probably taller than you!,3011,0,"And so it begins ...again.  Watching, in my opinion, the definitive #JeremyBrett version of #SherlockHolmes with @joseph_lidster  

1x01 A Scandal In Bohemia

More disguises than Hannibal from The A-Team;
Lofty from #EastEnders; and
Herman Dietrich from #RaidersOfTheLostArk https://t.co/p5p9ya06wp","['JeremyBrett', 'SherlockHolmes', 'EastEnders', 'RaidersOfTheLostArk']"
5,174,Raiders of the Lost Ark ,#raidersofthelostark,"Retired movie/TV FX guy, old-ass gamer and Master of the Mystic Farts. The stuff you do in one day I do in 24 hours. Guaranteed.",2867,3,"Another great #BTS shot with Harrison Ford and Steven Spielberg filming the marketplace stunts for Raiders Of The Lost Ark (1981). 

#HarrisonFord #StevenSpielberg #IndianaJones #RaidersOfTheLostArk https://t.co/d8gzfagTd0",['BTS']
6,174,Raiders of the Lost Ark ,#raidersofthelostark,"A veces doy señales de vida. Tengo otra cuenta, es @FansDeHarrison 😎 Si me sigues es o porque eres fan del señor Ford o porque me soportas, gracias. 🥺❤️",7860,3,"Another great #BTS shot with Harrison Ford and Steven Spielberg filming the marketplace stunts for Raiders Of The Lost Ark (1981). 

#HarrisonFord #StevenSpielberg #IndianaJones #RaidersOfTheLostArk https://t.co/d8gzfagTd0",['BTS']
7,174,Raiders of the Lost Ark ,#raidersofthelostark,"Lover of all things Indiana Jones, Han Solo & Harrison Ford;
Dogs and Wookiees are the best people; #HarrisonFordRetro; #IndianaJones40; #HarrisonFordTrivia",33025,3,"Another great #BTS shot with Harrison Ford and Steven Spielberg filming the marketplace stunts for Raiders Of The Lost Ark (1981). 

#HarrisonFord #StevenSpielberg #IndianaJones #RaidersOfTheLostArk https://t.co/d8gzfagTd0",['BTS']
8,174,Raiders of the Lost Ark ,#raidersofthelostark,"Landscape photographer, love classic rock music cats, Cape Cod and my spouse.",321351,10,"A return to my ""Spielberg Corner"". My ""Nightmare Edition Battle Bruce Bust"" was made for me by @SharkCityOzark. My #RaidersoftheLostArk one-sheet was given to me out of a theatre marquee in 1981. Not sure how it survived until I framed it not long ago...  
#JAWS @thebeardedtrio https://t.co/Kac4Ag6KvF",[]
9,174,Raiders of the Lost Ark ,#raidersofthelostark,We sell props and costumes from the world's greatest movies and television series. Happy bidding!,10278,3,"Another great #BTS shot with Harrison Ford and Steven Spielberg filming the marketplace stunts for Raiders Of The Lost Ark (1981). 

#HarrisonFord #StevenSpielberg #IndianaJones #RaidersOfTheLostArk https://t.co/d8gzfagTd0","['BTS', 'HarrisonFord', 'StevenSpielberg', 'IndianaJones', 'RaidersOfTheLostArk']"
10,174,Raiders of the Lost Ark ,#raidersofthelostark,"Unofficial Blog about latest news, rumors, videos, images, promos, etc ... about the most famous Archaeologist in the history of Cinema.",7600,2,More #RaidersOfTheLostArk revelations from Dr. David West Reynolds https://t.co/y20lYrEuoi,['RaidersOfTheLostArk']
11,174,Raiders of the Lost Ark ,#raidersofthelostark,"Fan account run by Chelsea Moss | Dedicated to the memory of Ronald Lacey 28/9/35 - 15/5/1991🕯️❤️

Instagram
ronaldalaceyfans",95171,2,More #RaidersOfTheLostArk revelations from Dr. David West Reynolds https://t.co/y20lYrEuoi,['RaidersOfTheLostArk']
12,174,Raiders of the Lost Ark ,#raidersofthelostark,The Official Twitter of https://t.co/XS3m0gSlMH the Indiana Jones Equipment Resource site. Visit us on https://t.co/lruAwMtPZB https:/Instagram.com/IndyGear,1216,2,More #RaidersOfTheLostArk revelations from Dr. David West Reynolds https://t.co/y20lYrEuoi,['RaidersOfTheLostArk']
13,174,Raiders of the Lost Ark ,#raidersofthelostark,,5339,0,"Watched #RaidersoftheLostArk this weekend. The sword scene? Yeah, still funny! 😅 https://t.co/vfROsYic3g",['RaidersoftheLostArk']
14,174,Raiders of the Lost Ark ,#raidersofthelostark,,220205,5,"Indiana Jones (2021)
.
Illustration, portrait of #Indy
.
#Illustration #Design #fineart #art #artist #Painting #StevenSpielberg #Portrait #drawing #artwork #IndianaJones #movie #print #RaidersoftheLostArk #चित्र #Illustrator #portrait #संगीत #अभिनेता #film @BogrisNikos #Poster https://t.co/EMCkDQcy1K","['Indy', 'Illustration', 'Design', 'fineart', 'art', 'artist', 'Painting']"
15,174,Raiders of the Lost Ark ,#raidersofthelostark,"Red-Headed-half-witted-scruffy-looking-nerf-herder. Film, TV, music & art lover. Award-winning Bojangles Dancer, Christ follower & life-embracer. Thoughts=mine",9070,0,Any chance to watch this film 🎥 … the answer is always yes! #raidersofthelostark @CinemaBlend https://t.co/7WG516udTa,['raidersofthelostark']
16,174,Raiders of the Lost Ark ,#raidersofthelostark,"Senior Content Producer @CinemaBlend | Previously @BamSmackPow | @merrillcollege Alum | Lover of Film, TV, Comic Books, Sports and Pizza... but mostly Pizza.",11879,4,Save the date! We're celebrating the 40th anniversary of #RaidersoftheLostArk with a watch party. #cinemablendmovieclub https://t.co/AklyZoyHeI,"['RaidersoftheLostArk', 'cinemablendmovieclub']"
17,174,Raiders of the Lost Ark ,#raidersofthelostark,He/his/him #BlackLivesMatter #AsainLivesMatter (#StopAsianHate #StopAAPIHate) #TransLivesMatter #BidenHarris2020,278270,4,Save the date! We're celebrating the 40th anniversary of #RaidersoftheLostArk with a watch party. #cinemablendmovieclub https://t.co/AklyZoyHeI,"['RaidersoftheLostArk', 'cinemablendmovieclub']"
18,174,Raiders of the Lost Ark ,#raidersofthelostark,@CinemaBlend Events Editor & Movie Reviews Manager/Senior Film Critic. @HCACritics Member. Film and comics obsessive; Constant Reader.,6430,4,Save the date! We're celebrating the 40th anniversary of #RaidersoftheLostArk with a watch party. #cinemablendmovieclub https://t.co/AklyZoyHeI,"['RaidersoftheLostArk', 'cinemablendmovieclub']"
19,174,Raiders of the Lost Ark ,#raidersofthelostark,📺📽🎮Movie/Series/Games Reviewer- مراجع افلام و مسلسلات و العاب 🎥يوتيوبر /Youtuber⬇️,2477,4,Save the date! We're celebrating the 40th anniversary of #RaidersoftheLostArk with a watch party. #cinemablendmovieclub https://t.co/AklyZoyHeI,"['RaidersoftheLostArk', 'cinemablendmovieclub']"
20,174,Raiders of the Lost Ark ,#raidersofthelostark,The definitive choice for everything entertainment.,107428,4,Save the date! We're celebrating the 40th anniversary of #RaidersoftheLostArk with a watch party. #cinemablendmovieclub https://t.co/AklyZoyHeI,"['RaidersoftheLostArk', 'cinemablendmovieclub']"
