,Movie Id,Title,Tagword,description,totaltweets,retweetcount,text,hashtags
0,85,"Ref, The ","#ref,the",,17282,0,"#ref 

Babyboomers, the generation that keeps on taking",['ref']
1,85,"Ref, The ","#ref,the","Working as a Marketing Manager at Packt publication. Ask me about Tech books 📚 nature lover, marketing tips and techniques,tech community partnerships.",259,26,Got the new Blazor book by @MissToi! Oh and I wrote the foreword! Pick it up and learn this great web framework for C# from a pro! #ref https://t.co/CwfdsOKNe2 https://t.co/9w5fj36q81,[]
2,85,"Ref, The ","#ref,the",Marketing coördinator @packtpub   founder of @rajwadishan . managing social media marketing of RajwadiShan. #digitalmarketing is my core interest,82,26,Got the new Blazor book by @MissToi! Oh and I wrote the foreword! Pick it up and learn this great web framework for C# from a pro! #ref https://t.co/CwfdsOKNe2 https://t.co/9w5fj36q81,[]
3,85,"Ref, The ","#ref,the","Enabling organisations develop an effective strategy which creates research, teaching and knowledge exchange programmes with impactful outcomes",612,0,UNDER THE SKIN: The Hidden REF celebrates the whole research ecosystem https://t.co/rTAHnm1Yca via @wonkhe #research #impact #researchimpact #REF #HiddenREF,"['research', 'impact', 'researchimpact', 'REF', 'HiddenREF']"
4,85,"Ref, The ","#ref,the","Technology eXperts, LLC is available for consulting and advice. Training and guidance also available. Contact for more details.",9331,26,Got the new Blazor book by @MissToi! Oh and I wrote the foreword! Pick it up and learn this great web framework for C# from a pro! #ref https://t.co/CwfdsOKNe2 https://t.co/9w5fj36q81,[]
5,85,"Ref, The ","#ref,the",Abstract artist and concrete analyst interested in full-contact origami. Product at @OctopusDeploy. Proud husband of RN/NP/MD wife. He/Him. #BlackLivesMatter,29053,26,Got the new Blazor book by @MissToi! Oh and I wrote the foreword! Pick it up and learn this great web framework for C# from a pro! #ref https://t.co/CwfdsOKNe2 https://t.co/9w5fj36q81,[]
6,85,"Ref, The ","#ref,the",,14951,26,Got the new Blazor book by @MissToi! Oh and I wrote the foreword! Pick it up and learn this great web framework for C# from a pro! #ref https://t.co/CwfdsOKNe2 https://t.co/9w5fj36q81,[]
7,85,"Ref, The ","#ref,the",,2297,26,Got the new Blazor book by @MissToi! Oh and I wrote the foreword! Pick it up and learn this great web framework for C# from a pro! #ref https://t.co/CwfdsOKNe2 https://t.co/9w5fj36q81,[]
8,85,"Ref, The ","#ref,the","🇩🇪🇩🇪🇩🇪
C#/.Net Developement Engineer. Views are my own. Retweets ≠ Endorsements. ❤️ @DFB_Team @FCBayern @Lakers ❤️. 100% @adidas fan… #GER
🇩🇪🇩🇪🇩🇪",26422,26,Got the new Blazor book by @MissToi! Oh and I wrote the foreword! Pick it up and learn this great web framework for C# from a pro! #ref https://t.co/CwfdsOKNe2 https://t.co/9w5fj36q81,[]
9,85,"Ref, The ","#ref,the",,9405,26,Got the new Blazor book by @MissToi! Oh and I wrote the foreword! Pick it up and learn this great web framework for C# from a pro! #ref https://t.co/CwfdsOKNe2 https://t.co/9w5fj36q81,[]
10,85,"Ref, The ","#ref,the","Master of Sciences in Computer Sciences, 
Solutions Architect and Consultant,
Dedicated Researcher and Occasional Gamer",804,26,Got the new Blazor book by @MissToi! Oh and I wrote the foreword! Pick it up and learn this great web framework for C# from a pro! #ref https://t.co/CwfdsOKNe2 https://t.co/9w5fj36q81,[]
11,85,"Ref, The ","#ref,the","Airline pilot flying the plastic fantastic B787 around the world. Also a freelance .Net/Xamarin/IoT dev, tech enthusiast and father/Husband views are my own.",11340,26,Got the new Blazor book by @MissToi! Oh and I wrote the foreword! Pick it up and learn this great web framework for C# from a pro! #ref https://t.co/CwfdsOKNe2 https://t.co/9w5fj36q81,[]
12,85,"Ref, The ","#ref,the","Co-Founder & CEO of @WeSabio. 
100% Committed to our Fellows' Success",124426,26,Got the new Blazor book by @MissToi! Oh and I wrote the foreword! Pick it up and learn this great web framework for C# from a pro! #ref https://t.co/CwfdsOKNe2 https://t.co/9w5fj36q81,[]
13,85,"Ref, The ","#ref,the",,987,26,Got the new Blazor book by @MissToi! Oh and I wrote the foreword! Pick it up and learn this great web framework for C# from a pro! #ref https://t.co/CwfdsOKNe2 https://t.co/9w5fj36q81,[]
14,85,"Ref, The ","#ref,the",It does not do to dwell on dreams and forget to live,77127,26,Got the new Blazor book by @MissToi! Oh and I wrote the foreword! Pick it up and learn this great web framework for C# from a pro! #ref https://t.co/CwfdsOKNe2 https://t.co/9w5fj36q81,[]
15,85,"Ref, The ","#ref,the",,77,26,Got the new Blazor book by @MissToi! Oh and I wrote the foreword! Pick it up and learn this great web framework for C# from a pro! #ref https://t.co/CwfdsOKNe2 https://t.co/9w5fj36q81,[]
16,85,"Ref, The ","#ref,the","youth does not equal immortality. Tweets under this account are not mine. sorry, I can’t hear you over my internal monologue💜🤎🖤",11155,26,Got the new Blazor book by @MissToi! Oh and I wrote the foreword! Pick it up and learn this great web framework for C# from a pro! #ref https://t.co/CwfdsOKNe2 https://t.co/9w5fj36q81,[]
17,85,"Ref, The ","#ref,the",Full stack web developer on .net technologies with Blazor.,498,26,Got the new Blazor book by @MissToi! Oh and I wrote the foreword! Pick it up and learn this great web framework for C# from a pro! #ref https://t.co/CwfdsOKNe2 https://t.co/9w5fj36q81,[]
18,85,"Ref, The ","#ref,the",Develop Software using Microsoft Technologies.,60122,26,Got the new Blazor book by @MissToi! Oh and I wrote the foreword! Pick it up and learn this great web framework for C# from a pro! #ref https://t.co/CwfdsOKNe2 https://t.co/9w5fj36q81,[]
19,85,"Ref, The ","#ref,the",... .-- . -. --. .. -. . . .-.,6813,26,Got the new Blazor book by @MissToi! Oh and I wrote the foreword! Pick it up and learn this great web framework for C# from a pro! #ref https://t.co/CwfdsOKNe2 https://t.co/9w5fj36q81,[]
20,85,"Ref, The ","#ref,the",Wild programmer. Independent developer. The creator of DBoxSystem. balabalabalabala,1139,26,Got the new Blazor book by @MissToi! Oh and I wrote the foreword! Pick it up and learn this great web framework for C# from a pro! #ref https://t.co/CwfdsOKNe2 https://t.co/9w5fj36q81,[]
21,85,"Ref, The ","#ref,the",,11065,26,Got the new Blazor book by @MissToi! Oh and I wrote the foreword! Pick it up and learn this great web framework for C# from a pro! #ref https://t.co/CwfdsOKNe2 https://t.co/9w5fj36q81,[]
22,85,"Ref, The ","#ref,the","Husband to @youniquebelle, Father, Brother, Son and Developer that's a total technology geek and enjoying life to the best of my ability. My tweets are my own.",2769,26,Got the new Blazor book by @MissToi! Oh and I wrote the foreword! Pick it up and learn this great web framework for C# from a pro! #ref https://t.co/CwfdsOKNe2 https://t.co/9w5fj36q81,[]
23,85,"Ref, The ","#ref,the","PM Architect on .NET at Microsoft
💘 craft🍻, malt🥃, good☕, fine⌚, @VANS_66👟, 🇦🇺🏏, @seahawks 🏈, @F1 🏎
📺 https://t.co/WWMLL5GCKL
#BLM #GetVaccinate",43216,26,Got the new Blazor book by @MissToi! Oh and I wrote the foreword! Pick it up and learn this great web framework for C# from a pro! #ref https://t.co/CwfdsOKNe2 https://t.co/9w5fj36q81,[]
24,85,"Ref, The ","#ref,the",dev/dreamer/dyslexic/aspiring entrepreneur/ev enthusiast/doesn't-see-things-like-everyone/unconventional.,41201,26,Got the new Blazor book by @MissToi! Oh and I wrote the foreword! Pick it up and learn this great web framework for C# from a pro! #ref https://t.co/CwfdsOKNe2 https://t.co/9w5fj36q81,[]
25,85,"Ref, The ","#ref,the",the answer is 42,3324,26,Got the new Blazor book by @MissToi! Oh and I wrote the foreword! Pick it up and learn this great web framework for C# from a pro! #ref https://t.co/CwfdsOKNe2 https://t.co/9w5fj36q81,[]
