,Movie Id,Title,Tagword,description,totaltweets,retweetcount,text,hashtags
0,181,Return of the Jedi ,#returnofthejedi,"News, reviews, interviews, events coverage, podcasts, videos - we cover it all, 24/7, 365.",25273,0,"One from the archive - #bobafett screen used foam stunt jet pack that Dickey beer wore when diving into the sarlac pit owned by @toysrgus #starwarsprops #returnofthejedi #bobafett #mybackpacksgotjets
https://t.co/ybya4wsLAx https://t.co/pTCIGeYTAt","['bobafett', 'starwarsprops', 'returnofthejedi', 'bobafett', 'mybackpacksgotjets']"
1,181,Return of the Jedi ,#returnofthejedi,Fan of the #Raiders #Athletics and #SacKings. I like eating and sports.,2318,0,Jed Lowrie 3 run bomb!! #returnofthejedi #letsgooakland #RideTheWave #RiseAndGrind,"['returnofthejedi', 'letsgooakland', 'RideTheWave', 'RiseAndGrind']"
2,181,Return of the Jedi ,#returnofthejedi,,4144,0,"these two 💛
#starwars
#returnofthejedi
#markhamill
#carriefisher

@HamillHimself 💜💜 https://t.co/YfNdSh8bq6","['starwars', 'returnofthejedi', 'markhamill', 'carriefisher']"
3,181,Return of the Jedi ,#returnofthejedi,Freelance PR Consultant at https://t.co/REBN7ccPBf / Editor of https://t.co/XWuiG4e218,3257,0,"@SeaAndBeScene To be technical, that scene from #ReturnoftheJedi has been retconned (see photo). Maybe delta plans can be retconned too. https://t.co/B7C7j7xVp0",['ReturnoftheJedi']
4,181,Return of the Jedi ,#returnofthejedi,My Crisis: https://t.co/hzvtJVnFK7,2207,0,Happy Birthday Ian McDiarmid #StarWars #Palpatine #ReturnoftheJedi #RevengeoftheSith https://t.co/IS6fx2h38i,"['StarWars', 'Palpatine', 'ReturnoftheJedi', 'RevengeoftheSith']"
5,181,Return of the Jedi ,#returnofthejedi,"Bringing you all gaming love. 
Hmm with some movies and other pop culture things in there to boot!",75988,1,"#PrincessLeia figure (just opened) 2004 Original Trilogy Collection: #ReturnOfTheJedi [1983].
♎🌈🌆
#QueerGeeks
Facebook: ScottsRecordBin
RateYourMusic: scottsupreme
👾
#Gamer #RetroGamer #RetroGaming #Gaming
🎥
#CarrieFisher #StarWars #ActionFigures #Leia https://t.co/GGJVbH5Whx","['PrincessLeia', 'ReturnOfTheJedi', 'QueerGeeks']"
6,181,Return of the Jedi ,#returnofthejedi,"Love #TheSupremes (70s), #Disco & 90s #Eurodance.
Fan of #StarWars + #TheCloneWars + 🚔 #LivePD
Older #TrueCrime/#DeanCorll
#RetroGamer +StarWars #ActionFigures",3405,1,"#PrincessLeia figure (just opened) 2004 Original Trilogy Collection: #ReturnOfTheJedi [1983].
♎🌈🌆
#QueerGeeks
Facebook: ScottsRecordBin
RateYourMusic: scottsupreme
👾
#Gamer #RetroGamer #RetroGaming #Gaming
🎥
#CarrieFisher #StarWars #ActionFigures #Leia https://t.co/GGJVbH5Whx","['PrincessLeia', 'ReturnOfTheJedi', 'QueerGeeks', 'Gamer', 'RetroGamer', 'RetroGaming', 'Gaming', 'CarrieFisher', 'StarWars', 'ActionFigures', 'Leia']"
7,181,Return of the Jedi ,#returnofthejedi,A podcast dedicated to The Mandalorian and all things Star Wars! Hosted by Tom.,476,0,"Happy Birthday to our favorite galactic Senate, Ian McDiarmid!!! Have a great night at the opera! #starwars #starwarsbirthday #theemperor #emperorpalpatine #palpatine #returnofthejedi #podcast #starwarspodcast https://t.co/YL06J2C393","['starwars', 'starwarsbirthday', 'theemperor', 'emperorpalpatine', 'palpatine', 'returnofthejedi', 'podcast', 'starwarspodcast']"
8,181,Return of the Jedi ,#returnofthejedi,Born to boogie!,4747,0,#leiaasjabbasprisoner by @alecsarkas from #starwars #returnofthejedi https://t.co/81juXTtf6s,"['leiaasjabbasprisoner', 'starwars', 'returnofthejedi']"
9,181,Return of the Jedi ,#returnofthejedi,"collector and online retailer of non-sport trading cards - buy, sell, trade - see our archive of non-sports trading cards from the early 1990's to today",21674,2,Topps: #220 Checklist: 133-220 #starwars #vintage #vintagestarwars #returnofthejedi #topps #tradingcards #checklist https://t.co/7gSHJuxoAC,"['starwars', 'vintage', 'vintagestarwars', 'returnofthejedi', 'topps', 'tradingcards', 'checklist']"
10,181,Return of the Jedi ,#returnofthejedi,"© #unaimagenfor PHOTOGRAPHY : Night·Music·Social·Portrait·Fashion·Lifestyle •  
https://t.co/kmGgbxFM3Q",90124,3,"Sculpted and signed by Salacious Crumb creator and #TheMandalorian concept sculptor Tony McVey!
#StarWars #ReturnOfTheJedi https://t.co/LoOnpmvAEh","['TheMandalorian', 'StarWars', 'ReturnOfTheJedi']"
11,181,Return of the Jedi ,#returnofthejedi,"The Sci-Fi & Fantasy Fans Society is a celebration of all things science fiction & fantasy, from books, movies, TV shows, video games, comic books, etc.",4270,0,"Happy Birthday Ian McDiarmid, who played Chancellor / Emperor Palpatine (Darth Sidious) in “#StarWars V: #TheEmpireStrikesBack” (reimagined version), “Star Wars VI: #ReturnOfTheJedi”, “Star Wars I: #ThePhantomMenace”, “Star Wars II: #AttackOfTheClones”, “Star Wars III: #Reve… https://t.co/zkHW9Wym6P","['StarWars', 'TheEmpireStrikesBack', 'ReturnOfTheJedi', 'ThePhantomMenace', 'AttackOfTheClones', 'Reve']"
12,181,Return of the Jedi ,#returnofthejedi,"Hello there! I focus on Star Wars Cards, Collecting & Community! Link below for the podcast. Also on IG & Facebook @rebelbasecard - Cornfedtech in SWCT - he/him",9898,0,88 cards for #returnofthejedi @topps Series 2 including this lovely card ❤️ https://t.co/6RTzIHBDba,['returnofthejedi']
13,181,Return of the Jedi ,#returnofthejedi,"Hi! Im a BIG goofball. I love to be silly, and troll. I also love Star Wars, Batman, and JFK.",1638,0,"Luke Skywalker cosplay photoshoot sneak peek 
#StarWars #lukeskywalker #TheMandalorian #returnofthejedi https://t.co/5GBMSZC7fZ","['StarWars', 'lukeskywalker', 'TheMandalorian', 'returnofthejedi']"
14,181,Return of the Jedi ,#returnofthejedi,"Retweeting Everything Card related!

Use Hashtags #topps #tradingcards

Check out my YouTube Channel
https://t.co/yBGtkAlNSL

#RobTheVlog",144417,2,Topps: #220 Checklist: 133-220 #starwars #vintage #vintagestarwars #returnofthejedi #topps #tradingcards #checklist https://t.co/7gSHJuxoAC,"['starwars', 'vintage', 'vintagestarwars', 'returnofthejedi', 'topps', 'tradingcards', 'checklist']"
15,181,Return of the Jedi ,#returnofthejedi,"Cosplay handler, gay, Star Wars geek.",5446,2,Topps: #220 Checklist: 133-220 #starwars #vintage #vintagestarwars #returnofthejedi #topps #tradingcards #checklist https://t.co/7gSHJuxoAC,"['starwars', 'vintage', 'vintagestarwars', 'returnofthejedi', 'topps', 'tradingcards', 'checklist']"
16,181,Return of the Jedi ,#returnofthejedi,"My place and yours, should you choose, for all things Star Wars. Here you will find news, pictures and my thoughts on the Galaxy far away.Please Like my FB Page",3313,0,"Happy Birthday Ian McDiarmid aka Chancellor Palpatine/Darth Sidious
Born 11th August 1944.
#StarWarsBirthday #IanMcDiarmid #Palpatine #DarthSidious #StarWars #TheEmpireStrikesBack #ReturnOfTheJedi #ThePhantomMenace #AttackOfTheClones #RevengeOfTheSith
https://t.co/qSrTnPwiDa https://t.co/JLyOgE4bJq","['StarWarsBirthday', 'IanMcDiarmid', 'Palpatine', 'DarthSidious', 'StarWars', 'TheEmpireStrikesBack', 'ReturnOfTheJedi', 'ThePhantomMenace', 'AttackOfTheClones', 'RevengeOfTheSith']"
17,181,Return of the Jedi ,#returnofthejedi,"•26 •Writer •He/Him  •Instagram: @its_not_uncle_jesse

•Spotify:
https://t.co/i3kD4FQNcF",27345,3,"Sculpted and signed by Salacious Crumb creator and #TheMandalorian concept sculptor Tony McVey!
#StarWars #ReturnOfTheJedi https://t.co/LoOnpmvAEh","['TheMandalorian', 'StarWars', 'ReturnOfTheJedi']"
18,181,Return of the Jedi ,#returnofthejedi,https://t.co/oYCKxCIMF4…,72916,0,"There's a shot in the #StarWars . I always wanted to see since #ReturnoftheJedi . It's exactly this shot, filled with people of the New Republic and Luke, Han, and Leia walking together in the new world they built.

I've had that image in my head for years.
#RiseofFinn https://t.co/Uf5imY4ia0","['StarWars', 'ReturnoftheJedi', 'RiseofFinn']"
19,181,Return of the Jedi ,#returnofthejedi,"Smile, Simplify, Share, Say Please & Thank you, Love, Live, Listen, Learn, Laugh, Help, Adapt :) Do not mistake my patience for gullibility.",232837,3,"Sculpted and signed by Salacious Crumb creator and #TheMandalorian concept sculptor Tony McVey!
#StarWars #ReturnOfTheJedi https://t.co/LoOnpmvAEh","['TheMandalorian', 'StarWars', 'ReturnOfTheJedi']"
20,181,Return of the Jedi ,#returnofthejedi,"Lucasfilm creative art manager & author of @ABRAMSbooks' The Art of The Force Awakens, The Last Jedi, Solo: A SW Story, The Rise of Skywalker & The Mandalorian.",18570,3,"Sculpted and signed by Salacious Crumb creator and #TheMandalorian concept sculptor Tony McVey!
#StarWars #ReturnOfTheJedi https://t.co/LoOnpmvAEh","['TheMandalorian', 'StarWars', 'ReturnOfTheJedi']"
21,181,Return of the Jedi ,#returnofthejedi,Purfessional speller. Pro-Earth. Editor of https://t.co/4qH7b1HobL ! Political junkie. Competent wiseass. Prefers pie. Rarely sarcastic. Rarely. 🚀👽🖖👹🌎🇺🇸,46034,0,"https://t.co/1CHpu3Yzyn celebrates Peter Diamond's birthday! https://t.co/yIggykP7Cb #SciFi #Fantasy #Syfy #StarWars #TheEmpireStrikesBack #ReturnOfTheJedi #DoctorWho #TheInvisibleMan #Highlander #TuskenRaider 

#PleaseRetweet https://t.co/nJJFP82eHG","['SciFi', 'Fantasy', 'Syfy', 'StarWars', 'TheEmpireStrikesBack', 'ReturnOfTheJedi', 'DoctorWho', 'TheInvisibleMan', 'Highlander', 'TuskenRaider', 'PleaseRetweet']"
22,181,Return of the Jedi ,#returnofthejedi,A gentleman of many fandoms:  #StarWars #DC #Wrestling #HorrorMovies #Boxing #MMA #Dracula #Batman #MOTU #Transformers #ActionFigures .. And many peculiarities.,3690,0,#NationalBookLoversDay was yesterday but I just wanted to salute 3 childhood favourites. The #LadybirdBooks #Dracula and #Frankenstein formed my interest in #Horror and #HorrorMovies and were lovingly re-read by a young Shambles.  That #StarWars #ReturnOfTheJedi photo book❤️ 🥰❤️ https://t.co/COYoKwoVNl,"['NationalBookLoversDay', 'LadybirdBooks', 'Dracula', 'Frankenstein', 'Horror', 'HorrorMovies', 'StarWars', 'ReturnOfTheJedi']"
