,Movie Id,Title,Tagword,description,totaltweets,retweetcount,text,hashtags
0,10,Richard III ,#richardiii,"Late classical early romantic composer Franz Schubert

helch",177,2,"I'm looking for physically disabled actors in London who wouldn't mind speaking on camera for a university video project about Richard III. Details below. If you'd be up for it, please send me a DM or respond to this tweet.

#callout #disabledactors #richardiii #londonactors https://t.co/IWsxfXqQAN",[]
1,10,Richard III ,#richardiii,"Grumpy, fat, short bloke • Acts when requested, sings if required, dances with rejection • @CSSDLondon / @UniofExeter",14414,2,"I'm looking for physically disabled actors in London who wouldn't mind speaking on camera for a university video project about Richard III. Details below. If you'd be up for it, please send me a DM or respond to this tweet.

#callout #disabledactors #richardiii #londonactors https://t.co/IWsxfXqQAN",[]
2,10,Richard III ,#richardiii,"Actor - Writer - (sometimes) Director
@CSSDLondon Classical Acting '21 - '22

New short Boadicea/Boudicca coming soon.

https://t.co/PrdR3pIDsp",39,2,"I'm looking for physically disabled actors in London who wouldn't mind speaking on camera for a university video project about Richard III. Details below. If you'd be up for it, please send me a DM or respond to this tweet.

#callout #disabledactors #richardiii #londonactors https://t.co/IWsxfXqQAN","['callout', 'disabledactors', 'richardiii', 'londonactors']"
3,10,Richard III ,#richardiii,Following genius & its echoes,10,0,"In Richard III, “Shakespeare provides a glimpse of one further quality he associates with the tyrant: absolute loneliness.”

#Tyrant
#StephenGreenblatt
#shakespeare
#readshakepeare
#RichardIII","['Tyrant', 'StephenGreenblatt', 'shakespeare', 'readshakepeare', 'RichardIII']"
4,10,Richard III ,#richardiii,"University administrator, medievalist and  travel writer. Legitimacy of Bastards; Bradt Slow Guide to Chilterns & Thames Valley. Coming soon: Heritage Weekends",4938,0,"He's coming home, he's coming home, Richard's coming home....#RichardIII https://t.co/9R50ecepsi",['RichardIII']
5,10,Richard III ,#richardiii,"Author, Ricardian, football fan, time obsessive. 1st novel won Chapter 1 children's book award. Lives mostly in 15th, 20th & 21st centuries. Angry, me? You bet!",31458,3,"Come and join us at the Haworth Launch for 'Time out of Time', 2pm, Saturday 14 August
#ChildrensBooks
#HistoricalFiction
#BookLaunch
#RichardIII
#IndependentBookShop
#IARTG
#ClimateChange
https://t.co/IpMJmmvMUo https://t.co/hKxDCSzOEq",['ChildrensBooks']
6,10,Richard III ,#richardiii,"Page in household of Richard III. Read his adventures in The Order of the White Boar & The King's Man https://t.co/lqWvJVNBpi
https://t.co/ceB9ODqKcS",2639,3,"Come and join us at the Haworth Launch for 'Time out of Time', 2pm, Saturday 14 August
#ChildrensBooks
#HistoricalFiction
#BookLaunch
#RichardIII
#IndependentBookShop
#IARTG
#ClimateChange
https://t.co/IpMJmmvMUo https://t.co/hKxDCSzOEq",['ChildrensBooks']
7,10,Richard III ,#richardiii,"Indie Author Retweet Group: Simply follow to join, then add #IARTG in any tweet you want us to re-tweet. :) #RT #indie #author #retweet #group @retweet_groups",1085308,3,"Come and join us at the Haworth Launch for 'Time out of Time', 2pm, Saturday 14 August
#ChildrensBooks
#HistoricalFiction
#BookLaunch
#RichardIII
#IndependentBookShop
#IARTG
#ClimateChange
https://t.co/IpMJmmvMUo https://t.co/hKxDCSzOEq",['ChildrensBooks']
8,10,Richard III ,#richardiii,"Author of 'The Order of the White Boar' & 'The King's Man', the story of the real Richard III for readers 10+ https://t.co/lqWvJVNBpi & https://t.co/ceB9ODqKcS",11077,3,"Come and join us at the Haworth Launch for 'Time out of Time', 2pm, Saturday 14 August
#ChildrensBooks
#HistoricalFiction
#BookLaunch
#RichardIII
#IndependentBookShop
#IARTG
#ClimateChange
https://t.co/IpMJmmvMUo https://t.co/hKxDCSzOEq","['ChildrensBooks', 'HistoricalFiction', 'BookLaunch', 'RichardIII', 'IndependentBookShop', 'IARTG', 'ClimateChange']"
9,10,Richard III ,#richardiii,Liverpool Fan in the womb. History. Food. Victorious Annoying Red. Books. Sport. Music. Love to the World. YNWA 💙,14778,91,"""The best biography of me I've ever read"" said Richard III. Probably.
#RichardIII
https://t.co/a5MrEWXV4M https://t.co/yHVLbIu4jl",['RichardIII']
