,Movie Id,Title,Tagword,description,totaltweets,retweetcount,text,hashtags
0,117,"Rock, The ","#rock,the","Eclectic interests with an emphasis on global news & business affairs; as well as, breaking news.",74280,1,"It's time for your #TrafficJamz.  Enjoy @DefLeppard ""Rock Of Ages."" All your traffic reports are here on @kslnewsradio. Feel good behind the wheel. Safe travels, no distractions, watch those speeds.  Join me for the ride. #DriveSafe #rocknroll #music #rock
https://t.co/hYyLjPt8Nj",['TrafficJamz']
1,117,"Rock, The ","#rock,the","Mark Wood  Owner/Publisher  
The Big Island Reporter  State of Hawaii   https://t.co/70H7GaAiwQ  808-796-8843
MarkWood@https://t.co/70H7GaAiwQ",215351,0,"@jack @zackvoell #STREAM #VIDEO #Twittermusic #rock #funk #metal #rap #hiphop #alternative #psychedelic #1manband #Funk #Trap #beats #Africa #hawaii #nyc #la #atl #ESOTERIC
Check out ""
https://t.co/ypaMB2LBoW","['STREAM', 'VIDEO', 'Twittermusic', 'rock', 'funk', 'metal', 'rap', 'hiphop', 'alternative', 'psychedelic', '1manband', 'Funk', 'Trap', 'beats', 'Africa', 'hawaii', 'nyc', 'la', 'atl', 'ESOTERIC']"
2,117,"Rock, The ","#rock,the",,682,3,"A day filled with top-class shows! Keep it Hard Rock Hell this Wednesday❤️‍🔥

#Listen via the @tunein #RadioApp - through the #LinkInBio OR Download our #HRHBible App📱

#Vinyl #LoveMusic #Rock #NewMusic #News #RockNews #HardRockHell #HRHRocks #radio #HRHRadio #HardRockHellRadio https://t.co/aY7vaNPoDI","['Listen', 'RadioApp']"
3,117,"Rock, The ","#rock,the","🎧 Radio DJ presenting the #RockNRollKids Radio show.
Proud Father of 2. Grandfather to 3. Lifelong Socialist.
Councillor on New Romney Town Council.",127976,0,"Why take life seriously? You're not coming out of it alive anyway!

 Rock 'N' Roll Kids Radio Show on SoundCloud Via the website https://t.co/Nt9eGKqSPt
Email Studio@RockNRollKids.co.uk
#Rock 'N' Roll https://t.co/joG5wGeBdL",['Rock']
4,117,"Rock, The ","#rock,the","Musician/Producer 🎼🎶 @PairPennies @YouVsMe 💻0️⃣1️⃣0️⃣1️⃣Coder, 👨‍👩‍👧‍👦 Dad ♊️ and 👁‍🗨🗯💭💬 info junkie. Tweets are my own - RT’s not an endorsement",6355,2,"#OnThisDay - August 11th 1992. Straight up rockers, Jackyl, release debut album, Jackyl. It includes tracks: Brain Drain, Redneck Punk, The Lumberjack, and the classic - She Loves My C***. Some retailers including K-Mart refused to sell the album 🤷🏼‍♂️ @jackyljesse #rock https://t.co/BWtOXEvMUQ",['OnThisDay']
5,117,"Rock, The ","#rock,the","gimmie life for the takin',
gimmie love til' I'm shakin',
gimmie rules just for breakin' #kissarmy #kissfan
#MAGA  #TRUMP #trump2020 FLLD by American Women",28791,2,"#OnThisDay - August 11th 1992. Straight up rockers, Jackyl, release debut album, Jackyl. It includes tracks: Brain Drain, Redneck Punk, The Lumberjack, and the classic - She Loves My C***. Some retailers including K-Mart refused to sell the album 🤷🏼‍♂️ @jackyljesse #rock https://t.co/BWtOXEvMUQ",['OnThisDay']
6,117,"Rock, The ","#rock,the",Christian; Love my family; Vanderbilt fan; Psalms 89:14,15815,5,"#OnThisDay - August 11th 1992. The Damn Yankees release the Ron Nevison produced album, Don’t Tread. It includes Top 20 hit - Where You Goin' Now. It was the second &amp; last studio album released by the band. The third remains unreleased to this day 😢 #OTD #rock #90s https://t.co/r7erPrfAWE",['OnThisDay']
7,117,"Rock, The ","#rock,the","Crazy tattoo'd lady with usually multi coloured hair, seriously seriously follow the late Rory Gallagher, adore blues music",6644,2,"Read the news about our new album ‘The Language of Curiosity’ on the Decibel Report! Thanks to Paul Davies 
#Britishrock #Britishblues #rock #wednesdaymotivation 
https://t.co/XykLb6nSsb",['Britishrock']
8,117,"Rock, The ","#rock,the",Artist & Premier Radio,2285749,0,BLAZING RUST - Only To Burn via #PureSteel #320MAX #Streaming 48KHz #Metal #Radio Web players at https://t.co/cMDUInFEpD or https://t.co/iiBmBQqrCC @BarbwiresRadio plays the newest 21st Century #Premier #ROCK https://t.co/otiJh7eT0e,"['PureSteel', '320MAX', 'Streaming', 'Metal', 'Radio', 'Premier', 'ROCK']"
9,117,"Rock, The ","#rock,the",Audio #synths #drumkits #guitars #speakers #rappers #instruments website for #producers and #artists - Affiliated with ebay https://t.co/HlomcxioZZ,362225,0,Shure ULXD2/Beta87a-G50 Handheld Wireless Microphone with Beta87a Capsule https://t.co/aUmhZ6m5VP - #music #producers  #rock #soulmusic #funk,"['music', 'producers', 'rock', 'soulmusic', 'funk']"
