,Movie Id,Title,Tagword,description,totaltweets,retweetcount,text,hashtags
0,98,"Silence of the Lambs, The ","#silenceofthelambs,the","Fiction Author & Poet 📚 Technical Writer 🤓 advocate for small animals 🐾 mom to a doggo, 2 bunnies, 6 guinea pigs 🐶🐰🐹",1320,0,"Sometimes when people greet me in passing, I have to suppress the inner urge to respond, ""hello, Clarice..."" And this is probably why i write the kind of material I do. And why I avoid going in public.
#IsThatWeird #WritingCommunity #SilenceoftheLambs #horror https://t.co/slAWe2SvK5","['IsThatWeird', 'WritingCommunity', 'SilenceoftheLambs', 'horror']"
1,98,"Silence of the Lambs, The ","#silenceofthelambs,the",Thoughts and consideration of a #Scifi #Aficionado - #Pictures mood actually - Global watchers - Asperger - Tweets in patois Franglish,188,0,"#JodieFoster a pure beauty in the #SilenceOfTheLambs I considered ugly while young... 😂
Time change ☺☺ https://t.co/VfuE0ecAYG","['JodieFoster', 'SilenceOfTheLambs']"
2,98,"Silence of the Lambs, The ","#silenceofthelambs,the",⚔️ Nerdery 🤘🏻Music 🎮 Video Games 📚 Comics 🤖 Toys 🎥 Movies,280,0,"""When The Fox Hears The Rabbit Scream, He Comes A-Runnin', But Not To Help!""- Hannibal Lector 🥩🧠🍽️ @AnthonyHopkins @RobotsHandmade #silenceofthelambs #vinyltoys #vinyltoycollector #collectibles #suspense #thriller #90s #90smovies #thatweekendwarrior https://t.co/feaQcmEOCC","['silenceofthelambs', 'vinyltoys', 'vinyltoycollector', 'collectibles', 'suspense', 'thriller', '90s', '90smovies', 'thatweekendwarrior']"
3,98,"Silence of the Lambs, The ","#silenceofthelambs,the",N,13,2,"Since I'm kicked out of my sfw account atm you get to see the sfw stuff here for now lol. Have a hannibal doodle to help pass the time 🕔🦇♥️
#hannibal #silenceofthelambs #commissionsopen #hannibalfanart #furryartist #furry https://t.co/V4GIifVpsk",[]
4,98,"Silence of the Lambs, The ","#silenceofthelambs,the",Horror fan & gamer 👻🎮,7763,2,#NowWatching The Silence of the Lambs with the #horrorfam #LisasHorrorShow @LisaPortillo9 @Brian6Goodnight @DustyHorror @omar_syrinx2112 #SilenceOfTheLambs https://t.co/thlClgTuHK,"['NowWatching', 'horrorfam', 'LisasHorrorShow']"
5,98,"Silence of the Lambs, The ","#silenceofthelambs,the",,21841,2,#NowWatching The Silence of the Lambs with the #horrorfam #LisasHorrorShow @LisaPortillo9 @Brian6Goodnight @DustyHorror @omar_syrinx2112 #SilenceOfTheLambs https://t.co/thlClgTuHK,"['NowWatching', 'horrorfam', 'LisasHorrorShow']"
6,98,"Silence of the Lambs, The ","#silenceofthelambs,the",Stephen King. Star Wars. Horror. A’s. Dodgers. Lakers. Bruja. Riot Grrl. Oakland ✈️ LA (she/her),23119,2,#NowWatching The Silence of the Lambs with the #horrorfam #LisasHorrorShow @LisaPortillo9 @Brian6Goodnight @DustyHorror @omar_syrinx2112 #SilenceOfTheLambs https://t.co/thlClgTuHK,"['NowWatching', 'horrorfam', 'LisasHorrorShow', 'SilenceOfTheLambs']"
7,98,"Silence of the Lambs, The ","#silenceofthelambs,the","Hosted by John S. Drew - a journey through podcasting to justify my love for the 60's Adam West Batman series. Join me for this long, strange trip.",7147,5,The #hollywoodmuseum is open to the public!! You can purchase tix here: https://t.co/k7cuMVHkQq Three floors of exhibits! #batman66 #thepointersisters #backtothefuture #superheros #dungeonofdoom #halloween #silenceofthelambs https://t.co/QIPE3TQZSS,['hollywoodmuseum']
8,98,"Silence of the Lambs, The ","#silenceofthelambs,the",i was a extra in movies and a star in 1 movie. i was a extra in tv shows and I was a star on 1 tv show in my city. I do 6 second movie review videos on youtube.,7204,5,The #hollywoodmuseum is open to the public!! You can purchase tix here: https://t.co/k7cuMVHkQq Three floors of exhibits! #batman66 #thepointersisters #backtothefuture #superheros #dungeonofdoom #halloween #silenceofthelambs https://t.co/QIPE3TQZSS,['hollywoodmuseum']
9,98,"Silence of the Lambs, The ","#silenceofthelambs,the",Writer/Producer: RockyV/Unbound/Clockwork/Underground/The Funk | Building Engineer. Concert Sound Technition/Disc Jockey | Who Loves To Cook! Born Roctober 27'♏,36119,0,"""SILENCE OF THE LAMBS"" | Anthony Hopkins. Jodie Foster. | #SilenceOfTheLambs | @AnthonyHopkins #JodieFoster | Full Batshit Crazy Phycological Horror Thriller | #CoffeeAndAMovie ☕ https://t.co/S3Gs8hYkAr...","['SilenceOfTheLambs', 'JodieFoster', 'CoffeeAndAMovie']"
10,98,"Silence of the Lambs, The ","#silenceofthelambs,the","#Socialmediacontent creator, Manager & Strategist. Founder & owner of https://t.co/KB1VF7geN1 Worked w @DaytimeEmmys 4 five yrs. Let us help you w your brand.",1586,5,The #hollywoodmuseum is open to the public!! You can purchase tix here: https://t.co/k7cuMVHkQq Three floors of exhibits! #batman66 #thepointersisters #backtothefuture #superheros #dungeonofdoom #halloween #silenceofthelambs https://t.co/QIPE3TQZSS,['hollywoodmuseum']
11,98,"Silence of the Lambs, The ","#silenceofthelambs,the","THE HOLLYWOOD MUSEUM IS OPEN TO THE PUBLIC!
 TAG your pics with #HollywoodMuseum! Questions? Tweet or call: 323-464-7776",6486,5,The #hollywoodmuseum is open to the public!! You can purchase tix here: https://t.co/k7cuMVHkQq Three floors of exhibits! #batman66 #thepointersisters #backtothefuture #superheros #dungeonofdoom #halloween #silenceofthelambs https://t.co/QIPE3TQZSS,"['hollywoodmuseum', 'batman66', 'thepointersisters', 'backtothefuture', 'superheros', 'dungeonofdoom', 'halloween', 'silenceofthelambs']"
12,98,"Silence of the Lambs, The ","#silenceofthelambs,the",The 206geek is A podcast Hosted by me @ToddThe206geek.,34697,0,#SilenceoftheLambs #AnthonyHopkins #HannibalLecter The Silence of the Lambs Hits 4K Blu-ray for Its 30th Anniversary https://t.co/mfch5EnQHn,"['SilenceoftheLambs', 'AnthonyHopkins', 'HannibalLecter']"
13,98,"Silence of the Lambs, The ","#silenceofthelambs,the",Let's play some poker!,15453,0,"The vaccine goes into your skin or else you get shutdown again.
#VaccineMandate
#silenceofthelambs
#covid #COVIDー19 #healthcareprofessionals #healthcare #anxiety https://t.co/Sc7CDjtt0m","['VaccineMandate', 'silenceofthelambs', 'covid', 'COVIDー19', 'healthcareprofessionals', 'healthcare', 'anxiety']"
14,98,"Silence of the Lambs, The ","#silenceofthelambs,the","#Bipolar comedian, a mental health disability. Doesn't mean I live at the north pole. #politics junkie co-creator @idahoboystv",5711,5,"Bipolar Brain turns me into a Silence of the Lambs character
#Bipolar #MentalHealthAwareness #SilenceoftheLambs https://t.co/wd6aFZxRdm","['Bipolar', 'MentalHealthAwareness', 'SilenceoftheLambs']"
15,98,"Silence of the Lambs, The ","#silenceofthelambs,the","🤍LGBTQ+, #BLM🤍 Everything HORROR, VetTech/“Marketing Genius”/In this: https://t.co/Q81joh4O9G",18859,0,#FunFact the dog “Queenie” from #TheBurbs also plays “Precious” in #SilenceOfTheLambs,"['FunFact', 'TheBurbs', 'SilenceOfTheLambs']"
16,98,"Silence of the Lambs, The ","#silenceofthelambs,the","Commission RT Bot account for #commissionsopen

Any problem with the bot please contact @shinjuroukai

Logo art by riyonanto
https://t.co/JtoNbTlioF",15992,2,"Since I'm kicked out of my sfw account atm you get to see the sfw stuff here for now lol. Have a hannibal doodle to help pass the time 🕔🦇♥️
#hannibal #silenceofthelambs #commissionsopen #hannibalfanart #furryartist #furry https://t.co/V4GIifVpsk",[]
17,98,"Silence of the Lambs, The ","#silenceofthelambs,the","💞 18+💞
⛔MINORS DNI - Age in bio or blocked ⛔
💜Just doodling for kicks 💜
🐻18 She/They🐻 
🦇Comms: Open🦇",54,2,"Since I'm kicked out of my sfw account atm you get to see the sfw stuff here for now lol. Have a hannibal doodle to help pass the time 🕔🦇♥️
#hannibal #silenceofthelambs #commissionsopen #hannibalfanart #furryartist #furry https://t.co/V4GIifVpsk","['hannibal', 'silenceofthelambs', 'commissionsopen', 'hannibalfanart', 'furryartist', 'furry']"
18,98,"Silence of the Lambs, The ","#silenceofthelambs,the",'I can lick my crack until the last drop of the pot' - Crackpot in Chief - I Tweet like nobody's reading - I tweet therefore I am - Franglish - Asperger,43475,0,"Starling is the conscious seeing horror as utterly outrageous
The Kid the subconscious in balance
Lecter, the red dragon, the monster hidden in the unconscious
Beautiful psychological view
#SilenceOfTheLambs",['SilenceOfTheLambs']
19,98,"Silence of the Lambs, The ","#silenceofthelambs,the","Trading diary not lobby platform.

GE-CNOOC MG-sets. CNC licensing talks, Jiang Zemin.

UVA MBA.

EF Hutton Bond Sales/Trading.

Futures trader.

Entrepreneur..",11656,0,"$GME $AMC $HOOD? Apes!?

Took the money and ran? Spring lambs remain? #SilenceofTheLambs?",['SilenceofTheLambs']
20,98,"Silence of the Lambs, The ","#silenceofthelambs,the",'I can lick my crack until the last drop of the pot' - Crackpot in Chief - I Tweet like nobody's reading - I tweet therefore I am - Franglish - Asperger,43475,0,Billy the Kid or the Leprechaun licking his crack like others can fuck themselves to the soul? #SilenceOfTheLambs,['SilenceOfTheLambs']
21,98,"Silence of the Lambs, The ","#silenceofthelambs,the",Liberal! Blue No Matter Who ! Air Force Mom! Feminist - Pro LGBTQ - Black Lives Matter - Pro Choice -. Pardon Reality Winner- mother of Jason 1973-2019 RIP!!,55005,5,"Bipolar Brain turns me into a Silence of the Lambs character
#Bipolar #MentalHealthAwareness #SilenceoftheLambs https://t.co/wd6aFZxRdm","['Bipolar', 'MentalHealthAwareness', 'SilenceoftheLambs']"
22,98,"Silence of the Lambs, The ","#silenceofthelambs,the",,20906,1,@bevnbigbear @Queendisclosure @TheBaxterBean I equate this to the horrors in #AmericanPsycho and #SilenceOfTheLambs with upbeat songs contrasting   brutal violence and terror.,"['AmericanPsycho', 'SilenceOfTheLambs']"
23,98,"Silence of the Lambs, The ","#silenceofthelambs,the","I Love MY Kids, Metalhead, Movie Watcher, Gardener, Mindwarper, Cannabis Enthusiast, MSU, Lions, Pistons and Rebar Fabricator. Michigander ☮️❤️💪🌎",17135,0,#SilenceOfTheLambs - 1991. #Foster #Hopkins One of the Best Thriller's ever Filmed. #Oscar #Demme. Great Book Series #Harris. 💜📽️📖😳😏☮️,"['SilenceOfTheLambs', 'Foster', 'Hopkins', 'Oscar', 'Demme', 'Harris']"
24,98,"Silence of the Lambs, The ","#silenceofthelambs,the","🕹Gamer🎮, dork and all around good egg. Send me a friend request. And a hug. And some pizza. Make the 🌎 a better place for fucks sake. 😀 #FuckCancer ☮️",10319,0,"I LOVE my new #BuffaloBill #silenceofthelambs T-shirt 🤣🤣🤣🤣🤣 from @redbubble #myrbthing 

“…..yes you will, Precious….you’ll get the hose 🐩 “ https://t.co/2mEGFklHNK","['BuffaloBill', 'silenceofthelambs', 'myrbthing']"
