,Movie Id,Title,Tagword,description,totaltweets,retweetcount,text,hashtags
0,152,Sleeper ,#sleeper,quality handmade 9ct gold & sterling silver jewellery I also sell handmade accessories also available at https://t.co/15PF2akubd,58937,0,"Brand New Men's 'SINGLE' 925 Sterling Silver skull and 16mm #hoop earring | eBay #sterlingsilver #mens #skull #sleeper #hoop #earring #jewellery #handmade #gifts #giftideas #giftsforhim #jewelry #accessories #mesnwear #mensfashion #onlineshopping 
https://t.co/lJFpMETvIx https://t.co/kfUsTUXrg3","['hoop', 'sterlingsilver', 'mens', 'skull', 'sleeper', 'hoop', 'earring', 'jewellery', 'handmade', 'gifts', 'giftideas', 'giftsforhim', 'jewelry', 'accessories', 'mesnwear', 'mensfashion', 'onlineshopping']"
1,152,Sleeper ,#sleeper,Use #fantasyfootball and NFL and I'll RT you. Support me at https://t.co/lLYBnFmOcE,78678,1,Started a SF Dynasty draft from the 1.03 with CMC and Tyreek. 3rd round reversal. I’m panicking about QB’s already 😂😂😂 #fantasyfootball #sleeper #draft #nfl #nflfantasy,[]
2,152,Sleeper ,#sleeper,#thfc #Colts #FantasyFootball #Dynasty #FM21 - Do I love Kane more than life? Possibly. Black belt in sarcasm. I don't follow back.,34966,1,Started a SF Dynasty draft from the 1.03 with CMC and Tyreek. 3rd round reversal. I’m panicking about QB’s already 😂😂😂 #fantasyfootball #sleeper #draft #nfl #nflfantasy,"['fantasyfootball', 'sleeper', 'draft', 'nfl', 'nflfantasy']"
3,152,Sleeper ,#sleeper,"Simon & Schuster UK publishes some of the most distinctive fiction, non-fiction and children’s books.",31693,0,"Sleeper by @jed_mercurio and @PrasannaBanana is out now! Stunning illustrations by @NavarroCoke.

The first in a hotly anticipated new graphic novel series, #Sleeper is a riveting work of imagination. 

https://t.co/v1YaQmP0WG https://t.co/WFdGllYXDi",['Sleeper']
4,152,Sleeper ,#sleeper,"Current 90 day leader, #1 Hacker in the USA, #4 Hacker Globally #4 Hacker DoD VDP, Doctoral Student in CS, https://t.co/3L3z5pSxBj",611,1,"Just scored myself a new gaming rig.

AMD K6-XT2/400 with 64MB of ram and a dedicated sound card.

Will beast out on.. idk IRC games or something later on.

#sleeper #gaming https://t.co/0MWFBPnZOn",[]
5,152,Sleeper ,#sleeper,AVP Lackawanna College 🎓 Co-Host @Dynastytheoryff podcast 🎧 🎙2013 Minor League Football HOF 🏈 NEPA Pan Can Affiliate Chair 💜 #LAKESHOW #NYR #SFB11,24669,0,@FantasyMikeBBF @JonHelmkamp @ekballer @Lindellions Been picking up Duvernay shares in dynasty and Bestball throughout the offseason #sleeper,['sleeper']
6,152,Sleeper ,#sleeper,,561,61,"If I were to Express myself through hashtags?
- #Bass
- #Day6BestEater
- #Sleeper (or #Slipper??)
- #Narwhal
- #Lyricist https://t.co/aEC9zpqq33","['Bass', 'Day6BestEater', 'Sleeper', 'Slipper', 'Narwhal', 'Lyricist']"
7,152,Sleeper ,#sleeper,Truman Football ‘19 • Assistant SLUH Football Coach • Big Wilt Chamberlain Fan,612,1,I see you @ZOrtwerth #sleeper https://t.co/67Ri5yShgx,['sleeper']
8,152,Sleeper ,#sleeper,Associate Head football coach ST coordinator and recruiting coordinator at St. Louis University High school. Also JV 🏀 coach.,1367,1,I see you @ZOrtwerth #sleeper https://t.co/67Ri5yShgx,['sleeper']
9,152,Sleeper ,#sleeper,For 데이식스 • 181006 191123 • 🐥🐻🦊🐰🐶 #곰영,386474,61,"If I were to Express myself through hashtags?
- #Bass
- #Day6BestEater
- #Sleeper (or #Slipper??)
- #Narwhal
- #Lyricist https://t.co/aEC9zpqq33","['Bass', 'Day6BestEater', 'Sleeper', 'Slipper', 'Narwhal', 'Lyricist']"
10,152,Sleeper ,#sleeper,"Blue Lives Matter
Red Lives Matter
Green Lives Matter
Automatically reposts #bluelivesmatter posts!",2259,2,"this is why i want non lethal #sedative/#sleeper rounds 2 make an entrance in  #Marketing and #media like never b4. the decrease in #criminal fatalities at the hands of #bluelivesmatter should reduce inter racial/tribal tensions over time. #endgame #theory
https://t.co/78LZfqY81Z","['sedative', 'sleeper', 'Marketing', 'media']"
11,152,Sleeper ,#sleeper,Sui (Mizu/Water/Agua/Flow) was here #suicideprevention #science #theory #survival https://t.co/LMo2LArOub,1129,2,"this is why i want non lethal #sedative/#sleeper rounds 2 make an entrance in  #Marketing and #media like never b4. the decrease in #criminal fatalities at the hands of #bluelivesmatter should reduce inter racial/tribal tensions over time. #endgame #theory
https://t.co/78LZfqY81Z","['sedative', 'sleeper', 'Marketing', 'media']"
12,152,Sleeper ,#sleeper,,940,1,"Watch @torylanez blow up this year, when he been doing his thing for years! #sleeper",['sleeper']
13,152,Sleeper ,#sleeper,Born in 2000 18+ loves anime and sad how LGBTQ+ can only have happy ending in stories,1600,13,It will always be fun and cute to draw Baby Sleeper. #myart #cutebabys #babysleeper #ficnobis #Nobis #Sleeper #symbrock #mpreg #venom2 #veddie https://t.co/Qof1XJbl6P,"['myart', 'cutebabys', 'babysleeper', 'ficnobis', 'Nobis', 'Sleeper', 'symbrock']"
14,152,Sleeper ,#sleeper,Fantasy football try hard,21,0,The Turner offenses have also been below average in TD % to WRs for the past 4 seasons. The Dolphins finished 29th in this category last season. #washington #sleeper #terrymclaurin #fantasyfootball #bust #dolphins #fitzmagic #football #espn,"['washington', 'sleeper', 'terrymclaurin', 'fantasyfootball', 'bust', 'dolphins', 'fitzmagic', 'football', 'espn']"
15,152,Sleeper ,#sleeper,yo,210,0,With the 11th pick I think I did alright #fantasyfootball #sleeper https://t.co/4y5X4hxr0N,"['fantasyfootball', 'sleeper']"
16,152,Sleeper ,#sleeper,Writer for TB Buccaneers Football | Sports Correspondent for Daily Kansan | NCAAB writer for https://t.co/PZW1ewl351 | FantasyFootball Writer for https://t.co/Fb6w0vnmTO,525,1,"I can believe it, but need to see it! Bateman’s injury helps and Sammy has been dominating camp. Week 1 streak might continue. #fantasyfootball #Ravens #Sleeper https://t.co/FwiczMEWMv","['fantasyfootball', 'Ravens', 'Sleeper']"
17,152,Sleeper ,#sleeper,quality handmade 9ct gold & sterling silver jewellery I also sell handmade accessories also available at https://t.co/15PF2akubd,58937,0,"Brand New Men's 'SINGLE' 925 Sterling Silver skull and 16mm #hoop earring | eBay #sterlingsilver #mens #skull #sleeper #hoop #earring #jewellery #handmade #gifts #giftideas #giftsforhim #jewelry #accessories #mesnwear #mensfashion #onlineshopping 
https://t.co/lJFpMETvIx https://t.co/Jg50IZlxOl","['hoop', 'sterlingsilver', 'mens', 'skull', 'sleeper', 'hoop', 'earring', 'jewellery', 'handmade', 'gifts', 'giftideas', 'giftsforhim', 'jewelry', 'accessories', 'mesnwear', 'mensfashion', 'onlineshopping']"
18,152,Sleeper ,#sleeper,"Follow us to discover London’s darkest secret...🏛🦴☄🌒🔥

Daughters of Albion out soon!

✏️Original new artwork every week",268,1,"What do you guys think of this? 

Would you feel differently if a big studio had 'borrowed' the name of a previous indie graphic novel? 

https://t.co/WCuVOLFMVS

#indiecomics #sleeper #warnerbros #comic","['indiecomics', 'sleeper', 'warnerbros', 'comic']"
19,152,Sleeper ,#sleeper,"mum of 5. Nanny to 13. Great Nan to 1.  
Mad but insanely normal.
Everything I say is my own opinion.",637,0,"Soooooo
#Sleeper. @jed_mercurio 
If we start bigging up his new series he's agreed to do the next #LOD.","['Sleeper', 'LOD']"
20,152,Sleeper ,#sleeper,"Here for $tsla, $nmg, $lmrmf and Arizona sports ✌🏻😎✌🏻",562,0,@PaulRagains @Vincemarotta Ballage will settle the argument this season #sleeper,['sleeper']
21,152,Sleeper ,#sleeper,THE INFLUENCER,5556,0,Boy our squad deep didn’t even know we had Mathew Hurts from duke #Rockets #sleeper,"['Rockets', 'sleeper']"
22,152,Sleeper ,#sleeper,“There’s food at the house”- Mom 😔,629,0,"Do your thing twitter, PPR, 3rd pick #FantasyFootball #Sleeper https://t.co/bvqirxcq6d","['FantasyFootball', 'Sleeper']"
23,152,Sleeper ,#sleeper,"Family owned since 1975. We provide comfort for every room in the home with La-Z-Boy, Lane, Ashley, Best Furniture, Serta, Beautyrest, Sealy, Bemco & more!",4663,1,"We heard it’s National Lazy Day. Take a seat or nap on our Bayment sleeper sofa! 😍💤✨
View it here: https://t.co/8SaxheQmTX 
•
•
•
#sleeper #besthomefurnishings #interiordesign #lazyday https://t.co/D0misJbeqO",[]
24,152,Sleeper ,#sleeper,"Best Home Furnishings is one of the largest furniture manufacturers in the world, committed to creating the best quality products at the most affordable price.",931,1,"We heard it’s National Lazy Day. Take a seat or nap on our Bayment sleeper sofa! 😍💤✨
View it here: https://t.co/8SaxheQmTX 
•
•
•
#sleeper #besthomefurnishings #interiordesign #lazyday https://t.co/D0misJbeqO","['sleeper', 'besthomefurnishings', 'interiordesign', 'lazyday']"
25,152,Sleeper ,#sleeper,,7261,13,It will always be fun and cute to draw Baby Sleeper. #myart #cutebabys #babysleeper #ficnobis #Nobis #Sleeper #symbrock #mpreg #venom2 #veddie https://t.co/Qof1XJbl6P,"['myart', 'cutebabys', 'babysleeper', 'ficnobis', 'Nobis', 'Sleeper', 'symbrock']"
26,152,Sleeper ,#sleeper,🇺🇸 We carry a wide range of men's underwear with ✈️ #FreeShipping! Take it off your Wishlist! ❤ Fill your basket 🛒 #Jocks #Thongs #Briefs #Swim #Singlets,4295,0,"#MakeItSassy 🍑 How do you #Sleeper at night? #OpenBack #Singlet 

https://t.co/wtPpQPZIYE https://t.co/CvhnGDUB17","['MakeItSassy', 'Sleeper', 'OpenBack', 'Singlet']"
27,152,Sleeper ,#sleeper,"Love fantasy football. Love my wife. Love my dogs. Writer for the @Full10Yards , #SFB11 Satellite Conference 5",2311,0,"https://t.co/WBq654Spgu

Check out my latest article I wrote for @Full10Yards regarding Darnell Mooney, Adam Thielen and Jaguar Hawkins and let’s chat, agree or disagree? 

#dynasty #fantasyfootball #sleeper #nfl","['dynasty', 'fantasyfootball', 'sleeper', 'nfl']"
28,152,Sleeper ,#sleeper,Welcome to Pretty Boutique! 🇨🇦,178651,1,"Brand New 925 Sterling Silver 15mm Hoop and angel wings Earrings - Gift Boxed | eBay #sterlingsilver #angel #wings #hoop #sleeper #earrings #handmade #jewellery #gifts #giftideas #giftsforher #jewelry #accessories #fashion #jewelrylover #onlineshopping 
https://t.co/3cjLcunEiK https://t.co/dyO9g4bVEd","['sterlingsilver', 'angel', 'wings']"
29,152,Sleeper ,#sleeper,Welcome to Pretty Boutique! 🇨🇦,178651,1,"925 Sterling Silver 12mm Plain Hinged Sleeper Earrings - Boxed | eBay #sterlingsilver #plain #hinged #sleeper #hoop #earrings #jewellery #finejewelry #gifts #giftideas #giftsforher #giftshop #jewelry #jewelrylover #fashion #accessories #onlineshopping 
https://t.co/nSb2F0fs1p https://t.co/xtCQN5jkfV","['sterlingsilver', 'plain', 'hinged', 'sleeper', 'hoop']"
30,152,Sleeper ,#sleeper,,502,13,It will always be fun and cute to draw Baby Sleeper. #myart #cutebabys #babysleeper #ficnobis #Nobis #Sleeper #symbrock #mpreg #venom2 #veddie https://t.co/Qof1XJbl6P,"['myart', 'cutebabys', 'babysleeper', 'ficnobis', 'Nobis', 'Sleeper', 'symbrock']"
31,152,Sleeper ,#sleeper,"#introvert, social activist, #Chess junkie, BLM ✊🏿 #clairvoyant #empath #jazz #E46 #BimmerGang",764,0,My new friend #Sleeper and justifiably so cause this is all he does #AmericanBully https://t.co/93nPZ19ooc,"['Sleeper', 'AmericanBully']"
32,152,Sleeper ,#sleeper,Searching for Shangri-La 🌴🧘🏻‍♂️🌴 randomly traversing time & space... busy fighting Captain Hook in Never Neverland!       IG: mrids_sa             🤣😎🎸,16766,0,"Classified as a midfielder this season, so I'm guessing....No clean sheet points, fewer bps opportunities...maybe the odd goal depending on how Bielsa utilises him? 

So...Much much less??? 🤦🏻‍♂️🤣 #FPL #Sleeper not so much? https://t.co/fhaTZQvZ9m","['FPL', 'Sleeper']"
33,152,Sleeper ,#sleeper,"MA in Diplomacy; Communication & political consultant; San Juan Island Fire & Rescue PIO, Friday Harbor WA.  Scotland Forever!",321781,3,Our carriage neighbours getting a great send off from #Odessa on our #sleeper train to #Kharkiv 🚈🇺🇦🌌with @superalbs #NonstopEurotrip https://t.co/iB0R58BEoY,"['Odessa', 'sleeper', 'Kharkiv']"
34,152,Sleeper ,#sleeper,I am a symbrock shipper and if you follow me I follow back 😍😍💗💗,1817,13,It will always be fun and cute to draw Baby Sleeper. #myart #cutebabys #babysleeper #ficnobis #Nobis #Sleeper #symbrock #mpreg #venom2 #veddie https://t.co/Qof1XJbl6P,"['myart', 'cutebabys', 'babysleeper', 'ficnobis', 'Nobis', 'Sleeper', 'symbrock']"
35,152,Sleeper ,#sleeper,Use #fantasyfootball and NFL and I'll RT you. Support me at https://t.co/lLYBnFmOcE,78678,1,"2021 Fantasy Football - Breakout RBs:

https://t.co/1Dx4ilq3pc

#FantasyFootball #FantasyFootballAdvice #NFL #football #NFLTwitter #Fantasy #NFLDraft #NFLDraft2021 #NFLRedZone #fantasyfootballrankings #fantasy #NFLRumors #NFLUpdate #fantasydraft #fantasyfootballdraft #sleeper","['FantasyFootball', 'FantasyFootballAdvice', 'NFL', 'football']"
36,152,Sleeper ,#sleeper,Only the important fantasy football and fantasy basketball stats.,851,1,"2021 Fantasy Football - Breakout RBs:

https://t.co/1Dx4ilq3pc

#FantasyFootball #FantasyFootballAdvice #NFL #football #NFLTwitter #Fantasy #NFLDraft #NFLDraft2021 #NFLRedZone #fantasyfootballrankings #fantasy #NFLRumors #NFLUpdate #fantasydraft #fantasyfootballdraft #sleeper","['FantasyFootball', 'FantasyFootballAdvice', 'NFL', 'football', 'NFLTwitter', 'Fantasy', 'NFLDraft', 'NFLDraft2021', 'NFLRedZone', 'fantasyfootballrankings', 'fantasy', 'NFLRumors', 'NFLUpdate', 'fantasydraft', 'fantasyfootballdraft', 'sleeper']"
37,152,Sleeper ,#sleeper,quality handmade 9ct gold & sterling silver jewellery I also sell handmade accessories also available at https://t.co/15PF2akubd,58937,1,"925 Sterling Silver 12mm Plain Hinged Sleeper Earrings - Boxed | eBay #sterlingsilver #plain #hinged #sleeper #hoop #earrings #jewellery #finejewelry #gifts #giftideas #giftsforher #giftshop #jewelry #jewelrylover #fashion #accessories #onlineshopping 
https://t.co/nSb2F0fs1p https://t.co/xtCQN5jkfV","['sterlingsilver', 'plain', 'hinged', 'sleeper', 'hoop', 'earrings', 'jewellery', 'finejewelry', 'gifts', 'giftideas', 'giftsforher', 'giftshop', 'jewelry', 'jewelrylover', 'fashion', 'accessories', 'onlineshopping']"
38,152,Sleeper ,#sleeper,quality handmade 9ct gold & sterling silver jewellery I also sell handmade accessories also available at https://t.co/15PF2akubd,58937,1,"Brand New 925 Sterling Silver 15mm Hoop and angel wings Earrings - Gift Boxed | eBay #sterlingsilver #angel #wings #hoop #sleeper #earrings #handmade #jewellery #gifts #giftideas #giftsforher #jewelry #accessories #fashion #jewelrylover #onlineshopping 
https://t.co/3cjLcunEiK https://t.co/dyO9g4bVEd","['sterlingsilver', 'angel', 'wings', 'hoop', 'sleeper', 'earrings', 'handmade', 'jewellery', 'gifts', 'giftideas', 'giftsforher', 'jewelry', 'accessories', 'fashion', 'jewelrylover', 'onlineshopping']"
39,152,Sleeper ,#sleeper,3.21. Focii: US' nonstop crisis post-Trump eg voter suppression. Mt Everest. Crime-fic. Nature. Lewisham. Interplay of drugs & cultures. I grow my own insights,41340,0,"7/x #crimefiction. J Jefferson Farjeon (1883-1955): underrated writer f/ Golden Age of #Whodunnits  https://t.co/WL3Z0vEXbL ""unsurpassed 4 creepy skill in mysterious adventures"" (Dorothy Sayers). Some books r set in stately homes but his main 'tec is a ...#tramp/#rough #sleeper!! https://t.co/mH6vRHD5mr","['crimefiction', 'Whodunnits', 'tramp', 'rough', 'sleeper']"
40,152,Sleeper ,#sleeper,"Amo Leer, Escribir,  escribo poesia y relatos de todo tipo 
Amo el Cine  todo sus generos al igual que la musica escucho de todo",4715,13,It will always be fun and cute to draw Baby Sleeper. #myart #cutebabys #babysleeper #ficnobis #Nobis #Sleeper #symbrock #mpreg #venom2 #veddie https://t.co/Qof1XJbl6P,"['myart', 'cutebabys', 'babysleeper', 'ficnobis', 'Nobis', 'Sleeper', 'symbrock']"
41,152,Sleeper ,#sleeper,"Fantasy Football content, all year round | @UKFantasyLeague host | @FantasyPros ECR | #NFL #NFLUK #NFLTwitter #fantasyfootball | Tend to Follow Back",15681,5,"🏆📢 COMPETITION TIME! 📢 🏆

Get yourself ahead of your competition with a FREE @kfantasy_sports draft kit?

Follow us and @kfantasy_sports, retweet this and tag a friend to enter. Winner to be announced next week!

#TUFShow #FantasyFootball #NFLTwitter #NFL #DraftKings #Sleeper",[]
