,Movie Id,Title,Tagword,description,totaltweets,retweetcount,text,hashtags
0,143,"Sound of Music, The ","#soundofmusic,the",,18884,1,"#rogerhammerstein The Sound of Music - Edelweiss https://t.co/aus9S4O7a7 via 
@YouTube Just.brilliant. #production #casting #newrole #bookthatjob #audition #actorslife #scottishactress #scottishactor #bbcproduction #producerslife #soundofmusic","['rogerhammerstein', 'production']"
1,143,"Sound of Music, The ","#soundofmusic,the","UN translator, singer and actress. Vocal coaching with Mary Hammond ⭐️🌈🎞 Scottish. @hclublondon https://t.co/pfND3uH9Th — Currently working on 1st album.",3891,1,"#rogerhammerstein The Sound of Music - Edelweiss https://t.co/aus9S4O7a7 via 
@YouTube Just.brilliant. #production #casting #newrole #bookthatjob #audition #actorslife #scottishactress #scottishactor #bbcproduction #producerslife #soundofmusic","['rogerhammerstein', 'production', 'casting', 'newrole', 'bookthatjob', 'audition', 'actorslife', 'scottishactress', 'scottishactor', 'bbcproduction', 'producerslife', 'soundofmusic']"
2,143,"Sound of Music, The ","#soundofmusic,the","When I grow up, I'm going to be an #archaeologist...  in the meantime, enjoying #history #historicalfiction",13510,0,@AnneScottlin #SoundofMusic - will the #VonTrapp kids be dropping out of those trees? They are gorgeous!!,"['SoundofMusic', 'VonTrapp']"
3,143,"Sound of Music, The ","#soundofmusic,the",Rotarian ...Aviator... HipHopHead... Arsenal...Edo-State...Nigeria... #BrilliantIdiot,65654,1,"Some people wonder if I have only one recorder 😁. I actually have four, just that they are almost of the same colour😂 and they are all soprano recorder 😁.

 #tobinuel #wow #wednesdaythought #SoundOfMusic https://t.co/9K9Zd4Eqy0",[]
4,143,"Sound of Music, The ","#soundofmusic,the",完全手動botです。音楽／アカペラ・コーラス／楽譜いじり／かるた（百人一首）／ペンギン／犬猫／スイーツ（笑）／素数／昼ドラ／数奇な運命／ヵヮィィの伝道師（目標）／君に熱中症／1984年1月生まれ／オフィシャルには29歳（2021年設定変更）／AB型,11565,8,My #SoundOfMusic gif made the @giphy or @sploid (unclear) list of Best Gifs 2015! ᕳ◕o◕ᕲ http://t.co/MFI9Pqjay4 http://t.co/ENVLcnlh9e,['SoundOfMusic']
5,143,"Sound of Music, The ","#soundofmusic,the","Life is a journey, every step is a choice you make 👣 // Enjoying life ☀️ || Friends 💕 || Travelling the world ✈️🌍 || Other interests: 🎬 📷 🎼🎨",9233,0,"🎶 The hills are alive 🎶 
With a special appearance of Thomas Bach as Captain Von Trapp 🤣

#Olympics #ClosingCeremony #Tokio2020 #SoundOfMusic #VonTrappFamily #Maria #TheHillsAreAlive https://t.co/BFbSruohUA","['Olympics', 'ClosingCeremony', 'Tokio2020', 'SoundOfMusic', 'VonTrappFamily', 'Maria', 'TheHillsAreAlive']"
6,143,"Sound of Music, The ","#soundofmusic,the",The glass is neither half-full nor half-empty; it depends on the previous state of the glass.,6790,0,"Went out for lunch. Looking at same people in the park across the street, they were learning a dance. At first, I thought it was the tango,but they were too separated. Then I thought bachata.  It was the Laendler! Recognised it from our school musical. #soundofmusic #laendler","['soundofmusic', 'laendler']"
7,143,"Sound of Music, The ","#soundofmusic,the","translator, from English, Danish, German, French, Spanish into Dutch | vertaler Engels, Deens, Duits, Frans, Spaans, Nederlands",3847,0,The hills are alive ... in Tokyo #soundofmusic #OlympicGames,"['soundofmusic', 'OlympicGames']"
8,143,"Sound of Music, The ","#soundofmusic,the",Red head and proud of it :),1592,0,Sound Of Music with ma peeps #soundofmusic #friends #goodtimes #muny #muny103 #theatre @ The Muny https://t.co/36hHW00Io2,"['soundofmusic', 'friends', 'goodtimes', 'muny', 'muny103', 'theatre']"
9,143,"Sound of Music, The ","#soundofmusic,the",FUNNY. AWESOME. CRAZY. DAILY.  Your break from the daily news grind.,155111,0,Every song she sings is incredible. What a talent. #amirawillighagen #soundofmusic #sunarena #liveperformance #music #concert #amazing #hollandsgottalent #song https://t.co/9rkRSPEQ5H,"['amirawillighagen', 'soundofmusic', 'sunarena', 'liveperformance', 'music', 'concert', 'amazing', 'hollandsgottalent', 'song']"
