,Movie Id,Title,Tagword,description,totaltweets,retweetcount,text,hashtags
0,50,Star Wars ,#starwars,"Star Wars Saga LatinAmerica All about Star Wars, check my website for  updated information about the greatest SciFi saga of all time.  #starwars #starwarsart",9854,0,"New post (Great News For The Book of Boba Fett, Obi-Wan Kenobi) ha sido publicado en Star Wars Saga Latinamerica - https://t.co/O2GuWUB44y

#StarWars #movie #saga #darthvader https://t.co/wOcqtXiQLv","['StarWars', 'movie', 'saga', 'darthvader']"
1,50,Star Wars ,#starwars,We bring the SWTOR-Community together! Just mention #swtor or #swtorfamily and we will retweet it! This is just a fan project created by @realymanlp,37175,1,"THROWBACK clip: MMO Night: Star Wars The Old Republic: Acid Reflux and Busted Eardrums https://t.co/88UFIUWHzW 
#clips #mmo #starwars #twitch #twitchgaming #swtor",['clips']
2,50,Star Wars ,#starwars,"Currently a variant on trial at the TVA, trying to get Miss Minutes number.",440,694,NEED THIS!! #bbq #atat #starwars https://t.co/XgqHmK06xW,"['bbq', 'atat', 'starwars']"
3,50,Star Wars ,#starwars,🕵️❤️,15581,694,NEED THIS!! #bbq #atat #starwars https://t.co/XgqHmK06xW,"['bbq', 'atat', 'starwars']"
4,50,Star Wars ,#starwars,"https://t.co/PxibX6nxul
*playing Dragon Age, SWtoR or Sims 4 most of the time or whatever I like*",456,9,OwO what is this? A @SWTOR teaser of something I'm helping out with... #swtor #swtorfamily #starwars 🤫🤫🤫 https://t.co/tMpqqLGZAg,"['swtor', 'swtorfamily', 'starwars']"
5,50,Star Wars ,#starwars,,13245,31,"Adam Aron Interacts with Individual Who Placed $0.01 Target on $AMC 

@CEOAdam $AMC #AMC #APESNOTLEAVING #ApeStrongTogether #ApesRemember2008 #AMCToTheMoon 
#ApeWars #StarWars #ApeNation #GifSeries #MayTheShortsBeWithYou https://t.co/PWYTHBAirH","['AMC', 'APESNOTLEAVING', 'ApeStrongTogether']"
6,50,Star Wars ,#starwars,D垢/海派/1.5 2パークデビュー/デジカメ/社会人/96line/MINNIE MOUSE♡LOVE/Princess Cinderella/ダフフレ(特にシェリーメイ)/フロ様/手下沼/アッポイ/ジャックハート/クリスタルブルー/STAR WARS DOC(1230) フォローする時一言ください。,10193,694,NEED THIS!! #bbq #atat #starwars https://t.co/XgqHmK06xW,"['bbq', 'atat', 'starwars']"
7,50,Star Wars ,#starwars,"technical designer, gamer",1368,0,Collection keeps growing #happy #collection #starwars #starwarsblackseries #blackseries #hasbro #padmeamidala #disney #lucasfilms @disney @starwars @hasbro https://t.co/UnbJwG3gbV,"['happy', 'collection', 'starwars', 'starwarsblackseries', 'blackseries', 'hasbro', 'padmeamidala', 'disney', 'lucasfilms']"
8,50,Star Wars ,#starwars,,3368,694,NEED THIS!! #bbq #atat #starwars https://t.co/XgqHmK06xW,"['bbq', 'atat', 'starwars']"
9,50,Star Wars ,#starwars,"|Memes & Streams | Fortnite & GTArp| 
♡♥︎♡Use code 'DADDY' for 10% off legal Delta8 THC/CBD on Delta Effex products♡♥︎♡ https://t.co/aJaP4UJcuV",11225,1,"THROWBACK clip: MMO Night: Star Wars The Old Republic: Acid Reflux and Busted Eardrums https://t.co/88UFIUWHzW 
#clips #mmo #starwars #twitch #twitchgaming #swtor","['clips', 'mmo', 'starwars', 'twitch', 'twitchgaming', 'swtor']"
