,Movie Id,Title,Tagword,description,totaltweets,retweetcount,text,hashtags
0,62,Stargate ,#stargate,"Never place your trust in us, we're only human, inevitably we will disappoint you. Dr R. Ford. 
Weimaraner fan? check my TL old mobile phone pictures of BRU.
*X",12075,0,"Can anybody, following @andersonrdean tell him to plz help me closing the #Stargate ? I'm really afraid.
#weimaraner #BracoDeWeimar #dogsoftwitter #dogs #braquedeweimar #Weimie #GreyGhost. BRU Morning walk. 🤣🤣🤣🤣 https://t.co/udc8mg4jF0","['Stargate', 'weimaraner', 'BracoDeWeimar', 'dogsoftwitter', 'dogs', 'braquedeweimar', 'Weimie', 'GreyGhost']"
1,62,Stargate ,#stargate,"Co-creator of @StarWars, @StarTrek, @Transformers, @HarryPotterFilm, @FantasticBeasts, #Stargate & @Marvel movies. Official voice of the music band #Bread, etc.",1505,0,"These #Ramizos were advanced, part of the #Stargate (#TV) #program. Because they're #women, they were being #overpowered by men, unrecognized of their #datacompression pioneering work. #Hollywood #TechGiants","['Ramizos', 'Stargate', 'TV', 'program', 'women', 'overpowered', 'datacompression', 'Hollywood', 'TechGiants']"
2,62,Stargate ,#stargate,A Stargate Podcast: three veteran fans introduce a new viewer to #Stargate - one episode every week! Find us on your favourite podcast platform,1065,2,"Happy #Birthday to #actress #TatianaShanks (@TatianaShanks) (1998), #Stargate #SG1 Girl playing an ultimate #Frisbee (""Collateral Damage"")!!!

https://t.co/4ecN0CHDSa
https://t.co/TIZccYKyGO

#StargateSG1 #gueststar #HappyBirthday https://t.co/2AbuKdhuo3","['Birthday', 'actress', 'TatianaShanks', 'Stargate', 'SG1', 'Frisbee']"
3,62,Stargate ,#stargate,"New Earth Rising. We are bridging Heaven on Earth lifting Gaia and all her children into a 5d Paradise of Love, Joy, Bliss and Abundance for all!!",13310,0,Omega Stargate ~ The Rebirth Of A New Earth and Humanity ~ Intense Lions... https://t.co/U5cfBwFB0b #Omega #Stargate,"['Omega', 'Stargate']"
4,62,Stargate ,#stargate,Brendan from @getintogate 🇦🇺 You may know me from such segments as #SoundsofStargate #WalterDiary #HasRhysBeenPayingAttention #BaalChronicles #BigDickAliens,1297,2,"Hi all, we have jumped onboard with @StargateNow_EU @bradtravelers for the daily tweet campaign #365DaysofStargate using the Hashtag #WeWantStargate👈 this is to show Amazon how awesome the #Stargate fanbase is. We will be making as many #dadjoke memes as we can for this cause 💌 https://t.co/Ru0ipRLRpW",['365DaysofStargate']
5,62,Stargate ,#stargate,Just lovin life as a frisbee-playing dog and tweeting as a side hustle.,32788,2,"Happy #Birthday to #actress #TatianaShanks (@TatianaShanks) (1998), #Stargate #SG1 Girl playing an ultimate #Frisbee (""Collateral Damage"")!!!

https://t.co/4ecN0CHDSa
https://t.co/TIZccYKyGO

#StargateSG1 #gueststar #HappyBirthday https://t.co/2AbuKdhuo3","['Birthday', 'actress', 'TatianaShanks', 'Stargate', 'SG1', 'Frisbee']"
6,62,Stargate ,#stargate,,11247,5,Ends tonight! #Eureka #Supernatural #StarGate #OUAT #dirkgently https://t.co/xk2wBbyqt4,"['Eureka', 'Supernatural', 'StarGate', 'OUAT', 'dirkgently']"
7,62,Stargate ,#stargate,,30200,2,"#Stargate got this box with pen and radio. Not seen one before so not sure if it's something official?

#WeWantStargate https://t.co/w9uwiIVSxQ","['Stargate', 'WeWantStargate']"
8,62,Stargate ,#stargate,"The Official Twitter account for the BiggEST #Stargate, #SG1, #SGA, #SGU, #SGI & #SGO fan-portal of Soviet Reunion (☭) - https://t.co/2vfn2G9jNe, RA'ssia (RUSH'ia)!",25131,0,"#InRemembranceof #actor #IsaacHayes (@IsaacHayes) (20.08.1942-10.08.2008), #Stargate #SG1 #Tolok the #Jaffa &amp; #Tealc PI Announcer (voice) (""200""). R.I.P.

https://t.co/quG1wPyC0J
https://t.co/7BH9oRogDs
https://t.co/gY6A8lnj5H

#StargateSG1 #gueststar #RIP #DateofDeath https://t.co/dnPeB9V4GI","['InRemembranceof', 'actor', 'IsaacHayes', 'Stargate', 'SG1', 'Tolok', 'Jaffa', 'Tealc', 'StargateSG1', 'gueststar', 'RIP', 'DateofDeath']"
9,62,Stargate ,#stargate,Wife mum x2  Award winning QL fanfic #writer write SG1 + original #picturebooks Believe growing old compulsory growing up optional,32198,1,#BookLoversDay Try out the #Stargate series of novels published by @StargateNovels  I'm reading them by the season they're set in. I like that they often continue unresolved issues from the series. Unfortunately Daniel's book is not included.🤣 #WeWantStargate #365DaysofStargate https://t.co/bpgTcqrnSv,"['BookLoversDay', 'Stargate']"
10,62,Stargate ,#stargate,Wife mum x2  Award winning QL fanfic #writer write SG1 + original #picturebooks Believe growing old compulsory growing up optional,32198,5,"Today's random #stargate gif - Sam in ""Touchstone"". https://t.co/aGsEfeWmzr",['stargate']
11,62,Stargate ,#stargate,"The Official Twitter account for the BiggEST #Stargate, #SG1, #SGA, #SGU, #SGI & #SGO fan-portal of Soviet Reunion (☭) - https://t.co/2vfn2G9jNe, RA'ssia (RUSH'ia)!",25131,1,"Happy #Birthday to #actor #VictorTalmadge (@VTalmadge), #Stargate #SG1 #Lord #Mot (""#Prophecy"")!!!

https://t.co/XpBEFrsF2Z
https://t.co/0rmbmCV19a

#StargateSG1 #gueststar #LordMot #Goauld #Underlord #HappyBirthday https://t.co/V8Ag7P4iT7","['Birthday', 'actor', 'VictorTalmadge', 'Stargate', 'SG1', 'Lord', 'Mot', 'Prophecy', 'StargateSG1', 'gueststar', 'LordMot', 'Goauld', 'Underlord', 'HappyBirthday']"
