,Movie Id,Title,Tagword,description,totaltweets,retweetcount,text,hashtags
0,39,Strange Days ,#strangedays,"The value of things is not the time they last, but the intensity with which they occur, Fernando Pessoa https://t.co/uOQ1u2eQwP",12067,0,One day at a time. Films that I cherish and have shaped my love for cinema. Kathryn Bigelow's Strange Days #movies #moviesfromthe90s #strangedays #ralphfiennes #angelabassett #juliettelewis  #michaelwincott #vincentdonofrio #jamescameron #matthewfleonetti #graemerevell https://t.co/p7ceW1uAgG,"['movies', 'moviesfromthe90s', 'strangedays', 'ralphfiennes', 'angelabassett', 'juliettelewis', 'michaelwincott', 'vincentdonofrio', 'jamescameron', 'matthewfleonetti', 'graemerevell']"
1,39,Strange Days ,#strangedays,freedom from bias,5208,0,"#NeuralNetworks #tech #science 

what's the name of that movie.... #strangedays, is it?

https://t.co/SxcPB1DBcz","['NeuralNetworks', 'tech', 'science', 'strangedays']"
2,39,Strange Days ,#strangedays,Experimental account; Visually 👁👁 curious. Previously private🤔,366,0,"Currently, there are about 1 #million more #jobs open than people looking for work. #StrangeDays

https://t.co/9kIisHSfH7","['million', 'jobs', 'StrangeDays']"
3,39,Strange Days ,#strangedays,From childhood's hour I have not been. As others were; I have not seen. As others saw; I could not bring. My passions from a common spring. Edgar Allan Poe,64311,0,"Bin Laden 'devoted family man'.

We really do live in interesting times...""Up is down, black is white, and nothing is what it seems."" #StrangeDays https://t.co/O3LOz4nJFf",['StrangeDays']
4,39,Strange Days ,#strangedays,Everything Is Cooler In Space,99526,0,"@kinshadow @discolando As good as the #StrangeDays soundtrack was, #TronLegacy's soundtrack is hands down the best movie soundtrack. Even people who hated the movie can't deny #DaftPunk's genius. 🎵🎵🎵🎵🎵😱👍

https://t.co/GNLy3OmBc2","['StrangeDays', 'TronLegacy', 'DaftPunk']"
5,39,Strange Days ,#strangedays,Everything Is Cooler In Space,99526,0,"@kinshadow @discolando The #StrangeDays teaser was the best part of the movie:

https://t.co/LKOdyGqnUK",['StrangeDays']
6,39,Strange Days ,#strangedays,"Fiction, Comedy, Politics",5416,0,"@GovRonDeSantis yr right. It is strange that the CDC isn't studying the effects of wearing a mask 7 hours a day. Why? Don't they care about kids? Why we're at it... why no fear of cancer, aides, and other diseases that have killed millions? #StrangeDays",['StrangeDays']
7,39,Strange Days ,#strangedays,"Hola, Bonjour-Hi, Defence Attache to Chile, Argentina, Uruguay and Paraguay. Opinions are my own. SJW - défendeur de la veuve et de l'orphelin",25904,0,"Studied all night for my PCR test. Hope to … fail? I mean test negative…which is positive, like #win #strangedays https://t.co/hI8ovzApWl","['win', 'strangedays']"
8,39,Strange Days ,#strangedays,,16985,0,"@NikkiFried I was in Florida for a week in June, rode in a lot of Ubers and got a lot of opinions about DeSantis, immigrants were ambivalent but, I had a few really pissed off, middle aged white folk, who love him, think he’s a hero of some sort.
#StrangeDays",['StrangeDays']
9,39,Strange Days ,#strangedays,"GOP neglected education caught hell👀⚖️✍️
EVs are the best car I ever...
😎⚡ Nissan ya dawg.
🛑 Pinned, drug warning:",7821,0,"@NikkiFried #strangedays how they'd rather have horses instead of EVs...

His, base.

Perhaps the autopsy of not only Reagan era..
But of private"" coronavirus...woops capitalism"". Deregulation of pollution in there..

Guess what bad air, ups the ante' on illness from...",['strangedays']
10,39,Strange Days ,#strangedays,- #thestruts  - #thrower / #weightlifter  - #artist  - #usarmy - #lds,1489,0,My art of The Struts!! Can’t wait to see and meet the band soon!!! #thestruts #strangedays #strangedaysareover #MeghanMarkle40 #charcoaldrawing #charcoal https://t.co/omXbsWTHJf,"['thestruts', 'strangedays', 'strangedaysareover', 'MeghanMarkle40', 'charcoaldrawing', 'charcoal']"
11,39,Strange Days ,#strangedays,I wish i was just a fictional character | Noodle muncher|  Oii daijoubu desu ka?,18023,45,"Feeling very grateful this year despite the wild ride it has been. Thank you to each and every one of you for supporting us and allowing us to do what we do, even in these #StrangeDays. Much love x https://t.co/owB9mY4bje",[]
12,39,Strange Days ,#strangedays,Ｒｅｔｗｅｅｔｓ ｅｖｅｒｙｔｈｉｎｇ ｗｉｔｈ ＃Ｖａｐｏｒｗａｖｅ.  Ｃｒｅａｔｅｄ ｂｙ @LeiaIsOnline,130529,1,"Please listen -on monday-

#acidjazz #suicide #アタラックス　#ビール #弾いてみた動画 #alternativerock #弾き語り　#90sflav #supercar #ゆるふわギャング　#野田ちゃん　#っすわぁ #vaporwave #strangedays https://t.co/PD6OOmlTiT","['acidjazz', 'suicide', 'アタラックス', 'ビール', '弾いてみた動画', 'alternativerock', '弾き語り', '90sflav', 'supercar']"
13,39,Strange Days ,#strangedays,"90s rock,hiphop 聞いて欲しいです。       ライブがしたいです。 ————————————————————————https://t.co/vjIP0VkKUL",22,1,"Please listen -on monday-

#acidjazz #suicide #アタラックス　#ビール #弾いてみた動画 #alternativerock #弾き語り　#90sflav #supercar #ゆるふわギャング　#野田ちゃん　#っすわぁ #vaporwave #strangedays https://t.co/PD6OOmlTiT","['acidjazz', 'suicide', 'アタラックス', 'ビール', '弾いてみた動画', 'alternativerock', '弾き語り', '90sflav', 'supercar', 'ゆるふわギャング', '野田ちゃん', 'っすわぁ', 'vaporwave', 'strangedays']"
14,39,Strange Days ,#strangedays,Nihilistic Single Father of Three / Intronitis Survivor,752,0,"Anyone know where I can get a blu ray of #StrangeDays ?
I know this tweet will mostly be ignored but...",['StrangeDays']
