,Movie Id,Title,Tagword,description,totaltweets,retweetcount,text,hashtags
0,23,Taxi Driver ,#taxidriver,| 🏳️‍🌈 | waanjai | phiball | mewlion,48781,16,"Best Kdrama of 2021🤭

#Mouse
#BeyondEvil 
#taxidriver
#TheDevilJudge https://t.co/59RPwH5zWv","['Mouse', 'BeyondEvil', 'taxidriver', 'TheDevilJudge']"
1,23,Taxi Driver ,#taxidriver,"STAND_UP COMEDIAN,EVENT PLANNER & GOD PIKIN | GOD is My Way Maker",12344,1,We Are the RidersNatioN #JoinMyRide #princessfrancis #bbnaija #BigBrotherNaija #bigbrothernaijaseason6 #shineyaeye #Princess #TaxiDriver https://t.co/bWfjF1ht3c,"['JoinMyRide', 'princessfrancis', 'bbnaija', 'BigBrotherNaija', 'bigbrothernaijaseason6', 'shineyaeye']"
2,23,Taxi Driver ,#taxidriver,#Solopreneur? #SelfEmployed? #Microbusiness? Get a profile on our #globaldirectory. Get leads and visibility. Great company. Great people. Love you all.,30751,1,"Be considerate. Give your cab driver a hand while loading baggage, especially if the bags are heavy and the person is struggling with them. 
https://t.co/R73REgGdOk
#cabs #airport #taxidriver #taxi #yellowcab #taxicab #yellowtaxi #shuttleservice #shuttleservices #taxidrivers https://t.co/ADNHS3rvNX",[]
3,23,Taxi Driver ,#taxidriver,"seo woojin & cha eunjae 💖 | assorted kdramas, tv series, and movies 💫",5424,0,"i know that #TaxiDriver doesn’t have a romance plot, but i’m really dying of the slow burn here. why is kim do ki so shippable? 🥺😭",['TaxiDriver']
4,23,Taxi Driver ,#taxidriver,🔞• Angie • 26 • NY • she/her • CQL//ZH//DMBJ//WB//K&H • Fan Artist • Kdrama • KPop • No RPS • 100% crying over Mi Re • everyone in WB is gay,13255,16,"Best Kdrama of 2021🤭

#Mouse
#BeyondEvil 
#taxidriver
#TheDevilJudge https://t.co/59RPwH5zWv","['Mouse', 'BeyondEvil', 'taxidriver', 'TheDevilJudge']"
5,23,Taxi Driver ,#taxidriver,"Providing quality taximeters, dash-cams and telematics to professional drivers.",2320,0,Truth! #Taxi #Cabbie #TaxiDriver https://t.co/bNUF09EBnB,"['Taxi', 'Cabbie', 'TaxiDriver']"
6,23,Taxi Driver ,#taxidriver,Monbebe right here,29157,16,"Best Kdrama of 2021🤭

#Mouse
#BeyondEvil 
#taxidriver
#TheDevilJudge https://t.co/59RPwH5zWv","['Mouse', 'BeyondEvil', 'taxidriver', 'TheDevilJudge']"
7,23,Taxi Driver ,#taxidriver,"~ be a warrior, not a worrier ~ 🌿
| cw: #HP2 • #Kingdom • #MRIAG • #Nevertheless • #TheDevilJudge • #TheRoadTragedyOfOne • #TheWitchsDiner • #UnforgettableLove",28,0,"and now, all i am hoping for is a conformation of season 2.
#TaxiDriver 💖 https://t.co/63yxpi1SD0",['TaxiDriver']
8,23,Taxi Driver ,#taxidriver,"#ศาสนาจินยองพ่อ 
#loveAllMembers #GOT7FOREVER​                   
🌴🐰🐢🍑🦦🌼🐍",74002,16,"Best Kdrama of 2021🤭

#Mouse
#BeyondEvil 
#taxidriver
#TheDevilJudge https://t.co/59RPwH5zWv","['Mouse', 'BeyondEvil', 'taxidriver', 'TheDevilJudge']"
9,23,Taxi Driver ,#taxidriver,Super Duper Fangirl Account,759,16,"Best Kdrama of 2021🤭

#Mouse
#BeyondEvil 
#taxidriver
#TheDevilJudge https://t.co/59RPwH5zWv","['Mouse', 'BeyondEvil', 'taxidriver', 'TheDevilJudge']"
10,23,Taxi Driver ,#taxidriver,,24769,16,"Best Kdrama of 2021🤭

#Mouse
#BeyondEvil 
#taxidriver
#TheDevilJudge https://t.co/59RPwH5zWv","['Mouse', 'BeyondEvil', 'taxidriver', 'TheDevilJudge']"
11,23,Taxi Driver ,#taxidriver,With over 28 years’ experience in the London taxi and minicab business.,27,0,"Enjoy Reading Books While Commuting to Office, Our drivers will not be disturbed you while reading a book.

Ph: 01628 520 420
https://t.co/V8csLIrdEf

#Books #Reading #Book #Bookloversday #NationalBookLoversDay #wooburngreen #wooburngreentaxis #travel #taxi #taxidriver https://t.co/tNm9vWzhoc","['Books', 'Reading', 'Book', 'Bookloversday', 'NationalBookLoversDay', 'wooburngreen', 'wooburngreentaxis', 'travel', 'taxi', 'taxidriver']"
12,23,Taxi Driver ,#taxidriver,"𝙳𝚘𝚛𝚊𝚌𝚛𝚎𝚗𝚝𝚎;  𝙰𝚒𝚛𝚎𝚗. 
📺: The Devil Judge, You Are My Spring, Hospital Playlist 2, You Are My Glory.",42973,16,"Best Kdrama of 2021🤭

#Mouse
#BeyondEvil 
#taxidriver
#TheDevilJudge https://t.co/59RPwH5zWv","['Mouse', 'BeyondEvil', 'taxidriver', 'TheDevilJudge']"
13,23,Taxi Driver ,#taxidriver,"💗🎀#MarkBam #MTBB  
#BamBam🐍🎀#MarkTuan 🐰💗  #Jackson🐢💗 #Got7💚",19507,16,"Best Kdrama of 2021🤭

#Mouse
#BeyondEvil 
#taxidriver
#TheDevilJudge https://t.co/59RPwH5zWv","['Mouse', 'BeyondEvil', 'taxidriver', 'TheDevilJudge']"
