,Movie Id,Title,Tagword,description,totaltweets,retweetcount,text,hashtags
0,118,Twister ,#twister,King Tutts...King of Cold Cuts...Wisconsin sports nut...Marathon Freak...,9,0,@PhilDWx You make Helen Hunt and Bill Paxton proud!! #Twister,['Twister']
1,118,Twister ,#twister,"Mother, Daughter, Sister, Artist: Green Party of PA Co-Chair, GPUS Media, Running for Governor of PA in 2022. 🌎 She/Her 💚@LehighGreen",6843,0,"Yesterday afternoon #bethlehempa …the storm rolling in as I was waiting for the bus, next to a field, looking for a gutter to jump in if necessary…😂 #twister #thunderstorm https://t.co/AtKHjZp8nE","['bethlehempa', 'twister', 'thunderstorm']"
2,118,Twister ,#twister,The Best #StormChasing tours in Tornado Alley! #StormTours https://t.co/XOicYXG9Zq,133356,0,Is #Twister on #Netflix? It should be! #stormchasing,"['Twister', 'Netflix', 'stormchasing']"
3,118,Twister ,#twister,Weather geek working for @kachelmannwettr and @meteologix and trying to achieve his goals despite having Aspergers Syndrome. Personal acct. Opinions mine only,135600,0,"""Honey, your car is in a tree around the corner""

#Twister",['Twister']
4,118,Twister ,#twister,Weather geek working for @kachelmannwettr and @meteologix and trying to achieve his goals despite having Aspergers Syndrome. Personal acct. Opinions mine only,135600,0,"""Rabbit is good, Rabbit is wise""

#Twister",['Twister']
5,118,Twister ,#twister,Weather geek working for @kachelmannwettr and @meteologix and trying to achieve his goals despite having Aspergers Syndrome. Personal acct. Opinions mine only,135600,0,"""Cow!""

""I gotta go Julia, we've got cows!""

#Twister",['Twister']
6,118,Twister ,#twister,Weather geek working for @kachelmannwettr and @meteologix and trying to achieve his goals despite having Aspergers Syndrome. Personal acct. Opinions mine only,135600,0,"""Where's my truck?""

SMASH!!!

""There it is.""

#Twister",['Twister']
7,118,Twister ,#twister,Weather geek working for @kachelmannwettr and @meteologix and trying to achieve his goals despite having Aspergers Syndrome. Personal acct. Opinions mine only,135600,0,"""Just wondering it we're gonna chase this tornado or just wanna catch the next one""

#Twister",['Twister']
8,118,Twister ,#twister,"Passage to Profit - The Inventors Show: By Inventors, For Inventors! A radio show showcasing entrepreneurs on @iheartradio @710WOR . Sundays @ 11pm",1577,0,"📺WHEN YOUR BUSINESS IS ON REALITY TV!

🐶#ColleenWilson #MelissaCurtis @PetsonQ @netflix
🧸#ReynGuyer @MyFriendWren #Nerf #Twister
✨@Jshapirolee1
💜#JenniferFlood @TheFloodSisters

📻Hear the latest episode of #PassagetoProfit on 
@iHeartPodcasts or https://t.co/Os9hy8vsbd👈 https://t.co/kW9TW9fKek","['ColleenWilson', 'MelissaCurtis', 'ReynGuyer', 'Nerf', 'Twister', 'JenniferFlood', 'PassagetoProfit']"
9,118,Twister ,#twister,perfect to be me,31521,2,"The best BILL PAXTON movie - QUARTER FINAL 1️⃣
(Two Go Through ) 
#Twister 
#Nightcrawler 
#NearDark 
#TheTerminator","['Twister', 'Nightcrawler', 'NearDark', 'TheTerminator']"
10,118,Twister ,#twister,Home health care work and part time poker player,14918,2,"The best BILL PAXTON movie - QUARTER FINAL 1️⃣
(Two Go Through ) 
#Twister 
#Nightcrawler 
#NearDark 
#TheTerminator","['Twister', 'Nightcrawler', 'NearDark', 'TheTerminator']"
11,118,Twister ,#twister,"Movie polls , reviews , ratings , latest Trailers and discussion .",22506,2,"The best BILL PAXTON movie - QUARTER FINAL 1️⃣
(Two Go Through ) 
#Twister 
#Nightcrawler 
#NearDark 
#TheTerminator","['Twister', 'Nightcrawler', 'NearDark', 'TheTerminator']"
12,118,Twister ,#twister,"art
photographs,cats,nature, poetry, bridges.
No Porn.",222642,2,"@palevell_ NOT my pic : last night , Niagara Region , Crystal Beach
Lake Erie 
(Ed Small, Sales Representative, Revel Realty Inc., Brokerage
Taken from our friend's house about 30 minutes ago.  It was on Lake Erie, Stay Safe 
 #weather #twister #forterie #crystalbeach #lakeerie ) https://t.co/IJZkmaPvgW",[]
13,118,Twister ,#twister,"En mode silencieux, observateur.",390,6,Twist and Shout #aliens #UFO #tornado #twister #weather #storm #cows #animals #amateur #comic #funny https://t.co/knvbKyw3es,"['aliens', 'UFO', 'tornado', 'twister', 'weather', 'storm', 'cows', 'animals', 'amateur', 'comic', 'funny']"
14,118,Twister ,#twister,five dollars,1315,0,@headgum where can I find the #twister #whm !! Currently listening to the whm Dante’s peak episode and multiple twister references have been made @ericszyszka @JustinJCase,"['twister', 'whm']"
15,118,Twister ,#twister,,1368,2,"An extremely close intercept, aka “How to walk your tornado.”

You won’t see another video like this. 
Don’t get lulled by how easy it seems… at the end, it’s flattening a corn field. 

Fascinating video, I kept on wondering when the cow would start flying. #Twister #Courage https://t.co/I2JIxf9uhQ",[]
16,118,Twister ,#twister,"A security 💻hacker is someone who seeks 2 breach 🛡️defenses & ●exploit weaknesses🚩
ⅨTips & 💡Tricks, 🛠Technology, Operating 💻Systems, 📱Android, ↗Linux🔔",3672,0,"How to Connect Google Home to Your TV?

#connection #howto #royalrapidhacek #tipsandtricks #twister #tweaks #rapidhacek #googlehome #connectwithtv #ways

Citations from:
https://t.co/Dw7cMCltBY https://t.co/cGaFvJeLX4","['connection', 'howto', 'royalrapidhacek', 'tipsandtricks', 'twister', 'tweaks', 'rapidhacek', 'googlehome', 'connectwithtv', 'ways']"
17,118,Twister ,#twister,🔰Google Products Exp 🛡#socialmedia expert & CEO in ☣@rapidhacek. I’m d ⚔#illegitimate & love #child #creativity. #problemsolver #ethicalhacker #entrepreneur ✝,11834,0,"How to Connect Google Home to Your TV?

#connection #howto #royalrapidhacek #tipsandtricks #twister #tweaks #rapidhacek #googlehome #connectwithtv #ways

Citations from:
https://t.co/ACULIXsm3f https://t.co/E1ZLIGAVU3","['connection', 'howto', 'royalrapidhacek', 'tipsandtricks', 'twister', 'tweaks', 'rapidhacek', 'googlehome', 'connectwithtv', 'ways']"
18,118,Twister ,#twister,Compassion is needed. Remember what the goals are. (Hint: being a bully isn’t a life goal.),40897,2,"An extremely close intercept, aka “How to walk your tornado.”

You won’t see another video like this. 
Don’t get lulled by how easy it seems… at the end, it’s flattening a corn field. 

Fascinating video, I kept on wondering when the cow would start flying. #Twister #Courage https://t.co/I2JIxf9uhQ",[]
19,118,Twister ,#twister,💥Bounce house & party rental company 📍HTX 📍ATX 📍DFW We help YOU throw awesome parties with Clean Safe Fun Delivered!,4460,0,"Add some extra challenge to your party 🎲🥨
Book now and avail 10% discount here: https://t.co/Al2hhE1fOx

#skyhighpartyrentals #bouncehouse #moonwalk #inflatables #moonwalkrentals #adultbouncehouse #bouncehousenearme #twister #inflatabletwister #interactives https://t.co/5VHIJXfodq","['skyhighpartyrentals', 'bouncehouse', 'moonwalk', 'inflatables', 'moonwalkrentals', 'adultbouncehouse', 'bouncehousenearme', 'twister', 'inflatabletwister', 'interactives']"
20,118,Twister ,#twister,"Mammy to Amelia 💖
Deputy Head of Fundraising in North & Yorkshire for @mariecurieuk
Football fan and lover of 90s music 🎶#proudfundraiser",740,0,My brother in law...as featured in @4pmWineTimeBaby @IAmChrisRamsey podcast this week. Never been prouder 🤣🤣 #twister https://t.co/ps5xG6WCiW,['twister']
21,118,Twister ,#twister,"Infosec & Security aficionado. Loves red wine, cheese and nmap all together... Cyber Security, Xbox, PC, Golf. #CISSP #hacking",652,0,"@joerogan @BrendanSchaub @bryancallen the fact that Eddie Bravo has fell off the planet is a conspiracy in itself 👀 #whereseddie #10thplanetbjj
#twister","['whereseddie', '10thplanetbjj', 'twister']"
22,118,Twister ,#twister,Spooky Smut Slut / NSFW / whore for anything Big Bad & Broody / Dark Romance/Erotica/ reader / looking for fellow creeps / Halloween lover 🎃👻💀,88,0,"What does it mean when you’ve never been on Batman’s side always been on Jokers. Maybe even been attracted to him all the while too 👀

#batman #joker #twistedbitch #twister https://t.co/q97E9m4LyE","['batman', 'joker', 'twistedbitch', 'twister']"
23,118,Twister ,#twister,,20440,0,@chris_notcapn Storm spotting👁️🌪️. Used to be done just by 👨‍🚒FEMA- but 📲 &amp; @WGNNews everyone does- &amp; ppl are generally able to get to shelter safety unless their boss is an 🍑🧢. 👨‍🚒FEMA 👉🛎️🌪️📢 for anyone in 5miles of 👁️🌪️. #Twister #Movie,"['Twister', 'Movie']"
24,118,Twister ,#twister,Compassion is needed. Remember what the goals are. (Hint: being a bully isn’t a life goal.),40897,2,"An extremely close intercept, aka “How to walk your tornado.”

You won’t see another video like this. 
Don’t get lulled by how easy it seems… at the end, it’s flattening a corn field. 

Fascinating video, I kept on wondering when the cow would start flying. #Twister #Courage https://t.co/I2JIxf9uhQ","['Twister', 'Courage']"
25,118,Twister ,#twister,"Whether you need a quick cup of coffee, a quiet place to work, or some good food, we're happy to see you walk through our doors!",510,0,"Who remembers playing Twister as a kid? 

Invented in 1966 (54 years ago!!), #Twister is the game that ties you up! And this morning, it's the mug that's waking us up ☕ https://t.co/xkzBVS0ytS",['Twister']
26,118,Twister ,#twister,,1063454,0,"What happens when a storm rents #Twister from @Netflix to pass the time as it moves slowly on by 
 #TikTok https://t.co/nszUaX5ASk","['Twister', 'TikTok']"
27,118,Twister ,#twister,"This is a cross b/w rock & ideology,music & truth about our beginnings & future,UFOs. A cross b/w 70sglam/punk,50s rockabilly,60s fuzz pedal/heavy bass guitar.",14247,6,Twist and Shout #aliens #UFO #tornado #twister #weather #storm #cows #animals #amateur #comic #funny https://t.co/knvbKyw3es,"['aliens', 'UFO', 'tornado', 'twister', 'weather', 'storm', 'cows', 'animals', 'amateur', 'comic', 'funny']"
28,118,Twister ,#twister,Ahi vamos,8544,1,THANK YOU @Blendtec for a generous gift!! Can't wait to start using new #designerSeries &amp; #Twister jar! #BestBlender http://t.co/EBsJTGz4,"['designerSeries', 'Twister', 'BestBlender']"
29,118,Twister ,#twister,Aussie 🙋🏻 Australia 🌏 Coastal 🌊 Travel 🚙✈️ Family 👨🏼👩🏻👦🏼👩🏻👦🏻👦🏼👸🏼,424,0,"#177 Childhood games need a modern reboot. Make a brand new game that mashes up two other childhood games (like hopscotch and jump rope - or ‘Jumpscotch’).

Introducing ‘Twistles’ - the challenge is on..!! #GISH #childhood #games #mashup #twister #skittles #twistles https://t.co/bxnf0T5YUm","['GISH', 'childhood', 'games', 'mashup', 'twister', 'skittles', 'twistles']"
30,118,Twister ,#twister,Every moment is a blessing or a lesson. Love and learn 🤩,1589,6,Twist and Shout #aliens #UFO #tornado #twister #weather #storm #cows #animals #amateur #comic #funny https://t.co/knvbKyw3es,"['aliens', 'UFO', 'tornado', 'twister', 'weather', 'storm', 'cows', 'animals', 'amateur', 'comic', 'funny']"
31,118,Twister ,#twister,"Hey there! I'm a creative type. Painter/Hair Stylist/Graphic Designer! 😍 PS. my new favorite passion is my ukulele! I’m terrible, but it’s so fun!❤️",156,0,@UberFacts I’ve lived in Kansas my entire life. I’ve never seen a tornado! #twister,['twister']
