,Movie Id,Title,Tagword,description,totaltweets,retweetcount,text,hashtags
0,132,"Wizard of Oz, The ","#wizardofoz,the","Tweets about TV/film (new & old), Marvel comics (circa 1990 mostly), DC Comics (circa 1987 mostly) and random stuff. Movie & TV reviewer for @HighlandRadio",39787,0,"#Dollface Feminist (TV Episode 2019) - This is cute. The show does a whole #WizardOfOz thing for the full episode. It’s not as sharp or as funny as you might hope for, but they sure get an ‘A’ for effort.        https://t.co/3bn9qngWpd","['Dollface', 'WizardOfOz']"
1,132,"Wizard of Oz, The ","#wizardofoz,the",Google #SEO Expert 1st to crack PageRank Algorithm! @QueensLeaders Mentor at Cambridge University - Cruise Lecturer #AdasArmy #ArtDayEveryDay,666464,62,"@cpajoe @GoogleExpertUK @GaryJHorrocks @ClassicMovieHub @OldCinemas @JudyGarlandClub @SMmeetpolitics @theinquisitr @nowthisnews @BlazingMinds @FilmPhonic ‘Somewhere Over the Rainbow’ Pleads for a More Accepting World 

https://t.co/AmrxF3a9zO 

via @nyunews @PosPowermedia #rainbow #wizardofoz #pospowermedia",[]
2,132,"Wizard of Oz, The ","#wizardofoz,the","Professional with experience on microeconomics, macroeconomics, financial market. Forensic Economic Expert - https://t.co/bJNu2e6eSm",406864,6,"#OnThisDay, 1898, born #JackHaley = The Tin Man in the #WizardOfOz https://t.co/wmoqDtCFTU","['OnThisDay', 'JackHaley', 'WizardOfOz']"
3,132,"Wizard of Oz, The ","#wizardofoz,the","my family are the  Joys of my life 🌻 , I do giveaways ,🍂 cook, read 📚 and spread happy thoughts😻
Please support my page🌻 https://t.co/P0kyLqYaS9 🌻",222081,2,"The Wizard of Oz 50th Anniversary History https://t.co/PrceSsdtba via @Etsy

#FreeShipping On All Items Store Wide

#wizardofoz #etsyvintage #vintagebook #overtherainbow #yellowbrickroad #rubyslippers #munchkins #toto",['FreeShipping']
4,132,"Wizard of Oz, The ","#wizardofoz,the","Unique Handmade Classic and Novelty Gifts  
#etsy #etsyshop #shophandmade #handmade #handmadegifts #shopetsy #shopsmall #etsyvintage #collectibles #etsyhandmade",53631,2,"The Wizard of Oz 50th Anniversary History https://t.co/PrceSsdtba via @Etsy

#FreeShipping On All Items Store Wide

#wizardofoz #etsyvintage #vintagebook #overtherainbow #yellowbrickroad #rubyslippers #munchkins #toto",['FreeShipping']
5,132,"Wizard of Oz, The ","#wizardofoz,the","We are a blog & podcast that discusses the Disney Universe - Disney, Pixar, Marvel, Star Wars, 20th Century & more! Follow my personal twitter @lojav!",13976,0,"Check out #WizardofOz Month | Week 2: #Oz The Great And Powerful as I Doodle to the movie!

https://t.co/hBJUcv4Jul via @YouTube","['WizardofOz', 'Oz']"
6,132,"Wizard of Oz, The ","#wizardofoz,the","Geek. Dog lover. Disney devotee. Marvel maven. Star Wars stan. Hufflepuff. Writer & Owner of @CCCDisneyUni. Co-host of the Castles, Capes & Clones podcast!",11091,0,"Check out #WizardofOz Month | Week 2: #Oz The Great And Powerful as I Doodle to the movie!

https://t.co/PIEvrmvlV9 via @YouTube","['WizardofOz', 'Oz']"
7,132,"Wizard of Oz, The ","#wizardofoz,the",,2194,0,"New video’s coming along nicely! 
Prepare to be whisked 🌪 away to a land beyond the 🌈 when this video crash lands 8/25 at 9pm EST!
#wizardofoz @zynga https://t.co/8w3Kq11asj",['wizardofoz']
8,132,"Wizard of Oz, The ","#wizardofoz,the",The Peoples Hub has been created to help people and to love the planet https://t.co/aHUyFBxcg2,48264,44,@SteveCl1957 @chantedx @StephieGilley Just got back from #Kansas  Made the journey because of this movie lol. Never knew Kansas City was split between Missouri and Kansas! #WizardofOz #TravelTuesday #susandolan #travel https://t.co/ew2hCINa7B,['Kansas']
9,132,"Wizard of Oz, The ","#wizardofoz,the",The Peoples Hub has been created to help people and to love the planet https://t.co/aHUyFBxcg2,48264,82,In the #WizardOfOz the Cowardly Lion was originally going to be played by the real-life MGM lion! https://t.co/XFX6el7aiP,['WizardOfOz']
10,132,"Wizard of Oz, The ","#wizardofoz,the","Raccoon enthusiast. 
.
.
.
.
♀️⚖️🎬📚⛸️🏒🦝
.
.
.
.
she/her || ela/dela",46941,12,"1/3

A bit obvious but still visually cool to me nonetheless (THREAD...)

The Wizard Of Oz/Twister

#sidebyside #influence #judygarland #movies #cinema #film #oz #wizardofoz #billpaxton #helenhunt https://t.co/3iR6jtrLhU",['sidebyside']
11,132,"Wizard of Oz, The ","#wizardofoz,the",Housing First UK - Connecting people for #HousingFirst (with support) #mentoring #counselling #mentalhealth - Together we can stop this #humanitarian crisis,94573,44,@SteveCl1957 @chantedx @StephieGilley Just got back from #Kansas  Made the journey because of this movie lol. Never knew Kansas City was split between Missouri and Kansas! #WizardofOz #TravelTuesday #susandolan #travel https://t.co/ew2hCINa7B,['Kansas']
12,132,"Wizard of Oz, The ","#wizardofoz,the",Housing First UK - Connecting people for #HousingFirst (with support) #mentoring #counselling #mentalhealth - Together we can stop this #humanitarian crisis,94573,82,In the #WizardOfOz the Cowardly Lion was originally going to be played by the real-life MGM lion! https://t.co/XFX6el7aiP,['WizardOfOz']
13,132,"Wizard of Oz, The ","#wizardofoz,the",Retired Navy officer looking for reading good literature and interesting book worldwide written in English and Deutsch.,32511,44,"Me after reading the mindf*ck of a fantasy novel that is ""Vivian Amberville - The Weaver of Odds""

#mindfuck #fantasybooks #vivianamberville #wizardofoz #aliceinwonderland https://t.co/CUPIsMIACG",['mindfuck']
14,132,"Wizard of Oz, The ","#wizardofoz,the","steady and ready
https://t.co/Dh8eFQ6P34
Royal Babylon The Criminal Record of the British Monarchy",94669,83,"Professor Marvel's jacket had once belonged to the #WizardOfOz author, #LFrankBaum, himself. This was a surprise to cast &amp; crew alike, as the jacket had been purchased at a second-hand store. Baum's name was later found stitched in a pocket!

#artdayeveryday https://t.co/s4wd1cC6oP","['WizardOfOz', 'LFrankBaum']"
15,132,"Wizard of Oz, The ","#wizardofoz,the","Official Twitter account of The Sports Grind and Calvin Casey
|| Est. 2004
|| Listen LIVE weekdays 2pm-4-pm CST (link below)

**Retweets aren't endorsement**",158,2,"Working on breaking down the Tuesday edition of @SportsGrind and the conversation with @RickGosselin9, Calvin and @HardballHardge gets better everytime I run it back. 

Talking about the #NFLHallOfFame, this is the only official HOF signature I own. #WizardOfOz #GRINDNATION https://t.co/TcLXsy4qvp",[]
16,132,"Wizard of Oz, The ","#wizardofoz,the",Google #SEO Expert 1st to crack PageRank Algorithm! @QueensLeaders Mentor at Cambridge University - Cruise Lecturer #AdasArmy #ArtDayEveryDay,666464,83,"Professor Marvel's jacket had once belonged to the #WizardOfOz author, #LFrankBaum, himself. This was a surprise to cast &amp; crew alike, as the jacket had been purchased at a second-hand store. Baum's name was later found stitched in a pocket!

#artdayeveryday https://t.co/s4wd1cC6oP","['WizardOfOz', 'LFrankBaum']"
17,132,"Wizard of Oz, The ","#wizardofoz,the",Google #SEO Expert 1st to crack PageRank Algorithm! @QueensLeaders Mentor at Cambridge University - Cruise Lecturer #AdasArmy #ArtDayEveryDay,666464,82,In the #WizardOfOz the Cowardly Lion was originally going to be played by the real-life MGM lion! https://t.co/XFX6el7aiP,['WizardOfOz']
18,132,"Wizard of Oz, The ","#wizardofoz,the",Google #SEO Expert 1st to crack PageRank Algorithm! @QueensLeaders Mentor at Cambridge University - Cruise Lecturer #AdasArmy #ArtDayEveryDay,666464,131,"#JudyGarland won an Oscar Juvenile Award for her role as Dorothy in the #WizardOfOz, which she later called the Munchkin Award! https://t.co/QtW2Kb7P2w","['JudyGarland', 'WizardOfOz']"
19,132,"Wizard of Oz, The ","#wizardofoz,the",Former host of The Bottom Line AM1300 from 6-9am IHeartRadio New Cohost of The Sports Grind Ticket 760 M-F 2-4pm CST Former Professional Baseball Player,24684,2,"Working on breaking down the Tuesday edition of @SportsGrind and the conversation with @RickGosselin9, Calvin and @HardballHardge gets better everytime I run it back. 

Talking about the #NFLHallOfFame, this is the only official HOF signature I own. #WizardOfOz #GRINDNATION https://t.co/TcLXsy4qvp",[]
20,132,"Wizard of Oz, The ","#wizardofoz,the","Producer: @SportsGrind
Sports Writer:
|| SA/ATX Spurs and Global Sports: @ProjectSpurs 
|| NFL & NBA: @PTSTNews 
|| BGSU '13 & '15

I. LOVE. THE. BROWNS.",18035,2,"Working on breaking down the Tuesday edition of @SportsGrind and the conversation with @RickGosselin9, Calvin and @HardballHardge gets better everytime I run it back. 

Talking about the #NFLHallOfFame, this is the only official HOF signature I own. #WizardOfOz #GRINDNATION https://t.co/TcLXsy4qvp","['NFLHallOfFame', 'WizardOfOz', 'GRINDNATION']"
